cell_line,agent,concentration,parameter,rate,obj_func
AU565,BMS-265246,3.162278,$k_{S}$,0.0029256300102859,541.8026774189723
AU565,BMS-265246,3.162278,$k_{G2}$,0.01793810769624297,541.8026774189723
AU565,BMS-265246,3.162278,$k_{M}$,0.001868118479938898,541.8026774189723
AU565,BMS-265246,3.162278,$k_{G1}$,1e-07,541.8026774189723
AU565,BMS-265246,3.162278,$k_{\phi}$,0.0015277546237943967,541.8026774189723
AU565,BMS-265246,0.316228,$k_{S}$,0.017768232757345775,1.4499892822128515e-10
AU565,BMS-265246,0.316228,$k_{G2}$,0.04564229314939744,1.4499892822128515e-10
AU565,BMS-265246,0.316228,$k_{M}$,0.0356800360814714,1.4499892822128515e-10
AU565,BMS-265246,0.316228,$k_{G1}$,0.4640416040179604,1.4499892822128515e-10
AU565,BMS-265246,0.316228,$k_{\phi}$,0.0008504376348546668,1.4499892822128515e-10
AU565,BMS-265246,10.0,$k_{S}$,0.008671213681571097,13944.30013297888
AU565,BMS-265246,10.0,$k_{G2}$,0.022051388771603297,13944.30013297888
AU565,BMS-265246,10.0,$k_{M}$,0.004302601275372048,13944.30013297888
AU565,BMS-265246,10.0,$k_{G1}$,1e-07,13944.30013297888
AU565,BMS-265246,10.0,$k_{\phi}$,0.002405833765477936,13944.30013297888
AU565,BMS-265246,0.1,$k_{S}$,0.021165282560627007,1.3069743873412864e-10
AU565,BMS-265246,0.1,$k_{G2}$,0.04343949093156438,1.3069743873412864e-10
AU565,BMS-265246,0.1,$k_{M}$,0.04710989089049983,1.3069743873412864e-10
AU565,BMS-265246,0.1,$k_{G1}$,0.3771696864068164,1.3069743873412864e-10
AU565,BMS-265246,0.1,$k_{\phi}$,0.0009724661203314907,1.3069743873412864e-10
AU565,BMS-265246,1.0,$k_{S}$,0.01345239280761416,1.5854873420004488e-10
AU565,BMS-265246,1.0,$k_{G2}$,0.035051430687207105,1.5854873420004488e-10
AU565,BMS-265246,1.0,$k_{M}$,0.02475169124894143,1.5854873420004488e-10
AU565,BMS-265246,1.0,$k_{G1}$,0.37150934315211315,1.5854873420004488e-10
AU565,BMS-265246,1.0,$k_{\phi}$,0.0013411137341529328,1.5854873420004488e-10
AU565,BMS-265246,0.001,$k_{S}$,0.029714524845386944,4.0314322520219335e-10
AU565,BMS-265246,0.001,$k_{G2}$,0.0416959176228731,4.0314322520219335e-10
AU565,BMS-265246,0.001,$k_{M}$,0.07303605002892843,4.0314322520219335e-10
AU565,BMS-265246,0.001,$k_{G1}$,0.7359332782891588,4.0314322520219335e-10
AU565,BMS-265246,0.001,$k_{\phi}$,0.0009772175945684347,4.0314322520219335e-10
AU565,BMS-265246,0.003162,$k_{S}$,0.031167569276006064,9.415875778549677e-11
AU565,BMS-265246,0.003162,$k_{G2}$,0.046809440035125174,9.415875778549677e-11
AU565,BMS-265246,0.003162,$k_{M}$,0.08138047304503315,9.415875778549677e-11
AU565,BMS-265246,0.003162,$k_{G1}$,0.7988143190104,9.415875778549677e-11
AU565,BMS-265246,0.003162,$k_{\phi}$,0.00044289803369188636,9.415875778549677e-11
AU565,BMS-265246,0.031623,$k_{S}$,0.022053210862988896,1.801482134019111e-10
AU565,BMS-265246,0.031623,$k_{G2}$,0.040250355228353504,1.801482134019111e-10
AU565,BMS-265246,0.031623,$k_{M}$,0.04974953888028496,1.801482134019111e-10
AU565,BMS-265246,0.031623,$k_{G1}$,0.8219443172574356,1.801482134019111e-10
AU565,BMS-265246,0.031623,$k_{\phi}$,0.0006719469452370968,1.801482134019111e-10
AU565,BMS-265246,0.01,$k_{S}$,0.0247937906881114,2.513782441285958e-10
AU565,BMS-265246,0.01,$k_{G2}$,0.04235604856283646,2.513782441285958e-10
AU565,BMS-265246,0.01,$k_{M}$,0.06197175445529101,2.513782441285958e-10
AU565,BMS-265246,0.01,$k_{G1}$,0.6886443758441161,2.513782441285958e-10
AU565,BMS-265246,0.01,$k_{\phi}$,0.0008317745795835005,2.513782441285958e-10
