cell_line,agent,concentration,parameter,rate,obj_func
AU565,LEE011_Ribociclib,10.0,$k_{S}$,0.0016051439273122145,5.077649336722961e-10
AU565,LEE011_Ribociclib,10.0,$k_{G2}$,0.018937374380195094,5.077649336722961e-10
AU565,LEE011_Ribociclib,10.0,$k_{M}$,0.028976273544930535,5.077649336722961e-10
AU565,LEE011_Ribociclib,10.0,$k_{G1}$,0.8760224827036172,5.077649336722961e-10
AU565,LEE011_Ribociclib,10.0,$k_{\phi}$,0.0009028925196133863,5.077649336722961e-10
AU565,LEE011_Ribociclib,1.0,$k_{S}$,0.013778487678226215,1.452810615156064e-10
AU565,LEE011_Ribociclib,1.0,$k_{G2}$,0.04374477924461983,1.452810615156064e-10
AU565,LEE011_Ribociclib,1.0,$k_{M}$,0.06022131437447895,1.452810615156064e-10
AU565,LEE011_Ribociclib,1.0,$k_{G1}$,0.8458611383588445,1.452810615156064e-10
AU565,LEE011_Ribociclib,1.0,$k_{\phi}$,0.0010888733832898005,1.452810615156064e-10
AU565,LEE011_Ribociclib,3.162278,$k_{S}$,0.009137430668230112,5.8618738014307e-11
AU565,LEE011_Ribociclib,3.162278,$k_{G2}$,0.04678320717821915,5.8618738014307e-11
AU565,LEE011_Ribociclib,3.162278,$k_{M}$,0.05919089036618095,5.8618738014307e-11
AU565,LEE011_Ribociclib,3.162278,$k_{G1}$,0.5446648142636383,5.8618738014307e-11
AU565,LEE011_Ribociclib,3.162278,$k_{\phi}$,0.0010593783706612115,5.8618738014307e-11
AU565,LEE011_Ribociclib,0.1,$k_{S}$,0.014512192654792208,1.5416882482040134e-10
AU565,LEE011_Ribociclib,0.1,$k_{G2}$,0.04184364506516454,1.5416882482040134e-10
AU565,LEE011_Ribociclib,0.1,$k_{M}$,0.07160435244748874,1.5416882482040134e-10
AU565,LEE011_Ribociclib,0.1,$k_{G1}$,0.7156592514801026,1.5416882482040134e-10
AU565,LEE011_Ribociclib,0.1,$k_{\phi}$,0.0005706258728743123,1.5416882482040134e-10
AU565,LEE011_Ribociclib,0.316228,$k_{S}$,0.013908392231908985,1.1450194981980003e-10
AU565,LEE011_Ribociclib,0.316228,$k_{G2}$,0.04666397758682952,1.1450194981980003e-10
AU565,LEE011_Ribociclib,0.316228,$k_{M}$,0.06341121764443587,1.1450194981980003e-10
AU565,LEE011_Ribociclib,0.316228,$k_{G1}$,0.5676390315942135,1.1450194981980003e-10
AU565,LEE011_Ribociclib,0.316228,$k_{\phi}$,0.0009176689481067942,1.1450194981980003e-10
AU565,LEE011_Ribociclib,0.003162,$k_{S}$,0.02500328048629783,3.0287408568555096e-10
AU565,LEE011_Ribociclib,0.003162,$k_{G2}$,0.044446860815840865,3.0287408568555096e-10
AU565,LEE011_Ribociclib,0.003162,$k_{M}$,0.09568532435927693,3.0287408568555096e-10
AU565,LEE011_Ribociclib,0.003162,$k_{G1}$,0.7790321840908827,3.0287408568555096e-10
AU565,LEE011_Ribociclib,0.003162,$k_{\phi}$,0.0004625015597926055,3.0287408568555096e-10
AU565,LEE011_Ribociclib,0.01,$k_{S}$,0.021841339405714547,2.363630067660923e-10
AU565,LEE011_Ribociclib,0.01,$k_{G2}$,0.04816776725634352,2.363630067660923e-10
AU565,LEE011_Ribociclib,0.01,$k_{M}$,0.09133114408312674,2.363630067660923e-10
AU565,LEE011_Ribociclib,0.01,$k_{G1}$,0.8841603899884759,2.363630067660923e-10
AU565,LEE011_Ribociclib,0.01,$k_{\phi}$,0.0009711911677360458,2.363630067660923e-10
AU565,LEE011_Ribociclib,0.001,$k_{S}$,0.02763588023511861,2.2254876801307494e-10
AU565,LEE011_Ribociclib,0.001,$k_{G2}$,0.04215039126823549,2.2254876801307494e-10
AU565,LEE011_Ribociclib,0.001,$k_{M}$,0.09942163069530754,2.2254876801307494e-10
AU565,LEE011_Ribociclib,0.001,$k_{G1}$,0.7546838650244521,2.2254876801307494e-10
AU565,LEE011_Ribociclib,0.001,$k_{\phi}$,0.00028815351416989273,2.2254876801307494e-10
AU565,LEE011_Ribociclib,0.031623,$k_{S}$,0.020681272390249666,2.557899119551901e-10
AU565,LEE011_Ribociclib,0.031623,$k_{G2}$,0.050502628280885406,2.557899119551901e-10
AU565,LEE011_Ribociclib,0.031623,$k_{M}$,0.09486411429608416,2.557899119551901e-10
AU565,LEE011_Ribociclib,0.031623,$k_{G1}$,0.9733762912995167,2.557899119551901e-10
AU565,LEE011_Ribociclib,0.031623,$k_{\phi}$,0.0006882291800443329,2.557899119551901e-10
