cell_line,agent,concentration,parameter,rate,obj_func
AU565,SY-1365,1e-05,$k_{S}$,0.033063335236663535,3.2508158554441554e-10
AU565,SY-1365,1e-05,$k_{G2}$,0.0519622932471325,3.2508158554441554e-10
AU565,SY-1365,1e-05,$k_{M}$,0.10906103206783478,3.2508158554441554e-10
AU565,SY-1365,1e-05,$k_{G1}$,0.968282941543015,3.2508158554441554e-10
AU565,SY-1365,1e-05,$k_{\phi}$,0.00029400510460234763,3.2508158554441554e-10
AU565,SY-1365,0.031623,$k_{S}$,0.005858878779423084,52780.6504900653
AU565,SY-1365,0.031623,$k_{G2}$,0.017442175483568467,52780.6504900653
AU565,SY-1365,0.031623,$k_{M}$,0.012842450235162426,52780.6504900653
AU565,SY-1365,0.031623,$k_{G1}$,1e-07,52780.6504900653
AU565,SY-1365,0.031623,$k_{\phi}$,0.004669318435207407,52780.6504900653
AU565,SY-1365,0.000316,$k_{S}$,0.032749263523942404,3.3351003364036237e-10
AU565,SY-1365,0.000316,$k_{G2}$,0.04760916078146116,3.3351003364036237e-10
AU565,SY-1365,0.000316,$k_{M}$,0.09648821975417171,3.3351003364036237e-10
AU565,SY-1365,0.000316,$k_{G1}$,0.6398136447098419,3.3351003364036237e-10
AU565,SY-1365,0.000316,$k_{\phi}$,0.00045299823082667557,3.3351003364036237e-10
AU565,SY-1365,0.001,$k_{S}$,0.00036161381292191733,11365.15872500873
AU565,SY-1365,0.001,$k_{G2}$,0.01553447647831905,11365.15872500873
AU565,SY-1365,0.001,$k_{M}$,0.005691279548504909,11365.15872500873
AU565,SY-1365,0.001,$k_{G1}$,1e-07,11365.15872500873
AU565,SY-1365,0.001,$k_{\phi}$,0.004080085626209346,11365.15872500873
AU565,SY-1365,0.0001,$k_{S}$,0.03561675243697896,4.253468638170643e-10
AU565,SY-1365,0.0001,$k_{G2}$,0.05549703042167917,4.253468638170643e-10
AU565,SY-1365,0.0001,$k_{M}$,0.10193490866669715,4.253468638170643e-10
AU565,SY-1365,0.0001,$k_{G1}$,0.654718997317056,4.253468638170643e-10
AU565,SY-1365,0.0001,$k_{\phi}$,0.0005832722394198583,4.253468638170643e-10
AU565,SY-1365,0.003162,$k_{S}$,0.004795524673399286,36189.92393762024
AU565,SY-1365,0.003162,$k_{G2}$,0.01838663002191354,36189.92393762024
AU565,SY-1365,0.003162,$k_{M}$,0.00929863802915463,36189.92393762024
AU565,SY-1365,0.003162,$k_{G1}$,1e-07,36189.92393762024
AU565,SY-1365,0.003162,$k_{\phi}$,0.0043765428268241376,36189.92393762024
AU565,SY-1365,0.1,$k_{S}$,0.007310494299861919,65600.53742556192
AU565,SY-1365,0.1,$k_{G2}$,0.01722036256143008,65600.53742556192
AU565,SY-1365,0.1,$k_{M}$,0.014118538669292077,65600.53742556192
AU565,SY-1365,0.1,$k_{G1}$,1e-07,65600.53742556192
AU565,SY-1365,0.1,$k_{\phi}$,0.004289077855235312,65600.53742556192
AU565,SY-1365,0.01,$k_{S}$,0.006661293447567979,52986.33452830979
AU565,SY-1365,0.01,$k_{G2}$,0.01871881071148494,52986.33452830979
AU565,SY-1365,0.01,$k_{M}$,0.011773306501477723,52986.33452830979
AU565,SY-1365,0.01,$k_{G1}$,1e-07,52986.33452830979
AU565,SY-1365,0.01,$k_{\phi}$,0.004548113808141784,52986.33452830979
AU565,SY-1365,3.2e-05,$k_{S}$,0.036942636385439605,2.411923878402875e-10
AU565,SY-1365,3.2e-05,$k_{G2}$,0.054329491142421756,2.411923878402875e-10
AU565,SY-1365,3.2e-05,$k_{M}$,0.12341971917406487,2.411923878402875e-10
AU565,SY-1365,3.2e-05,$k_{G1}$,0.8541522060111453,2.411923878402875e-10
AU565,SY-1365,3.2e-05,$k_{\phi}$,0.0004336957480533785,2.411923878402875e-10
