cell_line,agent,concentration,parameter,rate,obj_func
BT20,MFH-2-90,10.0,$k_{S}$,0.004778449284239526,313332.99881737947
BT20,MFH-2-90,10.0,$k_{G2}$,0.016992866529599922,313332.99881737947
BT20,MFH-2-90,10.0,$k_{M}$,0.015739031229846625,313332.99881737947
BT20,MFH-2-90,10.0,$k_{G1}$,1e-07,313332.99881737947
BT20,MFH-2-90,10.0,$k_{\phi}$,0.005916081757096718,313332.99881737947
BT20,MFH-2-90,0.003162,$k_{S}$,0.0063106987274514125,250729.83474595216
BT20,MFH-2-90,0.003162,$k_{G2}$,0.023366366201036392,250729.83474595216
BT20,MFH-2-90,0.003162,$k_{M}$,0.009965983351253368,250729.83474595216
BT20,MFH-2-90,0.003162,$k_{G1}$,1e-07,250729.83474595216
BT20,MFH-2-90,0.003162,$k_{\phi}$,0.004061301315130466,250729.83474595216
BT20,MFH-2-90,1.0,$k_{S}$,0.004018157605162619,235299.5163767935
BT20,MFH-2-90,1.0,$k_{G2}$,0.0194573166021129,235299.5163767935
BT20,MFH-2-90,1.0,$k_{M}$,0.011767388016025386,235299.5163767935
BT20,MFH-2-90,1.0,$k_{G1}$,1e-07,235299.5163767935
BT20,MFH-2-90,1.0,$k_{\phi}$,0.005230830598903925,235299.5163767935
BT20,MFH-2-90,3.162278,$k_{S}$,0.00413529206499562,247604.59356780798
BT20,MFH-2-90,3.162278,$k_{G2}$,0.019001945781112924,247604.59356780798
BT20,MFH-2-90,3.162278,$k_{M}$,0.013070578889744406,247604.59356780798
BT20,MFH-2-90,3.162278,$k_{G1}$,1e-07,247604.59356780798
BT20,MFH-2-90,3.162278,$k_{\phi}$,0.005356390763571021,247604.59356780798
BT20,MFH-2-90,0.316228,$k_{S}$,0.00471272583224033,247456.22171083433
BT20,MFH-2-90,0.316228,$k_{G2}$,0.020610507022463868,247456.22171083433
BT20,MFH-2-90,0.316228,$k_{M}$,0.010772526967569414,247456.22171083433
BT20,MFH-2-90,0.316228,$k_{G1}$,1e-07,247456.22171083433
BT20,MFH-2-90,0.316228,$k_{\phi}$,0.004751776719195008,247456.22171083433
BT20,MFH-2-90,0.001,$k_{S}$,0.0047845135143008005,148033.84642646747
BT20,MFH-2-90,0.001,$k_{G2}$,0.010720994829936674,148033.84642646747
BT20,MFH-2-90,0.001,$k_{M}$,0.006313762196665571,148033.84642646747
BT20,MFH-2-90,0.001,$k_{G1}$,1e-07,148033.84642646747
BT20,MFH-2-90,0.001,$k_{\phi}$,0.004441555739839597,148033.84642646747
BT20,MFH-2-90,0.1,$k_{S}$,0.004228739690777976,219729.81420652766
BT20,MFH-2-90,0.1,$k_{G2}$,0.02092695682787319,219729.81420652766
BT20,MFH-2-90,0.1,$k_{M}$,0.009507392164237929,219729.81420652766
BT20,MFH-2-90,0.1,$k_{G1}$,1e-07,219729.81420652766
BT20,MFH-2-90,0.1,$k_{\phi}$,0.0047358126642650196,219729.81420652766
BT20,MFH-2-90,0.01,$k_{S}$,0.004184801449133064,248346.87832364545
BT20,MFH-2-90,0.01,$k_{G2}$,0.02014081822627101,248346.87832364545
BT20,MFH-2-90,0.01,$k_{M}$,0.01049963703005212,248346.87832364545
BT20,MFH-2-90,0.01,$k_{G1}$,1e-07,248346.87832364545
BT20,MFH-2-90,0.01,$k_{\phi}$,0.004477215752943628,248346.87832364545
BT20,MFH-2-90,0.031623,$k_{S}$,0.0026011147396789802,272376.93655115896
BT20,MFH-2-90,0.031623,$k_{G2}$,0.01669017510672086,272376.93655115896
BT20,MFH-2-90,0.031623,$k_{M}$,0.013726476099828253,272376.93655115896
BT20,MFH-2-90,0.031623,$k_{G1}$,1e-07,272376.93655115896
BT20,MFH-2-90,0.031623,$k_{\phi}$,0.004696937779363257,272376.93655115896
