cell_line,agent,concentration,parameter,rate,obj_func
BT20,senexinb,0.031623,$k_{S}$,0.0389167323259258,5.822951163126405e-10
BT20,senexinb,0.031623,$k_{G2}$,0.050248288183488754,5.822951163126405e-10
BT20,senexinb,0.031623,$k_{M}$,0.09308136643414597,5.822951163126405e-10
BT20,senexinb,0.031623,$k_{G1}$,0.6438525015454168,5.822951163126405e-10
BT20,senexinb,0.031623,$k_{\phi}$,0.0003331917764564615,5.822951163126405e-10
BT20,senexinb,0.003162,$k_{S}$,0.03848216910853887,2.7461111981385216e-09
BT20,senexinb,0.003162,$k_{G2}$,0.04738525837913925,2.7461111981385216e-09
BT20,senexinb,0.003162,$k_{M}$,0.10621028786053834,2.7461111981385216e-09
BT20,senexinb,0.003162,$k_{G1}$,0.7288288502079366,2.7461111981385216e-09
BT20,senexinb,0.003162,$k_{\phi}$,0.0003241501319259751,2.7461111981385216e-09
BT20,senexinb,1.0,$k_{S}$,0.03244887967702506,1.924290856302247e-09
BT20,senexinb,1.0,$k_{G2}$,0.04378986977298509,1.924290856302247e-09
BT20,senexinb,1.0,$k_{M}$,0.059926424072447367,1.924290856302247e-09
BT20,senexinb,1.0,$k_{G1}$,0.4184326414359016,1.924290856302247e-09
BT20,senexinb,1.0,$k_{\phi}$,0.00042710406945348125,1.924290856302247e-09
BT20,senexinb,0.001,$k_{S}$,0.04075292686572778,2.6788354116784965e-09
BT20,senexinb,0.001,$k_{G2}$,0.05384746345640705,2.6788354116784965e-09
BT20,senexinb,0.001,$k_{M}$,0.12234642603880345,2.6788354116784965e-09
BT20,senexinb,0.001,$k_{G1}$,0.9187041869189108,2.6788354116784965e-09
BT20,senexinb,0.001,$k_{\phi}$,0.0002654813803458711,2.6788354116784965e-09
BT20,senexinb,0.1,$k_{S}$,0.036927123816567424,2.660672518294855e-09
BT20,senexinb,0.1,$k_{G2}$,0.04819442092535305,2.660672518294855e-09
BT20,senexinb,0.1,$k_{M}$,0.08098600821402048,2.660672518294855e-09
BT20,senexinb,0.1,$k_{G1}$,0.5809472355473062,2.660672518294855e-09
BT20,senexinb,0.1,$k_{\phi}$,0.00029237736321265957,2.660672518294855e-09
BT20,senexinb,10.0,$k_{S}$,0.0135076552045046,8.195391081346827e-10
BT20,senexinb,10.0,$k_{G2}$,0.027743665556564465,8.195391081346827e-10
BT20,senexinb,10.0,$k_{M}$,0.013927891263340092,8.195391081346827e-10
BT20,senexinb,10.0,$k_{G1}$,0.14571132148048838,8.195391081346827e-10
BT20,senexinb,10.0,$k_{\phi}$,0.0004668944220309023,8.195391081346827e-10
BT20,senexinb,3.162278,$k_{S}$,0.03359260788777049,1.9738208022898282e-09
BT20,senexinb,3.162278,$k_{G2}$,0.0468403907909654,1.9738208022898282e-09
BT20,senexinb,3.162278,$k_{M}$,0.05855061342918671,1.9738208022898282e-09
BT20,senexinb,3.162278,$k_{G1}$,0.4179275440806731,1.9738208022898282e-09
BT20,senexinb,3.162278,$k_{\phi}$,0.0003297392948993078,1.9738208022898282e-09
BT20,senexinb,0.316228,$k_{S}$,0.0366376369598825,1.6214392327844939e-09
BT20,senexinb,0.316228,$k_{G2}$,0.04610358789515292,1.6214392327844939e-09
BT20,senexinb,0.316228,$k_{M}$,0.07363135026248434,1.6214392327844939e-09
BT20,senexinb,0.316228,$k_{G1}$,0.5309805178316632,1.6214392327844939e-09
BT20,senexinb,0.316228,$k_{\phi}$,0.00033160170068638966,1.6214392327844939e-09
BT20,senexinb,0.01,$k_{S}$,0.03743649263408009,1.6183217897884644e-09
BT20,senexinb,0.01,$k_{G2}$,0.048158805701271235,1.6183217897884644e-09
BT20,senexinb,0.01,$k_{M}$,0.09945291890779884,1.6183217897884644e-09
BT20,senexinb,0.01,$k_{G1}$,0.637072297018431,1.6183217897884644e-09
BT20,senexinb,0.01,$k_{\phi}$,0.0003161137287608134,1.6183217897884644e-09
