cell_line,agent,concentration,parameter,rate,obj_func
BT474,BMS-265246,0.1,$k_{S}$,0.009780799400295066,2.490767290169396e-10
BT474,BMS-265246,0.1,$k_{G2}$,0.034429871635941585,2.490767290169396e-10
BT474,BMS-265246,0.1,$k_{M}$,0.0419277396340587,2.490767290169396e-10
BT474,BMS-265246,0.1,$k_{G1}$,0.33599994080290757,2.490767290169396e-10
BT474,BMS-265246,0.1,$k_{\phi}$,0.0004301138926519356,2.490767290169396e-10
BT474,BMS-265246,1.0,$k_{S}$,0.014646753068005386,3.99928843469351e-10
BT474,BMS-265246,1.0,$k_{G2}$,0.08547146074484009,3.99928843469351e-10
BT474,BMS-265246,1.0,$k_{M}$,0.03915233818324519,3.99928843469351e-10
BT474,BMS-265246,1.0,$k_{G1}$,0.7324926838094667,3.99928843469351e-10
BT474,BMS-265246,1.0,$k_{\phi}$,0.00022083971319365514,3.99928843469351e-10
BT474,BMS-265246,10.0,$k_{S}$,0.011194452521530238,4.573392307836931e-10
BT474,BMS-265246,10.0,$k_{G2}$,0.11793551714564786,4.573392307836931e-10
BT474,BMS-265246,10.0,$k_{M}$,0.022989584156581762,4.573392307836931e-10
BT474,BMS-265246,10.0,$k_{G1}$,0.5058165250734107,4.573392307836931e-10
BT474,BMS-265246,10.0,$k_{\phi}$,0.0003856469696321747,4.573392307836931e-10
BT474,BMS-265246,0.316228,$k_{S}$,0.014963956861005401,3.353059304373182e-10
BT474,BMS-265246,0.316228,$k_{G2}$,0.07826357253745092,3.353059304373182e-10
BT474,BMS-265246,0.316228,$k_{M}$,0.04452934687632313,3.353059304373182e-10
BT474,BMS-265246,0.316228,$k_{G1}$,0.9736681309239561,3.353059304373182e-10
BT474,BMS-265246,0.316228,$k_{\phi}$,0.00026645502517965965,3.353059304373182e-10
BT474,BMS-265246,3.162278,$k_{S}$,0.012968952100209622,2.3253263177839962e-10
BT474,BMS-265246,3.162278,$k_{G2}$,0.09628590268971499,2.3253263177839962e-10
BT474,BMS-265246,3.162278,$k_{M}$,0.02738194622472333,2.3253263177839962e-10
BT474,BMS-265246,3.162278,$k_{G1}$,0.4326940348105585,2.3253263177839962e-10
BT474,BMS-265246,3.162278,$k_{\phi}$,0.00033300270373158087,2.3253263177839962e-10
BT474,BMS-265246,0.031623,$k_{S}$,0.011222994692307663,4.052599279572973e-10
BT474,BMS-265246,0.031623,$k_{G2}$,0.03794641912082167,4.052599279572973e-10
BT474,BMS-265246,0.031623,$k_{M}$,0.03675368090344618,4.052599279572973e-10
BT474,BMS-265246,0.031623,$k_{G1}$,0.6944420794343855,4.052599279572973e-10
BT474,BMS-265246,0.031623,$k_{\phi}$,0.00021416064296377336,4.052599279572973e-10
BT474,BMS-265246,0.003162,$k_{S}$,0.01820249483059631,3.575917451122191e-10
BT474,BMS-265246,0.003162,$k_{G2}$,0.06423126046466515,3.575917451122191e-10
BT474,BMS-265246,0.003162,$k_{M}$,0.05871483588626035,3.575917451122191e-10
BT474,BMS-265246,0.003162,$k_{G1}$,0.8840106408759346,3.575917451122191e-10
BT474,BMS-265246,0.003162,$k_{\phi}$,0.00019860739431366877,3.575917451122191e-10
BT474,BMS-265246,0.01,$k_{S}$,0.0049501159080269225,2.3772907323133635e-10
BT474,BMS-265246,0.01,$k_{G2}$,0.013578551378208358,2.3772907323133635e-10
BT474,BMS-265246,0.01,$k_{M}$,0.021113586640821063,2.3772907323133635e-10
BT474,BMS-265246,0.01,$k_{G1}$,0.13540562109120471,2.3772907323133635e-10
BT474,BMS-265246,0.01,$k_{\phi}$,0.00044343751460297664,2.3772907323133635e-10
BT474,BMS-265246,0.001,$k_{S}$,0.017365151825771374,3.968298027746551e-11
BT474,BMS-265246,0.001,$k_{G2}$,0.05915248947622478,3.968298027746551e-11
BT474,BMS-265246,0.001,$k_{M}$,0.05479793044639035,3.968298027746551e-11
BT474,BMS-265246,0.001,$k_{G1}$,1.1599255938761768,3.968298027746551e-11
BT474,BMS-265246,0.001,$k_{\phi}$,0.0001843428725211192,3.968298027746551e-11
