cell_line,agent,concentration,parameter,rate,obj_func
BT474,E17,0.031623,$k_{S}$,0.005860126778254,1.3161512601868937e-10
BT474,E17,0.031623,$k_{G2}$,0.029913581992342717,1.3161512601868937e-10
BT474,E17,0.031623,$k_{M}$,0.016056743612827044,1.3161512601868937e-10
BT474,E17,0.031623,$k_{G1}$,0.23713116762766476,1.3161512601868937e-10
BT474,E17,0.031623,$k_{\phi}$,0.00048230889526326644,1.3161512601868937e-10
BT474,E17,0.003162,$k_{S}$,0.014279384944262882,1.5377469786161104e-10
BT474,E17,0.003162,$k_{G2}$,0.056219068623496085,1.5377469786161104e-10
BT474,E17,0.003162,$k_{M}$,0.03597560277717088,1.5377469786161104e-10
BT474,E17,0.003162,$k_{G1}$,0.8111971915174682,1.5377469786161104e-10
BT474,E17,0.003162,$k_{\phi}$,0.00014115717119945966,1.5377469786161104e-10
BT474,E17,0.316228,$k_{S}$,0.0024557220418298547,38123.65131424392
BT474,E17,0.316228,$k_{G2}$,0.01573302127378419,38123.65131424392
BT474,E17,0.316228,$k_{M}$,0.00459710501090538,38123.65131424392
BT474,E17,0.316228,$k_{G1}$,1e-07,38123.65131424392
BT474,E17,0.316228,$k_{\phi}$,0.003341209012710661,38123.65131424392
BT474,E17,0.001,$k_{S}$,0.01718027488833153,3.744862836014593e-10
BT474,E17,0.001,$k_{G2}$,0.0421256810390288,3.744862836014593e-10
BT474,E17,0.001,$k_{M}$,0.043545274179584974,3.744862836014593e-10
BT474,E17,0.001,$k_{G1}$,0.6796476776717829,3.744862836014593e-10
BT474,E17,0.001,$k_{\phi}$,0.00011660278087071963,3.744862836014593e-10
BT474,E17,0.000316,$k_{S}$,0.020167708552398644,5.205779077162674e-10
BT474,E17,0.000316,$k_{G2}$,0.045769100655993857,5.205779077162674e-10
BT474,E17,0.000316,$k_{M}$,0.047476573344574294,5.205779077162674e-10
BT474,E17,0.000316,$k_{G1}$,0.695588347189511,5.205779077162674e-10
BT474,E17,0.000316,$k_{\phi}$,5.409197716189505e-05,5.205779077162674e-10
BT474,E17,0.1,$k_{S}$,0.0074764033968064995,1.337031950695712e-10
BT474,E17,0.1,$k_{G2}$,0.05544426298493376,1.337031950695712e-10
BT474,E17,0.1,$k_{M}$,0.017473604099741497,1.337031950695712e-10
BT474,E17,0.1,$k_{G1}$,0.308103832410317,1.337031950695712e-10
BT474,E17,0.1,$k_{\phi}$,0.008890428489655718,1.337031950695712e-10
BT474,E17,1.0,$k_{S}$,0.00181779162861353,41574.772555887044
BT474,E17,1.0,$k_{G2}$,0.014766877805425939,41574.772555887044
BT474,E17,1.0,$k_{M}$,0.004681393224278286,41574.772555887044
BT474,E17,1.0,$k_{G1}$,1e-07,41574.772555887044
BT474,E17,1.0,$k_{\phi}$,0.0022551023590137395,41574.772555887044
BT474,E17,0.01,$k_{S}$,0.010682432611762,3.482398012242889e-10
BT474,E17,0.01,$k_{G2}$,0.044516573210070944,3.482398012242889e-10
BT474,E17,0.01,$k_{M}$,0.031823578107883534,3.482398012242889e-10
BT474,E17,0.01,$k_{G1}$,0.692444136602088,3.482398012242889e-10
BT474,E17,0.01,$k_{\phi}$,0.00013748642034268972,3.482398012242889e-10
BT474,E17,0.0001,$k_{S}$,0.020565730466731342,4.730918104661924e-10
BT474,E17,0.0001,$k_{G2}$,0.036041690508611654,4.730918104661924e-10
BT474,E17,0.0001,$k_{M}$,0.04504297322513788,4.730918104661924e-10
BT474,E17,0.0001,$k_{G1}$,0.8448908752961037,4.730918104661924e-10
BT474,E17,0.0001,$k_{\phi}$,2.0592524253837328e-05,4.730918104661924e-10
