cell_line,agent,concentration,parameter,rate,obj_func
BT474,LEE011_Ribociclib,1.0,$k_{S}$,0.007984713817512095,2.4970859607705167e-10
BT474,LEE011_Ribociclib,1.0,$k_{G2}$,0.04534289754849473,2.4970859607705167e-10
BT474,LEE011_Ribociclib,1.0,$k_{M}$,0.033012118646686024,2.4970859607705167e-10
BT474,LEE011_Ribociclib,1.0,$k_{G1}$,0.29462588743167134,2.4970859607705167e-10
BT474,LEE011_Ribociclib,1.0,$k_{\phi}$,0.0005710102859765253,2.4970859607705167e-10
BT474,LEE011_Ribociclib,3.162278,$k_{S}$,0.008034432794363632,1.3944640330056434e-10
BT474,LEE011_Ribociclib,3.162278,$k_{G2}$,0.07790209506239497,1.3944640330056434e-10
BT474,LEE011_Ribociclib,3.162278,$k_{M}$,0.03710118529006058,1.3944640330056434e-10
BT474,LEE011_Ribociclib,3.162278,$k_{G1}$,0.6781258051149114,1.3944640330056434e-10
BT474,LEE011_Ribociclib,3.162278,$k_{\phi}$,0.00025647612617281645,1.3944640330056434e-10
BT474,LEE011_Ribociclib,0.01,$k_{S}$,0.015456536012064427,1.465018565099769e-10
BT474,LEE011_Ribociclib,0.01,$k_{G2}$,0.04144699466852383,1.465018565099769e-10
BT474,LEE011_Ribociclib,0.01,$k_{M}$,0.04155562594448951,1.465018565099769e-10
BT474,LEE011_Ribociclib,0.01,$k_{G1}$,0.667986063023889,1.465018565099769e-10
BT474,LEE011_Ribociclib,0.01,$k_{\phi}$,0.00017372809686995122,1.465018565099769e-10
BT474,LEE011_Ribociclib,0.1,$k_{S}$,0.01031262616079523,2.3802895196170073e-10
BT474,LEE011_Ribociclib,0.1,$k_{G2}$,0.042351523912522615,2.3802895196170073e-10
BT474,LEE011_Ribociclib,0.1,$k_{M}$,0.03300213968547548,2.3802895196170073e-10
BT474,LEE011_Ribociclib,0.1,$k_{G1}$,0.39771536475434627,2.3802895196170073e-10
BT474,LEE011_Ribociclib,0.1,$k_{\phi}$,0.0003881507284980559,2.3802895196170073e-10
BT474,LEE011_Ribociclib,0.316228,$k_{S}$,0.008083102704860786,1.6634303111458836e-10
BT474,LEE011_Ribociclib,0.316228,$k_{G2}$,0.03927682696744428,1.6634303111458836e-10
BT474,LEE011_Ribociclib,0.316228,$k_{M}$,0.026123131221592464,1.6634303111458836e-10
BT474,LEE011_Ribociclib,0.316228,$k_{G1}$,0.29488728321481184,1.6634303111458836e-10
BT474,LEE011_Ribociclib,0.316228,$k_{\phi}$,0.0002156668919382871,1.6634303111458836e-10
BT474,LEE011_Ribociclib,0.003162,$k_{S}$,0.015878536204034063,2.4942120227806515e-10
BT474,LEE011_Ribociclib,0.003162,$k_{G2}$,0.03236903275505523,2.4942120227806515e-10
BT474,LEE011_Ribociclib,0.003162,$k_{M}$,0.03957071895329222,2.4942120227806515e-10
BT474,LEE011_Ribociclib,0.003162,$k_{G1}$,0.44943662790478167,2.4942120227806515e-10
BT474,LEE011_Ribociclib,0.003162,$k_{\phi}$,9.147314553974067e-05,2.4942120227806515e-10
BT474,LEE011_Ribociclib,0.001,$k_{S}$,0.014039367725428329,5.268437992512692e-10
BT474,LEE011_Ribociclib,0.001,$k_{G2}$,0.03473744065401847,5.268437992512692e-10
BT474,LEE011_Ribociclib,0.001,$k_{M}$,0.031205856233749604,5.268437992512692e-10
BT474,LEE011_Ribociclib,0.001,$k_{G1}$,0.61763057270166,5.268437992512692e-10
BT474,LEE011_Ribociclib,0.001,$k_{\phi}$,0.00013811893122429015,5.268437992512692e-10
BT474,LEE011_Ribociclib,10.0,$k_{S}$,0.0066784154241964775,2.386163266342905e-10
BT474,LEE011_Ribociclib,10.0,$k_{G2}$,0.394171637786566,2.386163266342905e-10
BT474,LEE011_Ribociclib,10.0,$k_{M}$,0.04219373069703344,2.386163266342905e-10
BT474,LEE011_Ribociclib,10.0,$k_{G1}$,3.123160024190372,2.386163266342905e-10
BT474,LEE011_Ribociclib,10.0,$k_{\phi}$,0.00022634623874479506,2.386163266342905e-10
BT474,LEE011_Ribociclib,0.031623,$k_{S}$,0.010761173997547552,1.4056970696702427e-10
BT474,LEE011_Ribociclib,0.031623,$k_{G2}$,0.03447191678529639,1.4056970696702427e-10
BT474,LEE011_Ribociclib,0.031623,$k_{M}$,0.030121465158513657,1.4056970696702427e-10
BT474,LEE011_Ribociclib,0.031623,$k_{G1}$,0.6320157079723876,1.4056970696702427e-10
BT474,LEE011_Ribociclib,0.031623,$k_{\phi}$,0.00030814384058160474,1.4056970696702427e-10
