cell_line,agent,concentration,parameter,rate,obj_func
BT474,R0-3306,1.0,$k_{S}$,0.018577516351223965,2.964461916365925e-10
BT474,R0-3306,1.0,$k_{G2}$,0.030872908158542295,2.964461916365925e-10
BT474,R0-3306,1.0,$k_{M}$,0.04055764583361968,2.964461916365925e-10
BT474,R0-3306,1.0,$k_{G1}$,0.5259484512242049,2.964461916365925e-10
BT474,R0-3306,1.0,$k_{\phi}$,0.00014344756126091182,2.964461916365925e-10
BT474,R0-3306,0.316228,$k_{S}$,0.016837543508567636,5.419494941368339e-10
BT474,R0-3306,0.316228,$k_{G2}$,0.029955216943020137,5.419494941368339e-10
BT474,R0-3306,0.316228,$k_{M}$,0.03702432130631982,5.419494941368339e-10
BT474,R0-3306,0.316228,$k_{G1}$,0.48724643049605054,5.419494941368339e-10
BT474,R0-3306,0.316228,$k_{\phi}$,1.8444847712450114e-05,5.419494941368339e-10
BT474,R0-3306,0.003162,$k_{S}$,0.019020202944972614,4.240198737678862e-10
BT474,R0-3306,0.003162,$k_{G2}$,0.032786414935105264,4.240198737678862e-10
BT474,R0-3306,0.003162,$k_{M}$,0.04172783440836876,4.240198737678862e-10
BT474,R0-3306,0.003162,$k_{G1}$,0.5032697195381256,4.240198737678862e-10
BT474,R0-3306,0.003162,$k_{\phi}$,0.000161967173504869,4.240198737678862e-10
BT474,R0-3306,0.001,$k_{S}$,0.020702506129266607,3.555128463876671e-10
BT474,R0-3306,0.001,$k_{G2}$,0.03683736695006821,3.555128463876671e-10
BT474,R0-3306,0.001,$k_{M}$,0.047895646237572184,3.555128463876671e-10
BT474,R0-3306,0.001,$k_{G1}$,0.5698523159162168,3.555128463876671e-10
BT474,R0-3306,0.001,$k_{\phi}$,0.00014697330167866317,3.555128463876671e-10
BT474,R0-3306,10.0,$k_{S}$,0.013771765233899717,1.8511842356272332e-10
BT474,R0-3306,10.0,$k_{G2}$,0.07777908712400508,1.8511842356272332e-10
BT474,R0-3306,10.0,$k_{M}$,0.01173190612871712,1.8511842356272332e-10
BT474,R0-3306,10.0,$k_{G1}$,0.051312904603682055,1.8511842356272332e-10
BT474,R0-3306,10.0,$k_{\phi}$,0.0012393141697109801,1.8511842356272332e-10
BT474,R0-3306,0.1,$k_{S}$,0.019001268581685587,5.185792989859426e-10
BT474,R0-3306,0.1,$k_{G2}$,0.031124314789520616,5.185792989859426e-10
BT474,R0-3306,0.1,$k_{M}$,0.03897594400493505,5.185792989859426e-10
BT474,R0-3306,0.1,$k_{G1}$,0.7117575414664905,5.185792989859426e-10
BT474,R0-3306,0.1,$k_{\phi}$,3.1202063264816824e-05,5.185792989859426e-10
BT474,R0-3306,0.01,$k_{S}$,0.012755620791385773,5.465543350454198e-11
BT474,R0-3306,0.01,$k_{G2}$,0.022481207225571127,5.465543350454198e-11
BT474,R0-3306,0.01,$k_{M}$,0.028124482952477717,5.465543350454198e-11
BT474,R0-3306,0.01,$k_{G1}$,0.3619143541052232,5.465543350454198e-11
BT474,R0-3306,0.01,$k_{\phi}$,0.00013692829656253123,5.465543350454198e-11
BT474,R0-3306,3.162278,$k_{S}$,0.01516210553842644,3.42985752206439e-10
BT474,R0-3306,3.162278,$k_{G2}$,0.02679657935409252,3.42985752206439e-10
BT474,R0-3306,3.162278,$k_{M}$,0.032315232289952825,3.42985752206439e-10
BT474,R0-3306,3.162278,$k_{G1}$,0.28133881727584226,3.42985752206439e-10
BT474,R0-3306,3.162278,$k_{\phi}$,7.461686811537403e-05,3.42985752206439e-10
BT474,R0-3306,0.031623,$k_{S}$,0.01850951250620716,1.6808824107471466e-05
BT474,R0-3306,0.031623,$k_{G2}$,0.03970246980220376,1.6808824107471466e-05
BT474,R0-3306,0.031623,$k_{M}$,0.04184107472642089,1.6808824107471466e-05
BT474,R0-3306,0.031623,$k_{G1}$,0.711288615117828,1.6808824107471466e-05
BT474,R0-3306,0.031623,$k_{\phi}$,6.884390321437186e-05,1.6808824107471466e-05
