cell_line,agent,concentration,parameter,rate,obj_func
BT483,Abemaciclib_LY2835219,10.0,$k_{S}$,0.0014693143735141157,1.9569296437120413e-10
BT483,Abemaciclib_LY2835219,10.0,$k_{G2}$,2.0235909865071275,1.9569296437120413e-10
BT483,Abemaciclib_LY2835219,10.0,$k_{M}$,0.010582718304422103,1.9569296437120413e-10
BT483,Abemaciclib_LY2835219,10.0,$k_{G1}$,0.9360257936121299,1.9569296437120413e-10
BT483,Abemaciclib_LY2835219,10.0,$k_{\phi}$,0.0006550037560194498,1.9569296437120413e-10
BT483,Abemaciclib_LY2835219,3.1623,$k_{S}$,0.001739092342908858,2.357675408143381e-10
BT483,Abemaciclib_LY2835219,3.1623,$k_{G2}$,4.877225805077703,2.357675408143381e-10
BT483,Abemaciclib_LY2835219,3.1623,$k_{M}$,0.011075519654436431,2.357675408143381e-10
BT483,Abemaciclib_LY2835219,3.1623,$k_{G1}$,0.5164958942558425,2.357675408143381e-10
BT483,Abemaciclib_LY2835219,3.1623,$k_{\phi}$,0.0004161957655500598,2.357675408143381e-10
BT483,Abemaciclib_LY2835219,1.0,$k_{S}$,0.0008878981075886783,3.16304654438687e-10
BT483,Abemaciclib_LY2835219,1.0,$k_{G2}$,0.08850641899348392,3.16304654438687e-10
BT483,Abemaciclib_LY2835219,1.0,$k_{M}$,0.00989142710047881,3.16304654438687e-10
BT483,Abemaciclib_LY2835219,1.0,$k_{G1}$,2.3392677780793925,3.16304654438687e-10
BT483,Abemaciclib_LY2835219,1.0,$k_{\phi}$,0.0005388400788906152,3.16304654438687e-10
BT483,Abemaciclib_LY2835219,0.31623,$k_{S}$,0.0031413308455463767,1.6885727944447753e-10
BT483,Abemaciclib_LY2835219,0.31623,$k_{G2}$,0.1318842006958754,1.6885727944447753e-10
BT483,Abemaciclib_LY2835219,0.31623,$k_{M}$,0.017555590211127802,1.6885727944447753e-10
BT483,Abemaciclib_LY2835219,0.31623,$k_{G1}$,2.2958441491558794,1.6885727944447753e-10
BT483,Abemaciclib_LY2835219,0.31623,$k_{\phi}$,0.0007718186654131914,1.6885727944447753e-10
BT483,Abemaciclib_LY2835219,0.1,$k_{S}$,0.0030869554479440024,1.691191020711094e-10
BT483,Abemaciclib_LY2835219,0.1,$k_{G2}$,0.06590370739524803,1.691191020711094e-10
BT483,Abemaciclib_LY2835219,0.1,$k_{M}$,0.015353456516750607,1.691191020711094e-10
BT483,Abemaciclib_LY2835219,0.1,$k_{G1}$,0.9349888407170718,1.691191020711094e-10
BT483,Abemaciclib_LY2835219,0.1,$k_{\phi}$,0.00036876370504932045,1.691191020711094e-10
BT483,Abemaciclib_LY2835219,0.031623,$k_{S}$,0.005647269882167428,1.6860905000781045e-10
BT483,Abemaciclib_LY2835219,0.031623,$k_{G2}$,0.08134493797663515,1.6860905000781045e-10
BT483,Abemaciclib_LY2835219,0.031623,$k_{M}$,0.0242590765420453,1.6860905000781045e-10
BT483,Abemaciclib_LY2835219,0.031623,$k_{G1}$,0.6432784619639764,1.6860905000781045e-10
BT483,Abemaciclib_LY2835219,0.031623,$k_{\phi}$,0.0007680987428319452,1.6860905000781045e-10
BT483,Abemaciclib_LY2835219,0.01,$k_{S}$,0.0100287154998475,1.5996684291329512e-10
BT483,Abemaciclib_LY2835219,0.01,$k_{G2}$,0.06477834434698516,1.5996684291329512e-10
BT483,Abemaciclib_LY2835219,0.01,$k_{M}$,0.02973235561276354,1.5996684291329512e-10
BT483,Abemaciclib_LY2835219,0.01,$k_{G1}$,0.47483637552703617,1.5996684291329512e-10
BT483,Abemaciclib_LY2835219,0.01,$k_{\phi}$,0.000574236632712329,1.5996684291329512e-10
BT483,Abemaciclib_LY2835219,0.003162,$k_{S}$,0.010995013390314265,1.5486850541434843e-10
BT483,Abemaciclib_LY2835219,0.003162,$k_{G2}$,0.057335473720463714,1.5486850541434843e-10
BT483,Abemaciclib_LY2835219,0.003162,$k_{M}$,0.027652131256307902,1.5486850541434843e-10
BT483,Abemaciclib_LY2835219,0.003162,$k_{G1}$,0.40544406246264475,1.5486850541434843e-10
BT483,Abemaciclib_LY2835219,0.003162,$k_{\phi}$,0.0005348506785117716,1.5486850541434843e-10
BT483,Abemaciclib_LY2835219,0.001,$k_{S}$,0.012544016368894597,2.361014191932139e-10
BT483,Abemaciclib_LY2835219,0.001,$k_{G2}$,0.06282365430044216,2.361014191932139e-10
BT483,Abemaciclib_LY2835219,0.001,$k_{M}$,0.03191953800591717,2.361014191932139e-10
BT483,Abemaciclib_LY2835219,0.001,$k_{G1}$,0.5801328172727553,2.361014191932139e-10
BT483,Abemaciclib_LY2835219,0.001,$k_{\phi}$,0.0007886883222608953,2.361014191932139e-10
