cell_line,agent,concentration,parameter,rate,obj_func
BT483,THZ531,1.0,$k_{S}$,0.0031132294029099115,16305.291729559418
BT483,THZ531,1.0,$k_{G2}$,0.019142544974225278,16305.291729559418
BT483,THZ531,1.0,$k_{M}$,0.00384033710753838,16305.291729559418
BT483,THZ531,1.0,$k_{G1}$,1e-07,16305.291729559418
BT483,THZ531,1.0,$k_{\phi}$,0.00254618292250784,16305.291729559418
BT483,THZ531,0.001,$k_{S}$,0.011201627672862542,3.099628274809916e-10
BT483,THZ531,0.001,$k_{G2}$,0.047769240576535185,3.099628274809916e-10
BT483,THZ531,0.001,$k_{M}$,0.025526244373370595,3.099628274809916e-10
BT483,THZ531,0.001,$k_{G1}$,0.5958841976888886,3.099628274809916e-10
BT483,THZ531,0.001,$k_{\phi}$,0.0005851498866815668,3.099628274809916e-10
BT483,THZ531,0.1,$k_{S}$,0.01060826801188131,3.293013545265168e-10
BT483,THZ531,0.1,$k_{G2}$,0.023752030684711843,3.293013545265168e-10
BT483,THZ531,0.1,$k_{M}$,0.01930474497621117,3.293013545265168e-10
BT483,THZ531,0.1,$k_{G1}$,0.4027869754258171,3.293013545265168e-10
BT483,THZ531,0.1,$k_{\phi}$,0.0008257673370960997,3.293013545265168e-10
BT483,THZ531,0.01,$k_{S}$,0.014501310623788358,1.3068077448906085e-10
BT483,THZ531,0.01,$k_{G2}$,0.06869674675044096,1.3068077448906085e-10
BT483,THZ531,0.01,$k_{M}$,0.03380096038678386,1.3068077448906085e-10
BT483,THZ531,0.01,$k_{G1}$,0.6164817702457135,1.3068077448906085e-10
BT483,THZ531,0.01,$k_{\phi}$,0.001005352658290912,1.3068077448906085e-10
BT483,THZ531,0.031623,$k_{S}$,0.010358681652631402,1.1516311305809545e-10
BT483,THZ531,0.031623,$k_{G2}$,0.06122668942345254,1.1516311305809545e-10
BT483,THZ531,0.031623,$k_{M}$,0.027425327369636203,1.1516311305809545e-10
BT483,THZ531,0.031623,$k_{G1}$,0.5866190110784772,1.1516311305809545e-10
BT483,THZ531,0.031623,$k_{\phi}$,0.0010586355206745586,1.1516311305809545e-10
BT483,THZ531,0.0001,$k_{S}$,0.011964461591018598,1.334622902945861e-10
BT483,THZ531,0.0001,$k_{G2}$,0.05582888201605986,1.334622902945861e-10
BT483,THZ531,0.0001,$k_{M}$,0.027800170848346035,1.334622902945861e-10
BT483,THZ531,0.0001,$k_{G1}$,0.4908375983832756,1.334622902945861e-10
BT483,THZ531,0.0001,$k_{\phi}$,0.0006165225053044527,1.334622902945861e-10
BT483,THZ531,0.316228,$k_{S}$,0.003080160870701368,16881.35140498293
BT483,THZ531,0.316228,$k_{G2}$,0.013088929934393836,16881.35140498293
BT483,THZ531,0.316228,$k_{M}$,0.0043307288634174415,16881.35140498293
BT483,THZ531,0.316228,$k_{G1}$,1e-07,16881.35140498293
BT483,THZ531,0.316228,$k_{\phi}$,0.001786094471978958,16881.35140498293
BT483,THZ531,0.003162,$k_{S}$,0.008718531541309972,1.8568646479710702e-10
BT483,THZ531,0.003162,$k_{G2}$,0.042023208581850345,1.8568646479710702e-10
BT483,THZ531,0.003162,$k_{M}$,0.019895539270013463,1.8568646479710702e-10
BT483,THZ531,0.003162,$k_{G1}$,0.2768969815330969,1.8568646479710702e-10
BT483,THZ531,0.003162,$k_{\phi}$,0.00020440962253175386,1.8568646479710702e-10
BT483,THZ531,0.000316,$k_{S}$,0.009473114964829204,1.3601469685063354e-10
BT483,THZ531,0.000316,$k_{G2}$,0.050103297685546354,1.3601469685063354e-10
BT483,THZ531,0.000316,$k_{M}$,0.022617162560790206,1.3601469685063354e-10
BT483,THZ531,0.000316,$k_{G1}$,0.4538808474876425,1.3601469685063354e-10
BT483,THZ531,0.000316,$k_{\phi}$,0.0002526427870681849,1.3601469685063354e-10
