cell_line,agent,concentration,parameter,rate,obj_func
BT549,AZD2014,1.0,$k_{S}$,0.026038163762623485,2.2051059323997323e-05
BT549,AZD2014,1.0,$k_{G2}$,0.03679948449447141,2.2051059323997323e-05
BT549,AZD2014,1.0,$k_{M}$,0.06604968395649446,2.2051059323997323e-05
BT549,AZD2014,1.0,$k_{G1}$,0.8740771764344559,2.2051059323997323e-05
BT549,AZD2014,1.0,$k_{\phi}$,6.281227288392742e-05,2.2051059323997323e-05
BT549,AZD2014,10.0,$k_{S}$,1e-07,4230.1165158660615
BT549,AZD2014,10.0,$k_{G2}$,0.019697175784203366,4230.1165158660615
BT549,AZD2014,10.0,$k_{M}$,0.017322515932541607,4230.1165158660615
BT549,AZD2014,10.0,$k_{G1}$,0.09954947727277358,4230.1165158660615
BT549,AZD2014,10.0,$k_{\phi}$,0.0005596989137274438,4230.1165158660615
BT549,AZD2014,0.1,$k_{S}$,0.034963319462253124,2.9413926055336702e-06
BT549,AZD2014,0.1,$k_{G2}$,0.04772998989454499,2.9413926055336702e-06
BT549,AZD2014,0.1,$k_{M}$,0.092641223403773,2.9413926055336702e-06
BT549,AZD2014,0.1,$k_{G1}$,0.708722123883682,2.9413926055336702e-06
BT549,AZD2014,0.1,$k_{\phi}$,4.2627897642845766e-05,2.9413926055336702e-06
BT549,AZD2014,0.003162,$k_{S}$,0.041566134866865584,1.0228997516854088e-09
BT549,AZD2014,0.003162,$k_{G2}$,0.06645913670408173,1.0228997516854088e-09
BT549,AZD2014,0.003162,$k_{M}$,0.11379449697854102,1.0228997516854088e-09
BT549,AZD2014,0.003162,$k_{G1}$,0.6680678963723365,1.0228997516854088e-09
BT549,AZD2014,0.003162,$k_{\phi}$,0.00014822673084790395,1.0228997516854088e-09
BT549,AZD2014,0.031623,$k_{S}$,0.035865833541867696,1.7358032909852492e-09
BT549,AZD2014,0.031623,$k_{G2}$,0.06536308629821327,1.7358032909852492e-09
BT549,AZD2014,0.031623,$k_{M}$,0.09421247825962399,1.7358032909852492e-09
BT549,AZD2014,0.031623,$k_{G1}$,0.6274209943535526,1.7358032909852492e-09
BT549,AZD2014,0.031623,$k_{\phi}$,0.00016147857913029784,1.7358032909852492e-09
BT549,AZD2014,0.01,$k_{S}$,0.03885770828252314,8.232702237642019e-10
BT549,AZD2014,0.01,$k_{G2}$,0.06696416235091174,8.232702237642019e-10
BT549,AZD2014,0.01,$k_{M}$,0.09601017877655221,8.232702237642019e-10
BT549,AZD2014,0.01,$k_{G1}$,0.8294102475235001,8.232702237642019e-10
BT549,AZD2014,0.01,$k_{\phi}$,0.0001407737210720297,8.232702237642019e-10
BT549,AZD2014,0.316228,$k_{S}$,0.026714614019180863,2.9853347339409788e-05
BT549,AZD2014,0.316228,$k_{G2}$,0.0349252734923994,2.9853347339409788e-05
BT549,AZD2014,0.316228,$k_{M}$,0.06443396932917657,2.9853347339409788e-05
BT549,AZD2014,0.316228,$k_{G1}$,1.31890854204724,2.9853347339409788e-05
BT549,AZD2014,0.316228,$k_{\phi}$,0.0001797514333058445,2.9853347339409788e-05
BT549,AZD2014,3.162278,$k_{S}$,0.008991412980297162,1.0643192122782069e-09
BT549,AZD2014,3.162278,$k_{G2}$,0.017874248399109036,1.0643192122782069e-09
BT549,AZD2014,3.162278,$k_{M}$,0.033548233825552436,1.0643192122782069e-09
BT549,AZD2014,3.162278,$k_{G1}$,0.656847589020111,1.0643192122782069e-09
BT549,AZD2014,3.162278,$k_{\phi}$,0.00020507109762374633,1.0643192122782069e-09
BT549,AZD2014,0.001,$k_{S}$,0.04182261871274146,3.006435245503864e-09
BT549,AZD2014,0.001,$k_{G2}$,0.06345188354704939,3.006435245503864e-09
BT549,AZD2014,0.001,$k_{M}$,0.1010721128792549,3.006435245503864e-09
BT549,AZD2014,0.001,$k_{G1}$,0.8246526995262697,3.006435245503864e-09
BT549,AZD2014,0.001,$k_{\phi}$,0.00025731554022696916,3.006435245503864e-09
