cell_line,agent,concentration,parameter,rate,obj_func
BT549,BSJ-03-123,0.1,$k_{S}$,0.05653143697721201,3.699085183481819e-09
BT549,BSJ-03-123,0.1,$k_{G2}$,0.07779827520943819,3.699085183481819e-09
BT549,BSJ-03-123,0.1,$k_{M}$,0.13032701048559,3.699085183481819e-09
BT549,BSJ-03-123,0.1,$k_{G1}$,0.9267339902283346,3.699085183481819e-09
BT549,BSJ-03-123,0.1,$k_{\phi}$,0.0003282764926886139,3.699085183481819e-09
BT549,BSJ-03-123,1.0,$k_{S}$,0.05552255008432177,3.3242878075304228e-09
BT549,BSJ-03-123,1.0,$k_{G2}$,0.07130917892674203,3.3242878075304228e-09
BT549,BSJ-03-123,1.0,$k_{M}$,0.13147410055120476,3.3242878075304228e-09
BT549,BSJ-03-123,1.0,$k_{G1}$,0.8661341312304677,3.3242878075304228e-09
BT549,BSJ-03-123,1.0,$k_{\phi}$,0.0002566000928155225,3.3242878075304228e-09
BT549,BSJ-03-123,10.0,$k_{S}$,0.021495002685741373,1.7307619987393267e-10
BT549,BSJ-03-123,10.0,$k_{G2}$,0.007016838885422356,1.7307619987393267e-10
BT549,BSJ-03-123,10.0,$k_{M}$,0.02512059727947151,1.7307619987393267e-10
BT549,BSJ-03-123,10.0,$k_{G1}$,0.032339827060396044,1.7307619987393267e-10
BT549,BSJ-03-123,10.0,$k_{\phi}$,0.0018738734254808837,1.7307619987393267e-10
BT549,BSJ-03-123,3.162278,$k_{S}$,0.05831539636545939,3.944030562724868e-09
BT549,BSJ-03-123,3.162278,$k_{G2}$,0.06264798832242537,3.944030562724868e-09
BT549,BSJ-03-123,3.162278,$k_{M}$,0.12253329472764733,3.944030562724868e-09
BT549,BSJ-03-123,3.162278,$k_{G1}$,0.8958257400018551,3.944030562724868e-09
BT549,BSJ-03-123,3.162278,$k_{\phi}$,0.000284911400911974,3.944030562724868e-09
BT549,BSJ-03-123,0.01,$k_{S}$,0.05443708442305773,1.1343360041948542e-09
BT549,BSJ-03-123,0.01,$k_{G2}$,0.08474899948997601,1.1343360041948542e-09
BT549,BSJ-03-123,0.01,$k_{M}$,0.12190769020407975,1.1343360041948542e-09
BT549,BSJ-03-123,0.01,$k_{G1}$,1.0104753465006433,1.1343360041948542e-09
BT549,BSJ-03-123,0.01,$k_{\phi}$,0.00023594940505821765,1.1343360041948542e-09
BT549,BSJ-03-123,0.001,$k_{S}$,0.05445968515180861,2.5899273023762665e-09
BT549,BSJ-03-123,0.001,$k_{G2}$,0.08043925745690367,2.5899273023762665e-09
BT549,BSJ-03-123,0.001,$k_{M}$,0.12733875202292852,2.5899273023762665e-09
BT549,BSJ-03-123,0.001,$k_{G1}$,1.1181959763585188,2.5899273023762665e-09
BT549,BSJ-03-123,0.001,$k_{\phi}$,0.00025710690248092566,2.5899273023762665e-09
BT549,BSJ-03-123,0.003162,$k_{S}$,0.05413139867332842,3.516556244590798e-09
BT549,BSJ-03-123,0.003162,$k_{G2}$,0.08139031017239799,3.516556244590798e-09
BT549,BSJ-03-123,0.003162,$k_{M}$,0.12907909843870827,3.516556244590798e-09
BT549,BSJ-03-123,0.003162,$k_{G1}$,0.831346953238152,3.516556244590798e-09
BT549,BSJ-03-123,0.003162,$k_{\phi}$,0.0002912547948715035,3.516556244590798e-09
BT549,BSJ-03-123,0.031623,$k_{S}$,0.0534749658423087,1.4234972379931804e-09
BT549,BSJ-03-123,0.031623,$k_{G2}$,0.09304973306520073,1.4234972379931804e-09
BT549,BSJ-03-123,0.031623,$k_{M}$,0.11130884944023066,1.4234972379931804e-09
BT549,BSJ-03-123,0.031623,$k_{G1}$,0.2718190964837419,1.4234972379931804e-09
BT549,BSJ-03-123,0.031623,$k_{\phi}$,0.0012283182750802495,1.4234972379931804e-09
BT549,BSJ-03-123,0.316228,$k_{S}$,0.05420702984312964,4.351200090034729e-09
BT549,BSJ-03-123,0.316228,$k_{G2}$,0.07845460253564489,4.351200090034729e-09
BT549,BSJ-03-123,0.316228,$k_{M}$,0.1263752004799112,4.351200090034729e-09
BT549,BSJ-03-123,0.316228,$k_{G1}$,0.870577981477457,4.351200090034729e-09
BT549,BSJ-03-123,0.316228,$k_{\phi}$,0.0002646830133831022,4.351200090034729e-09
