cell_line,agent,concentration,parameter,rate,obj_func
BT549,SY-1365,1.0,$k_{S}$,0.0057334418119210475,156971.04255961865
BT549,SY-1365,1.0,$k_{G2}$,0.013691046747046819,156971.04255961865
BT549,SY-1365,1.0,$k_{M}$,0.020668181759964075,156971.04255961865
BT549,SY-1365,1.0,$k_{G1}$,1e-07,156971.04255961865
BT549,SY-1365,1.0,$k_{\phi}$,0.0030351238951467547,156971.04255961865
BT549,SY-1365,0.031623,$k_{S}$,0.0016752673299434584,202240.97142795258
BT549,SY-1365,0.031623,$k_{G2}$,0.016924956384256142,202240.97142795258
BT549,SY-1365,0.031623,$k_{M}$,0.012064073663605639,202240.97142795258
BT549,SY-1365,0.031623,$k_{G1}$,1e-07,202240.97142795258
BT549,SY-1365,0.031623,$k_{\phi}$,0.003012680290721017,202240.97142795258
BT549,SY-1365,3.162278,$k_{S}$,0.0019084505191066152,179584.17147349683
BT549,SY-1365,3.162278,$k_{G2}$,0.01599619720603559,179584.17147349683
BT549,SY-1365,3.162278,$k_{M}$,0.013093910042179439,179584.17147349683
BT549,SY-1365,3.162278,$k_{G1}$,1e-07,179584.17147349683
BT549,SY-1365,3.162278,$k_{\phi}$,0.0031150689222423818,179584.17147349683
BT549,SY-1365,0.001,$k_{S}$,0.043471910949544744,3.4963860521783107e-10
BT549,SY-1365,0.001,$k_{G2}$,0.01161154072957104,3.4963860521783107e-10
BT549,SY-1365,0.001,$k_{M}$,0.037959630394153746,3.4963860521783107e-10
BT549,SY-1365,0.001,$k_{G1}$,0.1308873698906766,3.4963860521783107e-10
BT549,SY-1365,0.001,$k_{\phi}$,0.002159810747038131,3.4963860521783107e-10
BT549,SY-1365,10.0,$k_{S}$,0.0013466646993707293,315550.7018317399
BT549,SY-1365,10.0,$k_{G2}$,0.012969914958101804,315550.7018317399
BT549,SY-1365,10.0,$k_{M}$,0.009738973617457973,315550.7018317399
BT549,SY-1365,10.0,$k_{G1}$,1e-07,315550.7018317399
BT549,SY-1365,10.0,$k_{\phi}$,0.003139142414195757,315550.7018317399
BT549,SY-1365,0.003162,$k_{S}$,0.00040246008233748513,1470.7116333614515
BT549,SY-1365,0.003162,$k_{G2}$,0.00804109814568355,1470.7116333614515
BT549,SY-1365,0.003162,$k_{M}$,0.005061807942633267,1470.7116333614515
BT549,SY-1365,0.003162,$k_{G1}$,1e-07,1470.7116333614515
BT549,SY-1365,0.003162,$k_{\phi}$,0.0024234124426831573,1470.7116333614515
BT549,SY-1365,0.1,$k_{S}$,0.0009886266928621993,175626.3511779167
BT549,SY-1365,0.1,$k_{G2}$,0.016796711696541775,175626.3511779167
BT549,SY-1365,0.1,$k_{M}$,0.012809601988680717,175626.3511779167
BT549,SY-1365,0.1,$k_{G1}$,1e-07,175626.3511779167
BT549,SY-1365,0.1,$k_{\phi}$,0.0032623449269727394,175626.3511779167
BT549,SY-1365,0.01,$k_{S}$,0.004127725223167811,114989.72821099006
BT549,SY-1365,0.01,$k_{G2}$,0.015042272685973319,114989.72821099006
BT549,SY-1365,0.01,$k_{M}$,0.01601802173400319,114989.72821099006
BT549,SY-1365,0.01,$k_{G1}$,1e-07,114989.72821099006
BT549,SY-1365,0.01,$k_{\phi}$,0.0031639859938147503,114989.72821099006
BT549,SY-1365,0.316228,$k_{S}$,0.0009800211267204,145040.03218045962
BT549,SY-1365,0.316228,$k_{G2}$,0.016839610717309425,145040.03218045962
BT549,SY-1365,0.316228,$k_{M}$,0.013161721124520102,145040.03218045962
BT549,SY-1365,0.316228,$k_{G1}$,1e-07,145040.03218045962
BT549,SY-1365,0.316228,$k_{\phi}$,0.0035684414138978686,145040.03218045962
