cell_line,agent,concentration,parameter,rate,obj_func
CAL120,E17,0.000316,$k_{S}$,0.10207344285115273,4.989634348066617e-10
CAL120,E17,0.000316,$k_{G2}$,0.08562372502749324,4.989634348066617e-10
CAL120,E17,0.000316,$k_{M}$,0.14188399320555783,4.989634348066617e-10
CAL120,E17,0.000316,$k_{G1}$,0.4920523242721534,4.989634348066617e-10
CAL120,E17,0.000316,$k_{\phi}$,0.0001413453205621743,4.989634348066617e-10
CAL120,E17,0.1,$k_{S}$,1e-07,21328.134150136484
CAL120,E17,0.1,$k_{G2}$,0.02155764238544871,21328.134150136484
CAL120,E17,0.1,$k_{M}$,0.019435562180654047,21328.134150136484
CAL120,E17,0.1,$k_{G1}$,0.004398948176809777,21328.134150136484
CAL120,E17,0.1,$k_{\phi}$,0.0009262945810826034,21328.134150136484
CAL120,E17,0.003162,$k_{S}$,0.05368730520681539,94.36827530383202
CAL120,E17,0.003162,$k_{G2}$,0.04870092113197289,94.36827530383202
CAL120,E17,0.003162,$k_{M}$,0.07580065520305002,94.36827530383202
CAL120,E17,0.003162,$k_{G1}$,0.15906545640798686,94.36827530383202
CAL120,E17,0.003162,$k_{\phi}$,1e-07,94.36827530383202
CAL120,E17,0.001,$k_{S}$,0.07546987112641589,1.3505845906818728e-10
CAL120,E17,0.001,$k_{G2}$,0.05530385579864747,1.3505845906818728e-10
CAL120,E17,0.001,$k_{M}$,0.07173821824831267,1.3505845906818728e-10
CAL120,E17,0.001,$k_{G1}$,0.3231800869485126,1.3505845906818728e-10
CAL120,E17,0.001,$k_{\phi}$,0.0009962817380387763,1.3505845906818728e-10
CAL120,E17,0.0001,$k_{S}$,0.1093672415305065,2.1848493064226142e-09
CAL120,E17,0.0001,$k_{G2}$,0.08258470045102626,2.1848493064226142e-09
CAL120,E17,0.0001,$k_{M}$,0.1476558619456058,2.1848493064226142e-09
CAL120,E17,0.0001,$k_{G1}$,0.5134864020236672,2.1848493064226142e-09
CAL120,E17,0.0001,$k_{\phi}$,7.084969472115065e-06,2.1848493064226142e-09
CAL120,E17,0.01,$k_{S}$,1e-07,27891.449478903167
CAL120,E17,0.01,$k_{G2}$,0.01725055136062775,27891.449478903167
CAL120,E17,0.01,$k_{M}$,0.019441683870680168,27891.449478903167
CAL120,E17,0.01,$k_{G1}$,0.00207993518631113,27891.449478903167
CAL120,E17,0.01,$k_{\phi}$,0.0010315639182870355,27891.449478903167
CAL120,E17,0.031623,$k_{S}$,1e-07,29313.84786143223
CAL120,E17,0.031623,$k_{G2}$,0.018767619930267928,29313.84786143223
CAL120,E17,0.031623,$k_{M}$,0.021331749165479152,29313.84786143223
CAL120,E17,0.031623,$k_{G1}$,0.0036854376181719778,29313.84786143223
CAL120,E17,0.031623,$k_{\phi}$,0.0013806451699179757,29313.84786143223
CAL120,E17,0.316228,$k_{S}$,1e-07,16844.360540834285
CAL120,E17,0.316228,$k_{G2}$,0.017687625515324108,16844.360540834285
CAL120,E17,0.316228,$k_{M}$,0.013688006692613944,16844.360540834285
CAL120,E17,0.316228,$k_{G1}$,0.005138121824775355,16844.360540834285
CAL120,E17,0.316228,$k_{\phi}$,0.0007254209514953207,16844.360540834285
CAL120,E17,1.0,$k_{S}$,1e-07,19463.98668422836
CAL120,E17,1.0,$k_{G2}$,0.01791548405699845,19463.98668422836
CAL120,E17,1.0,$k_{M}$,0.018846875988782878,19463.98668422836
CAL120,E17,1.0,$k_{G1}$,0.012598817853318085,19463.98668422836
CAL120,E17,1.0,$k_{\phi}$,0.0011223422445311862,19463.98668422836
