cell_line,agent,concentration,parameter,rate,obj_func
CAL120,SY-1365,1e-05,$k_{S}$,0.10354603148701977,1.392567114410873e-09
CAL120,SY-1365,1e-05,$k_{G2}$,0.08764464619379086,1.392567114410873e-09
CAL120,SY-1365,1e-05,$k_{M}$,0.14139855972515997,1.392567114410873e-09
CAL120,SY-1365,1e-05,$k_{G1}$,0.4884288050371461,1.392567114410873e-09
CAL120,SY-1365,1e-05,$k_{\phi}$,5.445591718076614e-05,1.392567114410873e-09
CAL120,SY-1365,0.031623,$k_{S}$,1e-07,4286.54997137256
CAL120,SY-1365,0.031623,$k_{G2}$,0.0335447447120644,4286.54997137256
CAL120,SY-1365,0.031623,$k_{M}$,0.005386401499527393,4286.54997137256
CAL120,SY-1365,0.031623,$k_{G1}$,0.013853382224936926,4286.54997137256
CAL120,SY-1365,0.031623,$k_{\phi}$,0.00032993351220459994,4286.54997137256
CAL120,SY-1365,0.000316,$k_{S}$,0.1089430236691909,5.199607181914816e-10
CAL120,SY-1365,0.000316,$k_{G2}$,0.08677880195854987,5.199607181914816e-10
CAL120,SY-1365,0.000316,$k_{M}$,0.13600835308032413,5.199607181914816e-10
CAL120,SY-1365,0.000316,$k_{G1}$,0.48669616106606894,5.199607181914816e-10
CAL120,SY-1365,0.000316,$k_{\phi}$,0.00018319940936095677,5.199607181914816e-10
CAL120,SY-1365,0.001,$k_{S}$,0.040563007878379555,7.954484022179401e-11
CAL120,SY-1365,0.001,$k_{G2}$,0.07580838979481572,7.954484022179401e-11
CAL120,SY-1365,0.001,$k_{M}$,0.03884849813595116,7.954484022179401e-11
CAL120,SY-1365,0.001,$k_{G1}$,0.1372226550635497,7.954484022179401e-11
CAL120,SY-1365,0.001,$k_{\phi}$,0.000818636108984389,7.954484022179401e-11
CAL120,SY-1365,0.0001,$k_{S}$,0.10922526462434215,1.3097334168411791e-09
CAL120,SY-1365,0.0001,$k_{G2}$,0.08445206147680696,1.3097334168411791e-09
CAL120,SY-1365,0.0001,$k_{M}$,0.1435690148908027,1.3097334168411791e-09
CAL120,SY-1365,0.0001,$k_{G1}$,0.49479206310797563,1.3097334168411791e-09
CAL120,SY-1365,0.0001,$k_{\phi}$,5.664803777908176e-05,1.3097334168411791e-09
CAL120,SY-1365,0.003162,$k_{S}$,1e-07,579.4982063730242
CAL120,SY-1365,0.003162,$k_{G2}$,0.03187668668164603,579.4982063730242
CAL120,SY-1365,0.003162,$k_{M}$,0.004476638170848671,579.4982063730242
CAL120,SY-1365,0.003162,$k_{G1}$,0.016443975147543186,579.4982063730242
CAL120,SY-1365,0.003162,$k_{\phi}$,0.00033211135315243655,579.4982063730242
CAL120,SY-1365,0.1,$k_{S}$,1e-07,4175.3702581642665
CAL120,SY-1365,0.1,$k_{G2}$,0.03378704867783571,4175.3702581642665
CAL120,SY-1365,0.1,$k_{M}$,0.004909586492806323,4175.3702581642665
CAL120,SY-1365,0.1,$k_{G1}$,0.014332919460233563,4175.3702581642665
CAL120,SY-1365,0.1,$k_{\phi}$,0.00027338908665992226,4175.3702581642665
CAL120,SY-1365,0.01,$k_{S}$,1e-07,1459.8994327512066
CAL120,SY-1365,0.01,$k_{G2}$,0.034848695713649964,1459.8994327512066
CAL120,SY-1365,0.01,$k_{M}$,0.005126715496163512,1459.8994327512066
CAL120,SY-1365,0.01,$k_{G1}$,0.01127276886911051,1459.8994327512066
CAL120,SY-1365,0.01,$k_{\phi}$,7.445979448530416e-05,1459.8994327512066
CAL120,SY-1365,3.2e-05,$k_{S}$,0.10554440447187938,1.7939374325008084e-09
CAL120,SY-1365,3.2e-05,$k_{G2}$,0.08921658235030068,1.7939374325008084e-09
CAL120,SY-1365,3.2e-05,$k_{M}$,0.14935528287688757,1.7939374325008084e-09
CAL120,SY-1365,3.2e-05,$k_{G1}$,0.5378608547909897,1.7939374325008084e-09
CAL120,SY-1365,3.2e-05,$k_{\phi}$,0.0001600374497280505,1.7939374325008084e-09
