cell_line,agent,concentration,parameter,rate,obj_func
CAL120,senexinb,0.031623,$k_{S}$,0.10510794731259036,4.900791747291568e-10
CAL120,senexinb,0.031623,$k_{G2}$,0.07875464260188635,4.900791747291568e-10
CAL120,senexinb,0.031623,$k_{M}$,0.11293412870446076,4.900791747291568e-10
CAL120,senexinb,0.031623,$k_{G1}$,0.35147492193428614,4.900791747291568e-10
CAL120,senexinb,0.031623,$k_{\phi}$,0.00021339295906781965,4.900791747291568e-10
CAL120,senexinb,0.001,$k_{S}$,0.10786802051078637,5.939452978823243e-10
CAL120,senexinb,0.001,$k_{G2}$,0.07524634021863674,5.939452978823243e-10
CAL120,senexinb,0.001,$k_{M}$,0.1264949292209671,5.939452978823243e-10
CAL120,senexinb,0.001,$k_{G1}$,0.4284994014435917,5.939452978823243e-10
CAL120,senexinb,0.001,$k_{\phi}$,2.7328430317260022e-05,5.939452978823243e-10
CAL120,senexinb,0.01,$k_{S}$,0.10804220434573862,1.115835830766216e-09
CAL120,senexinb,0.01,$k_{G2}$,0.07000424234708953,1.115835830766216e-09
CAL120,senexinb,0.01,$k_{M}$,0.12140438520138146,1.115835830766216e-09
CAL120,senexinb,0.01,$k_{G1}$,0.4246207919324091,1.115835830766216e-09
CAL120,senexinb,0.01,$k_{\phi}$,4.589091308346647e-05,1.115835830766216e-09
CAL120,senexinb,0.1,$k_{S}$,0.10865642000839427,4.329979782177837e-10
CAL120,senexinb,0.1,$k_{G2}$,0.06959688379773263,4.329979782177837e-10
CAL120,senexinb,0.1,$k_{M}$,0.12509338119805194,4.329979782177837e-10
CAL120,senexinb,0.1,$k_{G1}$,0.3860235268811244,4.329979782177837e-10
CAL120,senexinb,0.1,$k_{\phi}$,0.0002660787501929674,4.329979782177837e-10
CAL120,senexinb,1.0,$k_{S}$,0.1053610501121999,7.134196106180585e-10
CAL120,senexinb,1.0,$k_{G2}$,0.07351460343217105,7.134196106180585e-10
CAL120,senexinb,1.0,$k_{M}$,0.11410439995648944,7.134196106180585e-10
CAL120,senexinb,1.0,$k_{G1}$,0.36249354763367914,7.134196106180585e-10
CAL120,senexinb,1.0,$k_{\phi}$,0.0001452723776978304,7.134196106180585e-10
CAL120,senexinb,0.003162,$k_{S}$,0.1122987430058317,6.033274787913034e-10
CAL120,senexinb,0.003162,$k_{G2}$,0.08134500460997493,6.033274787913034e-10
CAL120,senexinb,0.003162,$k_{M}$,0.12812830727821864,6.033274787913034e-10
CAL120,senexinb,0.003162,$k_{G1}$,0.43884262106651306,6.033274787913034e-10
CAL120,senexinb,0.003162,$k_{\phi}$,0.00014793734639193651,6.033274787913034e-10
CAL120,senexinb,3.162278,$k_{S}$,0.1127715194753809,3.495826132569977e-10
CAL120,senexinb,3.162278,$k_{G2}$,0.07694638089697817,3.495826132569977e-10
CAL120,senexinb,3.162278,$k_{M}$,0.11584768539733827,3.495826132569977e-10
CAL120,senexinb,3.162278,$k_{G1}$,0.3481080937382908,3.495826132569977e-10
CAL120,senexinb,3.162278,$k_{\phi}$,0.00021649448008801184,3.495826132569977e-10
CAL120,senexinb,10.0,$k_{S}$,0.10844663589431362,9.000254708107871e-10
CAL120,senexinb,10.0,$k_{G2}$,0.07753486389241103,9.000254708107871e-10
CAL120,senexinb,10.0,$k_{M}$,0.11658078221106016,9.000254708107871e-10
CAL120,senexinb,10.0,$k_{G1}$,0.36503377961486494,9.000254708107871e-10
CAL120,senexinb,10.0,$k_{\phi}$,0.0002888557332574096,9.000254708107871e-10
CAL120,senexinb,0.316228,$k_{S}$,0.11301648726882987,7.511296922725343e-10
CAL120,senexinb,0.316228,$k_{G2}$,0.07651843249749249,7.511296922725343e-10
CAL120,senexinb,0.316228,$k_{M}$,0.13066228453176532,7.511296922725343e-10
CAL120,senexinb,0.316228,$k_{G1}$,0.39668199598525994,7.511296922725343e-10
CAL120,senexinb,0.316228,$k_{\phi}$,0.0003328190481993568,7.511296922725343e-10
