cell_line,agent,concentration,parameter,rate,obj_func
CAL51,AZD2014,3.162278,$k_{S}$,0.035850695379771265,1.0224553061736776e-09
CAL51,AZD2014,3.162278,$k_{G2}$,0.059710180022046595,1.0224553061736776e-09
CAL51,AZD2014,3.162278,$k_{M}$,0.08217766084986175,1.0224553061736776e-09
CAL51,AZD2014,3.162278,$k_{G1}$,1.137610663260282,1.0224553061736776e-09
CAL51,AZD2014,3.162278,$k_{\phi}$,0.0008035368811445836,1.0224553061736776e-09
CAL51,AZD2014,0.316228,$k_{S}$,0.04787655579539339,1.1230752146021364e-09
CAL51,AZD2014,0.316228,$k_{G2}$,0.06132691691944468,1.1230752146021364e-09
CAL51,AZD2014,0.316228,$k_{M}$,0.09978949065513737,1.1230752146021364e-09
CAL51,AZD2014,0.316228,$k_{G1}$,1.1608222468705949,1.1230752146021364e-09
CAL51,AZD2014,0.316228,$k_{\phi}$,0.0007332574929930246,1.1230752146021364e-09
CAL51,AZD2014,0.001,$k_{S}$,0.09732508379134593,6.358778308642439e-09
CAL51,AZD2014,0.001,$k_{G2}$,0.07048981190457938,6.358778308642439e-09
CAL51,AZD2014,0.001,$k_{M}$,0.1455173935673775,6.358778308642439e-09
CAL51,AZD2014,0.001,$k_{G1}$,1.1482712756839042,6.358778308642439e-09
CAL51,AZD2014,0.001,$k_{\phi}$,0.0006244607127267681,6.358778308642439e-09
CAL51,AZD2014,0.1,$k_{S}$,0.06433084345027947,2.8329530847153314e-09
CAL51,AZD2014,0.1,$k_{G2}$,0.06474899078927186,2.8329530847153314e-09
CAL51,AZD2014,0.1,$k_{M}$,0.12029367560823702,2.8329530847153314e-09
CAL51,AZD2014,0.1,$k_{G1}$,1.2485905381818438,2.8329530847153314e-09
CAL51,AZD2014,0.1,$k_{\phi}$,0.0005999565286821342,2.8329530847153314e-09
CAL51,AZD2014,10.0,$k_{S}$,0.01729566361878592,4.3051652154508853e-10
CAL51,AZD2014,10.0,$k_{G2}$,0.04740376998579147,4.3051652154508853e-10
CAL51,AZD2014,10.0,$k_{M}$,0.0557515533832628,4.3051652154508853e-10
CAL51,AZD2014,10.0,$k_{G1}$,0.7853625764533712,4.3051652154508853e-10
CAL51,AZD2014,10.0,$k_{\phi}$,0.0012377523348543872,4.3051652154508853e-10
CAL51,AZD2014,1.0,$k_{S}$,0.04549753497690845,5.78776097069251e-10
CAL51,AZD2014,1.0,$k_{G2}$,0.061505711897299996,5.78776097069251e-10
CAL51,AZD2014,1.0,$k_{M}$,0.0972726571348403,5.78776097069251e-10
CAL51,AZD2014,1.0,$k_{G1}$,1.0768488532060256,5.78776097069251e-10
CAL51,AZD2014,1.0,$k_{\phi}$,0.0007064988493961378,5.78776097069251e-10
CAL51,AZD2014,0.01,$k_{S}$,0.07507236274018597,3.2335278941198413e-09
CAL51,AZD2014,0.01,$k_{G2}$,0.06817209315184034,3.2335278941198413e-09
CAL51,AZD2014,0.01,$k_{M}$,0.13300448516729974,3.2335278941198413e-09
CAL51,AZD2014,0.01,$k_{G1}$,1.2728149855401192,3.2335278941198413e-09
CAL51,AZD2014,0.01,$k_{\phi}$,0.0005281922213765737,3.2335278941198413e-09
CAL51,AZD2014,0.031623,$k_{S}$,0.0661175734075626,3.368217512441873e-09
CAL51,AZD2014,0.031623,$k_{G2}$,0.06412835623912216,3.368217512441873e-09
CAL51,AZD2014,0.031623,$k_{M}$,0.13109510548250627,3.368217512441873e-09
CAL51,AZD2014,0.031623,$k_{G1}$,1.192526297863977,3.368217512441873e-09
CAL51,AZD2014,0.031623,$k_{\phi}$,0.0005488806238586063,3.368217512441873e-09
CAL51,AZD2014,0.003162,$k_{S}$,0.09226671995796211,7.560594636052433e-09
CAL51,AZD2014,0.003162,$k_{G2}$,0.06807048247420329,7.560594636052433e-09
CAL51,AZD2014,0.003162,$k_{M}$,0.1488543400119944,7.560594636052433e-09
CAL51,AZD2014,0.003162,$k_{G1}$,1.3352864609427932,7.560594636052433e-09
CAL51,AZD2014,0.003162,$k_{\phi}$,0.00041850167442681333,7.560594636052433e-09
