cell_line,agent,concentration,parameter,rate,obj_func
CAL51,BMS-265246,10.0,$k_{S}$,0.055181964588811465,2.3448135988328653e-10
CAL51,BMS-265246,10.0,$k_{G2}$,0.0886296761006117,2.3448135988328653e-10
CAL51,BMS-265246,10.0,$k_{M}$,0.028786191299246144,2.3448135988328653e-10
CAL51,BMS-265246,10.0,$k_{G1}$,0.3868974889059301,2.3448135988328653e-10
CAL51,BMS-265246,10.0,$k_{\phi}$,0.0020976534968790007,2.3448135988328653e-10
CAL51,BMS-265246,0.003162,$k_{S}$,0.12533780017307472,2.1596383516953363e-08
CAL51,BMS-265246,0.003162,$k_{G2}$,0.08417443200602438,2.1596383516953363e-08
CAL51,BMS-265246,0.003162,$k_{M}$,0.18735846477958593,2.1596383516953363e-08
CAL51,BMS-265246,0.003162,$k_{G1}$,1.120573812811759,2.1596383516953363e-08
CAL51,BMS-265246,0.003162,$k_{\phi}$,0.0004968702278194942,2.1596383516953363e-08
CAL51,BMS-265246,0.001,$k_{S}$,0.12036185944024688,1.7753182412114793e-08
CAL51,BMS-265246,0.001,$k_{G2}$,0.08053327829658054,1.7753182412114793e-08
CAL51,BMS-265246,0.001,$k_{M}$,0.17205168142074637,1.7753182412114793e-08
CAL51,BMS-265246,0.001,$k_{G1}$,1.0759569770645894,1.7753182412114793e-08
CAL51,BMS-265246,0.001,$k_{\phi}$,0.0004985152825626944,1.7753182412114793e-08
CAL51,BMS-265246,1.0,$k_{S}$,0.0950190770760376,4.859077562209517e-09
CAL51,BMS-265246,1.0,$k_{G2}$,0.08312511283005489,4.859077562209517e-09
CAL51,BMS-265246,1.0,$k_{M}$,0.14023509291015868,4.859077562209517e-09
CAL51,BMS-265246,1.0,$k_{G1}$,0.9241685288816704,4.859077562209517e-09
CAL51,BMS-265246,1.0,$k_{\phi}$,0.0008016662753718221,4.859077562209517e-09
CAL51,BMS-265246,3.162278,$k_{S}$,0.07624497952121195,5.275316396070109e-09
CAL51,BMS-265246,3.162278,$k_{G2}$,0.0828654379713706,5.275316396070109e-09
CAL51,BMS-265246,3.162278,$k_{M}$,0.10468223337572455,5.275316396070109e-09
CAL51,BMS-265246,3.162278,$k_{G1}$,0.9247398507410497,5.275316396070109e-09
CAL51,BMS-265246,3.162278,$k_{\phi}$,0.0008425438640862691,5.275316396070109e-09
CAL51,BMS-265246,0.316228,$k_{S}$,0.0915597067730587,6.563678649578266e-09
CAL51,BMS-265246,0.316228,$k_{G2}$,0.08124838637458054,6.563678649578266e-09
CAL51,BMS-265246,0.316228,$k_{M}$,0.15071613997990344,6.563678649578266e-09
CAL51,BMS-265246,0.316228,$k_{G1}$,1.0345026083246163,6.563678649578266e-09
CAL51,BMS-265246,0.316228,$k_{\phi}$,0.0006268650809761266,6.563678649578266e-09
CAL51,BMS-265246,0.031623,$k_{S}$,0.1048944130534018,1.2806491310464915e-08
CAL51,BMS-265246,0.031623,$k_{G2}$,0.08795039546559061,1.2806491310464915e-08
CAL51,BMS-265246,0.031623,$k_{M}$,0.1624115323474355,1.2806491310464915e-08
CAL51,BMS-265246,0.031623,$k_{G1}$,1.1652304139177807,1.2806491310464915e-08
CAL51,BMS-265246,0.031623,$k_{\phi}$,0.0004803508494362676,1.2806491310464915e-08
CAL51,BMS-265246,0.01,$k_{S}$,0.1144024991042497,0.0028399856682585394
CAL51,BMS-265246,0.01,$k_{G2}$,0.07969348388901315,0.0028399856682585394
CAL51,BMS-265246,0.01,$k_{M}$,0.16953583562925678,0.0028399856682585394
CAL51,BMS-265246,0.01,$k_{G1}$,1.0035326499110035,0.0028399856682585394
CAL51,BMS-265246,0.01,$k_{\phi}$,0.000481378672922147,0.0028399856682585394
CAL51,BMS-265246,0.1,$k_{S}$,0.10301455355099631,1.228348895818756e-08
CAL51,BMS-265246,0.1,$k_{G2}$,0.07594640217030087,1.228348895818756e-08
CAL51,BMS-265246,0.1,$k_{M}$,0.16011012362920118,1.228348895818756e-08
CAL51,BMS-265246,0.1,$k_{G1}$,1.0393891884950979,1.228348895818756e-08
CAL51,BMS-265246,0.1,$k_{\phi}$,0.0005055937250739912,1.228348895818756e-08
