cell_line,agent,concentration,parameter,rate,obj_func
CAL51,BSJ-03-124,0.316228,$k_{S}$,0.09010267444390437,1.2126302785344682e-08
CAL51,BSJ-03-124,0.316228,$k_{G2}$,0.07678609947833685,1.2126302785344682e-08
CAL51,BSJ-03-124,0.316228,$k_{M}$,0.16229004181109474,1.2126302785344682e-08
CAL51,BSJ-03-124,0.316228,$k_{G1}$,1.211961493624295,1.2126302785344682e-08
CAL51,BSJ-03-124,0.316228,$k_{\phi}$,0.000221413316494564,1.2126302785344682e-08
CAL51,BSJ-03-124,0.031623,$k_{S}$,0.09461955892149121,8.257967567399105e-09
CAL51,BSJ-03-124,0.031623,$k_{G2}$,0.07194763246491384,8.257967567399105e-09
CAL51,BSJ-03-124,0.031623,$k_{M}$,0.1560551798647441,8.257967567399105e-09
CAL51,BSJ-03-124,0.031623,$k_{G1}$,1.0970518868768382,8.257967567399105e-09
CAL51,BSJ-03-124,0.031623,$k_{\phi}$,0.0002989464358196626,8.257967567399105e-09
CAL51,BSJ-03-124,0.003162,$k_{S}$,0.11300939939882605,2.522036712547479e-09
CAL51,BSJ-03-124,0.003162,$k_{G2}$,0.07702780079178174,2.522036712547479e-09
CAL51,BSJ-03-124,0.003162,$k_{M}$,0.17704075140161446,2.522036712547479e-09
CAL51,BSJ-03-124,0.003162,$k_{G1}$,1.2345845999417402,2.522036712547479e-09
CAL51,BSJ-03-124,0.003162,$k_{\phi}$,0.00028773148428335257,2.522036712547479e-09
CAL51,BSJ-03-124,0.01,$k_{S}$,0.10291254740692299,5.836134143991484e-09
CAL51,BSJ-03-124,0.01,$k_{G2}$,0.07526772297531827,5.836134143991484e-09
CAL51,BSJ-03-124,0.01,$k_{M}$,0.1671542230373805,5.836134143991484e-09
CAL51,BSJ-03-124,0.01,$k_{G1}$,1.0301850449853789,5.836134143991484e-09
CAL51,BSJ-03-124,0.01,$k_{\phi}$,0.00028686150712179705,5.836134143991484e-09
CAL51,BSJ-03-124,1.0,$k_{S}$,0.08206731132253446,1.421705901748615e-09
CAL51,BSJ-03-124,1.0,$k_{G2}$,0.0732271982478125,1.421705901748615e-09
CAL51,BSJ-03-124,1.0,$k_{M}$,0.16110242408650022,1.421705901748615e-09
CAL51,BSJ-03-124,1.0,$k_{G1}$,1.053491092406218,1.421705901748615e-09
CAL51,BSJ-03-124,1.0,$k_{\phi}$,0.00026276590288346367,1.421705901748615e-09
CAL51,BSJ-03-124,10.0,$k_{S}$,0.029148792195431095,7.04253661055205e-10
CAL51,BSJ-03-124,10.0,$k_{G2}$,0.061247015442241204,7.04253661055205e-10
CAL51,BSJ-03-124,10.0,$k_{M}$,0.07891474432940342,7.04253661055205e-10
CAL51,BSJ-03-124,10.0,$k_{G1}$,0.8603142362300893,7.04253661055205e-10
CAL51,BSJ-03-124,10.0,$k_{\phi}$,0.00020015203453935926,7.04253661055205e-10
CAL51,BSJ-03-124,3.162278,$k_{S}$,0.072194892885037,4.58247496655906e-05
CAL51,BSJ-03-124,3.162278,$k_{G2}$,0.0745434064643732,4.58247496655906e-05
CAL51,BSJ-03-124,3.162278,$k_{M}$,0.1429001686038577,4.58247496655906e-05
CAL51,BSJ-03-124,3.162278,$k_{G1}$,1.141123835161264,4.58247496655906e-05
CAL51,BSJ-03-124,3.162278,$k_{\phi}$,0.000348092085425925,4.58247496655906e-05
CAL51,BSJ-03-124,0.001,$k_{S}$,0.1188595582086311,1.5596364478630416e-08
CAL51,BSJ-03-124,0.001,$k_{G2}$,0.07737103031808043,1.5596364478630416e-08
CAL51,BSJ-03-124,0.001,$k_{M}$,0.18048575050615961,1.5596364478630416e-08
CAL51,BSJ-03-124,0.001,$k_{G1}$,1.250524325389341,1.5596364478630416e-08
CAL51,BSJ-03-124,0.001,$k_{\phi}$,0.00026255575039252875,1.5596364478630416e-08
CAL51,BSJ-03-124,0.1,$k_{S}$,0.08553700667126671,2.6959064778832197e-09
CAL51,BSJ-03-124,0.1,$k_{G2}$,0.068271152938326,2.6959064778832197e-09
CAL51,BSJ-03-124,0.1,$k_{M}$,0.13878894296584882,2.6959064778832197e-09
CAL51,BSJ-03-124,0.1,$k_{G1}$,0.8992941969157453,2.6959064778832197e-09
CAL51,BSJ-03-124,0.1,$k_{\phi}$,0.0001772068072211177,2.6959064778832197e-09
