cell_line,agent,concentration,parameter,rate,obj_func
CAL51,YKL-5-124,0.01,$k_{S}$,0.05118467258191062,9.129388570233141e-10
CAL51,YKL-5-124,0.01,$k_{G2}$,0.09262883250246245,9.129388570233141e-10
CAL51,YKL-5-124,0.01,$k_{M}$,0.05996969490520184,9.129388570233141e-10
CAL51,YKL-5-124,0.01,$k_{G1}$,1.3302764903164952,9.129388570233141e-10
CAL51,YKL-5-124,0.01,$k_{\phi}$,0.0010565157710487687,9.129388570233141e-10
CAL51,YKL-5-124,3.162278,$k_{S}$,0.027597810191318562,2.8314048353072923e-10
CAL51,YKL-5-124,3.162278,$k_{G2}$,0.053912335535469556,2.8314048353072923e-10
CAL51,YKL-5-124,3.162278,$k_{M}$,0.03140098453999082,2.8314048353072923e-10
CAL51,YKL-5-124,3.162278,$k_{G1}$,0.6802524702584227,2.8314048353072923e-10
CAL51,YKL-5-124,3.162278,$k_{\phi}$,0.0019081340365104918,2.8314048353072923e-10
CAL51,YKL-5-124,0.316228,$k_{S}$,0.03688183139512761,5.456417217876501e-10
CAL51,YKL-5-124,0.316228,$k_{G2}$,0.06855694214430513,5.456417217876501e-10
CAL51,YKL-5-124,0.316228,$k_{M}$,0.04108439315583178,5.456417217876501e-10
CAL51,YKL-5-124,0.316228,$k_{G1}$,1.3927490825741586,5.456417217876501e-10
CAL51,YKL-5-124,0.316228,$k_{\phi}$,0.0011334523336081611,5.456417217876501e-10
CAL51,YKL-5-124,0.031623,$k_{S}$,0.03309752001846492,6.319499752258728e-10
CAL51,YKL-5-124,0.031623,$k_{G2}$,0.1048745963613883,6.319499752258728e-10
CAL51,YKL-5-124,0.031623,$k_{M}$,0.04165336888299524,6.319499752258728e-10
CAL51,YKL-5-124,0.031623,$k_{G1}$,1.4058013631898723,6.319499752258728e-10
CAL51,YKL-5-124,0.031623,$k_{\phi}$,0.0008288128158619219,6.319499752258728e-10
CAL51,YKL-5-124,10.0,$k_{S}$,0.005205020499813054,2.5501214810390733e-10
CAL51,YKL-5-124,10.0,$k_{G2}$,0.021888595882042866,2.5501214810390733e-10
CAL51,YKL-5-124,10.0,$k_{M}$,0.009778509872297798,2.5501214810390733e-10
CAL51,YKL-5-124,10.0,$k_{G1}$,0.23507958931531567,2.5501214810390733e-10
CAL51,YKL-5-124,10.0,$k_{\phi}$,0.002658151166871639,2.5501214810390733e-10
CAL51,YKL-5-124,0.1,$k_{S}$,0.03517494657444243,2.136657940988516e-06
CAL51,YKL-5-124,0.1,$k_{G2}$,0.09157918643302744,2.136657940988516e-06
CAL51,YKL-5-124,0.1,$k_{M}$,0.04237266864134294,2.136657940988516e-06
CAL51,YKL-5-124,0.1,$k_{G1}$,1.7370859657385491,2.136657940988516e-06
CAL51,YKL-5-124,0.1,$k_{\phi}$,0.0009907532763323212,2.136657940988516e-06
CAL51,YKL-5-124,0.001,$k_{S}$,0.09563513864723142,4.252024912428065e-09
CAL51,YKL-5-124,0.001,$k_{G2}$,0.08163428223586759,4.252024912428065e-09
CAL51,YKL-5-124,0.001,$k_{M}$,0.12982253291898785,4.252024912428065e-09
CAL51,YKL-5-124,0.001,$k_{G1}$,1.2880650734245136,4.252024912428065e-09
CAL51,YKL-5-124,0.001,$k_{\phi}$,0.0005337031046312283,4.252024912428065e-09
CAL51,YKL-5-124,0.003162,$k_{S}$,0.07429387268521942,3.2530356605805433e-09
CAL51,YKL-5-124,0.003162,$k_{G2}$,0.08509495235354636,3.2530356605805433e-09
CAL51,YKL-5-124,0.003162,$k_{M}$,0.0910448923080472,3.2530356605805433e-09
CAL51,YKL-5-124,0.003162,$k_{G1}$,1.2765900301014954,3.2530356605805433e-09
CAL51,YKL-5-124,0.003162,$k_{\phi}$,0.0006438189176672641,3.2530356605805433e-09
CAL51,YKL-5-124,1.0,$k_{S}$,0.031974063158397764,1.0046937085329525e-09
CAL51,YKL-5-124,1.0,$k_{G2}$,0.06971460596855937,1.0046937085329525e-09
CAL51,YKL-5-124,1.0,$k_{M}$,0.03961201155103766,1.0046937085329525e-09
CAL51,YKL-5-124,1.0,$k_{G1}$,2.183614914596847,1.0046937085329525e-09
CAL51,YKL-5-124,1.0,$k_{\phi}$,0.0010188859112444945,1.0046937085329525e-09
