cell_line,agent,concentration,parameter,rate,obj_func
CAL851,LEE011_Ribociclib,0.316228,$k_{S}$,0.04819484733809152,1.3222475269752143e-10
CAL851,LEE011_Ribociclib,0.316228,$k_{G2}$,0.06371350818022352,1.3222475269752143e-10
CAL851,LEE011_Ribociclib,0.316228,$k_{M}$,0.07438789596871033,1.3222475269752143e-10
CAL851,LEE011_Ribociclib,0.316228,$k_{G1}$,0.30831049858673215,1.3222475269752143e-10
CAL851,LEE011_Ribociclib,0.316228,$k_{\phi}$,6.556719301242266e-05,1.3222475269752143e-10
CAL851,LEE011_Ribociclib,3.162278,$k_{S}$,0.05095672673789822,3.686692185611148e-10
CAL851,LEE011_Ribociclib,3.162278,$k_{G2}$,0.07129765143645475,3.686692185611148e-10
CAL851,LEE011_Ribociclib,3.162278,$k_{M}$,0.08939313204140487,3.686692185611148e-10
CAL851,LEE011_Ribociclib,3.162278,$k_{G1}$,0.37616228388198697,3.686692185611148e-10
CAL851,LEE011_Ribociclib,3.162278,$k_{\phi}$,0.0001338342313169557,3.686692185611148e-10
CAL851,LEE011_Ribociclib,0.001,$k_{S}$,0.046216420657136714,5.768856518296986e-10
CAL851,LEE011_Ribociclib,0.001,$k_{G2}$,0.0679678389733691,5.768856518296986e-10
CAL851,LEE011_Ribociclib,0.001,$k_{M}$,0.08765834380048236,5.768856518296986e-10
CAL851,LEE011_Ribociclib,0.001,$k_{G1}$,0.3616408422447601,5.768856518296986e-10
CAL851,LEE011_Ribociclib,0.001,$k_{\phi}$,5.951600638525358e-05,5.768856518296986e-10
CAL851,LEE011_Ribociclib,0.031623,$k_{S}$,0.05544370109741601,4.092249613130255e-10
CAL851,LEE011_Ribociclib,0.031623,$k_{G2}$,0.08026339203838277,4.092249613130255e-10
CAL851,LEE011_Ribociclib,0.031623,$k_{M}$,0.09078123898592887,4.092249613130255e-10
CAL851,LEE011_Ribociclib,0.031623,$k_{G1}$,0.382082530555691,4.092249613130255e-10
CAL851,LEE011_Ribociclib,0.031623,$k_{\phi}$,0.00019306565609482189,4.092249613130255e-10
CAL851,LEE011_Ribociclib,0.1,$k_{S}$,0.045665303219026725,4.3779801773519504e-10
CAL851,LEE011_Ribociclib,0.1,$k_{G2}$,0.06299174905318533,4.3779801773519504e-10
CAL851,LEE011_Ribociclib,0.1,$k_{M}$,0.06856524403185447,4.3779801773519504e-10
CAL851,LEE011_Ribociclib,0.1,$k_{G1}$,0.286517087224498,4.3779801773519504e-10
CAL851,LEE011_Ribociclib,0.1,$k_{\phi}$,0.00020921560726247756,4.3779801773519504e-10
CAL851,LEE011_Ribociclib,0.01,$k_{S}$,0.04736458969383749,3.773338272249798e-10
CAL851,LEE011_Ribociclib,0.01,$k_{G2}$,0.065909971101668,3.773338272249798e-10
CAL851,LEE011_Ribociclib,0.01,$k_{M}$,0.08023575448790643,3.773338272249798e-10
CAL851,LEE011_Ribociclib,0.01,$k_{G1}$,0.36645902845697076,3.773338272249798e-10
CAL851,LEE011_Ribociclib,0.01,$k_{\phi}$,0.00018486351769874459,3.773338272249798e-10
CAL851,LEE011_Ribociclib,0.003162,$k_{S}$,0.04161218912853089,4.783057557561682e-10
CAL851,LEE011_Ribociclib,0.003162,$k_{G2}$,0.06938511765150886,4.783057557561682e-10
CAL851,LEE011_Ribociclib,0.003162,$k_{M}$,0.07502483809111327,4.783057557561682e-10
CAL851,LEE011_Ribociclib,0.003162,$k_{G1}$,0.32861907568318066,4.783057557561682e-10
CAL851,LEE011_Ribociclib,0.003162,$k_{\phi}$,0.00012823354428034866,4.783057557561682e-10
CAL851,LEE011_Ribociclib,10.0,$k_{S}$,0.060008379194689314,6.811724165252687e-10
CAL851,LEE011_Ribociclib,10.0,$k_{G2}$,0.06527603528630713,6.811724165252687e-10
CAL851,LEE011_Ribociclib,10.0,$k_{M}$,0.08230705065785635,6.811724165252687e-10
CAL851,LEE011_Ribociclib,10.0,$k_{G1}$,0.35376749676426655,6.811724165252687e-10
CAL851,LEE011_Ribociclib,10.0,$k_{\phi}$,8.022544049225827e-05,6.811724165252687e-10
CAL851,LEE011_Ribociclib,1.0,$k_{S}$,0.04040917104419711,3.5394296401305213e-10
CAL851,LEE011_Ribociclib,1.0,$k_{G2}$,0.059129405093056996,3.5394296401305213e-10
CAL851,LEE011_Ribociclib,1.0,$k_{M}$,0.06629194284273437,3.5394296401305213e-10
CAL851,LEE011_Ribociclib,1.0,$k_{G1}$,0.26528807363135276,3.5394296401305213e-10
CAL851,LEE011_Ribociclib,1.0,$k_{\phi}$,0.00018844590347966917,3.5394296401305213e-10
