cell_line,agent,concentration,parameter,rate,obj_func
CAL851,LY2606368,1e-05,$k_{S}$,0.0488342915649357,3.8032185455653423e-10
CAL851,LY2606368,1e-05,$k_{G2}$,0.06883032446619376,3.8032185455653423e-10
CAL851,LY2606368,1e-05,$k_{M}$,0.08667534548101684,3.8032185455653423e-10
CAL851,LY2606368,1e-05,$k_{G1}$,0.35926344722322184,3.8032185455653423e-10
CAL851,LY2606368,1e-05,$k_{\phi}$,0.00010366773476782903,3.8032185455653423e-10
CAL851,LY2606368,0.01,$k_{S}$,0.00424046661473097,55.68754776039181
CAL851,LY2606368,0.01,$k_{G2}$,0.005276776808839605,55.68754776039181
CAL851,LY2606368,0.01,$k_{M}$,0.0020531456646194876,55.68754776039181
CAL851,LY2606368,0.01,$k_{G1}$,1e-07,55.68754776039181
CAL851,LY2606368,0.01,$k_{\phi}$,0.001464906058883905,55.68754776039181
CAL851,LY2606368,0.1,$k_{S}$,0.006081466508896004,4.392447567824333
CAL851,LY2606368,0.1,$k_{G2}$,0.001462026243824388,4.392447567824333
CAL851,LY2606368,0.1,$k_{M}$,0.0010004805859391138,4.392447567824333
CAL851,LY2606368,0.1,$k_{G1}$,1e-07,4.392447567824333
CAL851,LY2606368,0.1,$k_{\phi}$,0.002617044098497751,4.392447567824333
CAL851,LY2606368,3.2e-05,$k_{S}$,0.04788790510165758,2.4066976522713893e-10
CAL851,LY2606368,3.2e-05,$k_{G2}$,0.07014673155361507,2.4066976522713893e-10
CAL851,LY2606368,3.2e-05,$k_{M}$,0.0813075035155275,2.4066976522713893e-10
CAL851,LY2606368,3.2e-05,$k_{G1}$,0.3420778641451575,2.4066976522713893e-10
CAL851,LY2606368,3.2e-05,$k_{\phi}$,0.00015398676316250698,2.4066976522713893e-10
CAL851,LY2606368,0.001,$k_{S}$,0.010463764091550965,2.0918038484989916e-10
CAL851,LY2606368,0.001,$k_{G2}$,0.010556440323950566,2.0918038484989916e-10
CAL851,LY2606368,0.001,$k_{M}$,0.00990171872113347,2.0918038484989916e-10
CAL851,LY2606368,0.001,$k_{G1}$,0.0446750249109194,2.0918038484989916e-10
CAL851,LY2606368,0.001,$k_{\phi}$,0.0010868081314570083,2.0918038484989916e-10
CAL851,LY2606368,0.003162,$k_{S}$,0.004985648367111362,1.1129173189896864e-10
CAL851,LY2606368,0.003162,$k_{G2}$,0.008347449036557503,1.1129173189896864e-10
CAL851,LY2606368,0.003162,$k_{M}$,0.0016688764626065443,1.1129173189896864e-10
CAL851,LY2606368,0.003162,$k_{G1}$,0.00551996773140542,1.1129173189896864e-10
CAL851,LY2606368,0.003162,$k_{\phi}$,0.0010868071023326074,1.1129173189896864e-10
CAL851,LY2606368,0.0001,$k_{S}$,0.04685125274983178,4.5652805025497085e-10
CAL851,LY2606368,0.0001,$k_{G2}$,0.06924257225574515,4.5652805025497085e-10
CAL851,LY2606368,0.0001,$k_{M}$,0.08076727222746548,4.5652805025497085e-10
CAL851,LY2606368,0.0001,$k_{G1}$,0.37443480783846106,4.5652805025497085e-10
CAL851,LY2606368,0.0001,$k_{\phi}$,0.0001714581381399173,4.5652805025497085e-10
CAL851,LY2606368,0.031623,$k_{S}$,0.013999180821662164,9.517729850932923e-11
CAL851,LY2606368,0.031623,$k_{G2}$,0.014828037673579654,9.517729850932923e-11
CAL851,LY2606368,0.031623,$k_{M}$,0.008572020418831934,9.517729850932923e-11
CAL851,LY2606368,0.031623,$k_{G1}$,0.048522061314287934,9.517729850932923e-11
CAL851,LY2606368,0.031623,$k_{\phi}$,0.0017212588817986125,9.517729850932923e-11
CAL851,LY2606368,0.000316,$k_{S}$,0.03897972530818275,3.991942611728937e-10
CAL851,LY2606368,0.000316,$k_{G2}$,0.055754983284911484,3.991942611728937e-10
CAL851,LY2606368,0.000316,$k_{M}$,0.06306360458929887,3.991942611728937e-10
CAL851,LY2606368,0.000316,$k_{G1}$,0.2654754343303008,3.991942611728937e-10
CAL851,LY2606368,0.000316,$k_{\phi}$,0.0001174750701936018,3.991942611728937e-10
