cell_line,agent,concentration,parameter,rate,obj_func
CAL851,MFH-2-90,0.031623,$k_{S}$,0.003545183514895524,18162.782429049752
CAL851,MFH-2-90,0.031623,$k_{G2}$,0.005798785293855213,18162.782429049752
CAL851,MFH-2-90,0.031623,$k_{M}$,0.01124983114092044,18162.782429049752
CAL851,MFH-2-90,0.031623,$k_{G1}$,1e-07,18162.782429049752
CAL851,MFH-2-90,0.031623,$k_{\phi}$,0.001623596230530008,18162.782429049752
CAL851,MFH-2-90,0.01,$k_{S}$,0.0015605419162048246,6723.699010599548
CAL851,MFH-2-90,0.01,$k_{G2}$,0.012356963082010078,6723.699010599548
CAL851,MFH-2-90,0.01,$k_{M}$,0.009184714455743493,6723.699010599548
CAL851,MFH-2-90,0.01,$k_{G1}$,1e-07,6723.699010599548
CAL851,MFH-2-90,0.01,$k_{\phi}$,0.0009632556037562232,6723.699010599548
CAL851,MFH-2-90,0.0001,$k_{S}$,0.046885813055424594,3.654607420689674e-10
CAL851,MFH-2-90,0.0001,$k_{G2}$,0.06619034415891596,3.654607420689674e-10
CAL851,MFH-2-90,0.0001,$k_{M}$,0.07808368265549191,3.654607420689674e-10
CAL851,MFH-2-90,0.0001,$k_{G1}$,0.35003762106614567,3.654607420689674e-10
CAL851,MFH-2-90,0.0001,$k_{\phi}$,9.903593512038473e-05,3.654607420689674e-10
CAL851,MFH-2-90,3.2e-05,$k_{S}$,0.05330018451980926,3.4324208010429125e-10
CAL851,MFH-2-90,3.2e-05,$k_{G2}$,0.07730134515793559,3.4324208010429125e-10
CAL851,MFH-2-90,3.2e-05,$k_{M}$,0.08819898797109282,3.4324208010429125e-10
CAL851,MFH-2-90,3.2e-05,$k_{G1}$,0.36856672794021494,3.4324208010429125e-10
CAL851,MFH-2-90,3.2e-05,$k_{\phi}$,8.024588125104897e-05,3.4324208010429125e-10
CAL851,MFH-2-90,1e-05,$k_{S}$,0.045328215977376754,3.5557830909433504e-10
CAL851,MFH-2-90,1e-05,$k_{G2}$,0.0603757884728466,3.5557830909433504e-10
CAL851,MFH-2-90,1e-05,$k_{M}$,0.07289473378881584,3.5557830909433504e-10
CAL851,MFH-2-90,1e-05,$k_{G1}$,0.31838770906598884,3.5557830909433504e-10
CAL851,MFH-2-90,1e-05,$k_{\phi}$,0.00020079549451443586,3.5557830909433504e-10
CAL851,MFH-2-90,0.001,$k_{S}$,0.0007898659439410738,13418.262128491697
CAL851,MFH-2-90,0.001,$k_{G2}$,0.0052480308715963835,13418.262128491697
CAL851,MFH-2-90,0.001,$k_{M}$,0.0049818808731332985,13418.262128491697
CAL851,MFH-2-90,0.001,$k_{G1}$,1e-07,13418.262128491697
CAL851,MFH-2-90,0.001,$k_{\phi}$,0.0017655488373981244,13418.262128491697
CAL851,MFH-2-90,0.000316,$k_{S}$,0.04884175643495684,3.500570285633348e-10
CAL851,MFH-2-90,0.000316,$k_{G2}$,0.06914923881241679,3.500570285633348e-10
CAL851,MFH-2-90,0.000316,$k_{M}$,0.08092932681935155,3.500570285633348e-10
CAL851,MFH-2-90,0.000316,$k_{G1}$,0.3417255980092656,3.500570285633348e-10
CAL851,MFH-2-90,0.000316,$k_{\phi}$,0.0002056530471497651,3.500570285633348e-10
CAL851,MFH-2-90,0.1,$k_{S}$,0.00023332006366198768,9419.539516615314
CAL851,MFH-2-90,0.1,$k_{G2}$,0.01763473197762057,9419.539516615314
CAL851,MFH-2-90,0.1,$k_{M}$,0.006463546686770968,9419.539516615314
CAL851,MFH-2-90,0.1,$k_{G1}$,1e-07,9419.539516615314
CAL851,MFH-2-90,0.1,$k_{\phi}$,0.0012017882172803704,9419.539516615314
CAL851,MFH-2-90,0.003162,$k_{S}$,0.004485674445115061,13383.781500419609
CAL851,MFH-2-90,0.003162,$k_{G2}$,0.009206088017595915,13383.781500419609
CAL851,MFH-2-90,0.003162,$k_{M}$,0.012577145103385505,13383.781500419609
CAL851,MFH-2-90,0.003162,$k_{G1}$,1e-07,13383.781500419609
CAL851,MFH-2-90,0.003162,$k_{\phi}$,0.0014320230272181875,13383.781500419609
