cell_line,agent,concentration,parameter,rate,obj_func
CAL851,THZ531,0.316228,$k_{S}$,0.0018887015952155908,7.905959456910094e-11
CAL851,THZ531,0.316228,$k_{G2}$,0.009336245080054465,7.905959456910094e-11
CAL851,THZ531,0.316228,$k_{M}$,0.003136660400531053,7.905959456910094e-11
CAL851,THZ531,0.316228,$k_{G1}$,0.025136326960477125,7.905959456910094e-11
CAL851,THZ531,0.316228,$k_{\phi}$,0.000481061589432735,7.905959456910094e-11
CAL851,THZ531,0.001,$k_{S}$,0.051997039596354634,5.569587956662307e-10
CAL851,THZ531,0.001,$k_{G2}$,0.07465378087288432,5.569587956662307e-10
CAL851,THZ531,0.001,$k_{M}$,0.08611846591086283,5.569587956662307e-10
CAL851,THZ531,0.001,$k_{G1}$,0.330779689324643,5.569587956662307e-10
CAL851,THZ531,0.001,$k_{\phi}$,0.00020068291684299886,5.569587956662307e-10
CAL851,THZ531,1.0,$k_{S}$,0.0008755224940586847,11909.174220630532
CAL851,THZ531,1.0,$k_{G2}$,0.02498672801947185,11909.174220630532
CAL851,THZ531,1.0,$k_{M}$,0.009633388717926057,11909.174220630532
CAL851,THZ531,1.0,$k_{G1}$,1e-07,11909.174220630532
CAL851,THZ531,1.0,$k_{\phi}$,0.0011306838772902209,11909.174220630532
CAL851,THZ531,0.0001,$k_{S}$,0.0511140130117906,3.1846402036713065e-10
CAL851,THZ531,0.0001,$k_{G2}$,0.07171546353287465,3.1846402036713065e-10
CAL851,THZ531,0.0001,$k_{M}$,0.08795523614553356,3.1846402036713065e-10
CAL851,THZ531,0.0001,$k_{G1}$,0.36496441333370205,3.1846402036713065e-10
CAL851,THZ531,0.0001,$k_{\phi}$,0.00020888384519154705,3.1846402036713065e-10
CAL851,THZ531,0.031623,$k_{S}$,0.036724564513044296,3.1000593944200413e-10
CAL851,THZ531,0.031623,$k_{G2}$,0.06924676997936048,3.1000593944200413e-10
CAL851,THZ531,0.031623,$k_{M}$,0.06287315728565114,3.1000593944200413e-10
CAL851,THZ531,0.031623,$k_{G1}$,0.32611665954827773,3.1000593944200413e-10
CAL851,THZ531,0.031623,$k_{\phi}$,0.00037759090982557287,3.1000593944200413e-10
CAL851,THZ531,0.003162,$k_{S}$,0.04828776817716947,4.86498869339783e-10
CAL851,THZ531,0.003162,$k_{G2}$,0.07499730209235328,4.86498869339783e-10
CAL851,THZ531,0.003162,$k_{M}$,0.08243360661735617,4.86498869339783e-10
CAL851,THZ531,0.003162,$k_{G1}$,0.37163048778980157,4.86498869339783e-10
CAL851,THZ531,0.003162,$k_{\phi}$,0.0001197250718038632,4.86498869339783e-10
CAL851,THZ531,0.01,$k_{S}$,0.036743513274275955,1.9712230326121064e-10
CAL851,THZ531,0.01,$k_{G2}$,0.06670303744594584,1.9712230326121064e-10
CAL851,THZ531,0.01,$k_{M}$,0.06560210777281737,1.9712230326121064e-10
CAL851,THZ531,0.01,$k_{G1}$,0.320040317052679,1.9712230326121064e-10
CAL851,THZ531,0.01,$k_{\phi}$,0.00021097913384274404,1.9712230326121064e-10
CAL851,THZ531,0.000316,$k_{S}$,0.045453124239323926,4.1227069087033104e-10
CAL851,THZ531,0.000316,$k_{G2}$,0.06274283017461729,4.1227069087033104e-10
CAL851,THZ531,0.000316,$k_{M}$,0.07516566442364048,4.1227069087033104e-10
CAL851,THZ531,0.000316,$k_{G1}$,0.3508595129273408,4.1227069087033104e-10
CAL851,THZ531,0.000316,$k_{\phi}$,0.00019093417275794892,4.1227069087033104e-10
CAL851,THZ531,0.1,$k_{S}$,0.019268573756518123,1.9510928075171905e-10
CAL851,THZ531,0.1,$k_{G2}$,0.059051209475956046,1.9510928075171905e-10
CAL851,THZ531,0.1,$k_{M}$,0.03216105261612013,1.9510928075171905e-10
CAL851,THZ531,0.1,$k_{G1}$,0.15379780987997935,1.9510928075171905e-10
CAL851,THZ531,0.1,$k_{\phi}$,0.0004970209606244835,1.9510928075171905e-10
