cell_line,agent,concentration,parameter,rate,obj_func
CAMA1,AZD2014,1.0,$k_{S}$,1e-07,20.08174959963874
CAMA1,AZD2014,1.0,$k_{G2}$,0.03663648990984032,20.08174959963874
CAMA1,AZD2014,1.0,$k_{M}$,0.00911688339238428,20.08174959963874
CAMA1,AZD2014,1.0,$k_{G1}$,0.02495598971219192,20.08174959963874
CAMA1,AZD2014,1.0,$k_{\phi}$,0.0003183532467644145,20.08174959963874
CAMA1,AZD2014,10.0,$k_{S}$,1e-07,1488.7071034641685
CAMA1,AZD2014,10.0,$k_{G2}$,0.0208255943852738,1488.7071034641685
CAMA1,AZD2014,10.0,$k_{M}$,0.006522359883746114,1488.7071034641685
CAMA1,AZD2014,10.0,$k_{G1}$,0.010433558914444464,1488.7071034641685
CAMA1,AZD2014,10.0,$k_{\phi}$,0.0007967654516358843,1488.7071034641685
CAMA1,AZD2014,0.1,$k_{S}$,0.0031956922648036933,1.7589674646675646e-10
CAMA1,AZD2014,0.1,$k_{G2}$,0.1793600675222776,1.7589674646675646e-10
CAMA1,AZD2014,0.1,$k_{M}$,0.020113286825914966,1.7589674646675646e-10
CAMA1,AZD2014,0.1,$k_{G1}$,0.05102471672398477,1.7589674646675646e-10
CAMA1,AZD2014,0.1,$k_{\phi}$,0.0002853037609135287,1.7589674646675646e-10
CAMA1,AZD2014,0.003162,$k_{S}$,0.00688921218659567,5.269220236616454e-10
CAMA1,AZD2014,0.003162,$k_{G2}$,0.050003018374598605,5.269220236616454e-10
CAMA1,AZD2014,0.003162,$k_{M}$,0.02242059203161969,5.269220236616454e-10
CAMA1,AZD2014,0.003162,$k_{G1}$,1.3715691573475588,5.269220236616454e-10
CAMA1,AZD2014,0.003162,$k_{\phi}$,0.0001561821103041991,5.269220236616454e-10
CAMA1,AZD2014,0.031623,$k_{S}$,0.00390693000009265,1.830597556958475e-10
CAMA1,AZD2014,0.031623,$k_{G2}$,0.1338194923077126,1.830597556958475e-10
CAMA1,AZD2014,0.031623,$k_{M}$,0.02106188491917009,1.830597556958475e-10
CAMA1,AZD2014,0.031623,$k_{G1}$,0.044663596113896475,1.830597556958475e-10
CAMA1,AZD2014,0.031623,$k_{\phi}$,0.00023053195622026824,1.830597556958475e-10
CAMA1,AZD2014,0.01,$k_{S}$,0.0035238326850177467,2.3321692368593886e-10
CAMA1,AZD2014,0.01,$k_{G2}$,0.04290222652500882,2.3321692368593886e-10
CAMA1,AZD2014,0.01,$k_{M}$,0.013729557505588201,2.3321692368593886e-10
CAMA1,AZD2014,0.01,$k_{G1}$,0.08378994747124208,2.3321692368593886e-10
CAMA1,AZD2014,0.01,$k_{\phi}$,0.0003161123811282,2.3321692368593886e-10
CAMA1,AZD2014,0.316228,$k_{S}$,0.0010957704018370975,9.50451107048388e-11
CAMA1,AZD2014,0.316228,$k_{G2}$,0.07265635254648134,9.50451107048388e-11
CAMA1,AZD2014,0.316228,$k_{M}$,0.012093628668284461,9.50451107048388e-11
CAMA1,AZD2014,0.316228,$k_{G1}$,0.05257214882930038,9.50451107048388e-11
CAMA1,AZD2014,0.316228,$k_{\phi}$,0.0003884414273176324,9.50451107048388e-11
CAMA1,AZD2014,3.162278,$k_{S}$,1e-07,177.159374615229
CAMA1,AZD2014,3.162278,$k_{G2}$,0.019842114660678093,177.159374615229
CAMA1,AZD2014,3.162278,$k_{M}$,0.008786581485687704,177.159374615229
CAMA1,AZD2014,3.162278,$k_{G1}$,0.018172137745008102,177.159374615229
CAMA1,AZD2014,3.162278,$k_{\phi}$,0.00047392958242455113,177.159374615229
CAMA1,AZD2014,0.001,$k_{S}$,0.008213159955528467,3.198645131403965e-10
CAMA1,AZD2014,0.001,$k_{G2}$,0.047807999428818394,3.198645131403965e-10
CAMA1,AZD2014,0.001,$k_{M}$,0.024955437386658688,3.198645131403965e-10
CAMA1,AZD2014,0.001,$k_{G1}$,0.06783099739790452,3.198645131403965e-10
CAMA1,AZD2014,0.001,$k_{\phi}$,0.00035987502122784604,3.198645131403965e-10
