cell_line,agent,concentration,parameter,rate,obj_func
CAMA1,BMS-265246,3.162278,$k_{S}$,0.00898428955829063,6632.460147212138
CAMA1,BMS-265246,3.162278,$k_{G2}$,0.03561162887983102,6632.460147212138
CAMA1,BMS-265246,3.162278,$k_{M}$,0.0014328421493627723,6632.460147212138
CAMA1,BMS-265246,3.162278,$k_{G1}$,1e-07,6632.460147212138
CAMA1,BMS-265246,3.162278,$k_{\phi}$,0.0011745093484078165,6632.460147212138
CAMA1,BMS-265246,0.316228,$k_{S}$,0.009976120616404457,7.976251656279e-10
CAMA1,BMS-265246,0.316228,$k_{G2}$,0.026155792263992884,7.976251656279e-10
CAMA1,BMS-265246,0.316228,$k_{M}$,0.0046891018095894695,7.976251656279e-10
CAMA1,BMS-265246,0.316228,$k_{G1}$,0.1043909056207739,7.976251656279e-10
CAMA1,BMS-265246,0.316228,$k_{\phi}$,0.0009733998403251371,7.976251656279e-10
CAMA1,BMS-265246,10.0,$k_{S}$,0.009069664814334749,1482.8176470668757
CAMA1,BMS-265246,10.0,$k_{G2}$,0.038572764865274625,1482.8176470668757
CAMA1,BMS-265246,10.0,$k_{M}$,0.0005991269124398215,1482.8176470668757
CAMA1,BMS-265246,10.0,$k_{G1}$,1e-07,1482.8176470668757
CAMA1,BMS-265246,10.0,$k_{\phi}$,0.0008633020730709153,1482.8176470668757
CAMA1,BMS-265246,0.1,$k_{S}$,0.007990456903126079,6.667421402741733e-10
CAMA1,BMS-265246,0.1,$k_{G2}$,0.02294656472051043,6.667421402741733e-10
CAMA1,BMS-265246,0.1,$k_{M}$,0.0034864830938850485,6.667421402741733e-10
CAMA1,BMS-265246,0.1,$k_{G1}$,0.15564240166831977,6.667421402741733e-10
CAMA1,BMS-265246,0.1,$k_{\phi}$,0.0009676032434784442,6.667421402741733e-10
CAMA1,BMS-265246,1.0,$k_{S}$,0.009992012453823041,5.288506159581937e-10
CAMA1,BMS-265246,1.0,$k_{G2}$,0.02427656116632644,5.288506159581937e-10
CAMA1,BMS-265246,1.0,$k_{M}$,0.0050904511704921,5.288506159581937e-10
CAMA1,BMS-265246,1.0,$k_{G1}$,0.04758782862818064,5.288506159581937e-10
CAMA1,BMS-265246,1.0,$k_{\phi}$,0.0009405469307951853,5.288506159581937e-10
CAMA1,BMS-265246,0.001,$k_{S}$,0.019339365483313935,4.743942712517406e-10
CAMA1,BMS-265246,0.001,$k_{G2}$,0.02765050606880991,4.743942712517406e-10
CAMA1,BMS-265246,0.001,$k_{M}$,0.02109417176392122,4.743942712517406e-10
CAMA1,BMS-265246,0.001,$k_{G1}$,0.4777522032601581,4.743942712517406e-10
CAMA1,BMS-265246,0.001,$k_{\phi}$,0.0009364527130845832,4.743942712517406e-10
CAMA1,BMS-265246,0.003162,$k_{S}$,0.018688063240013375,5.144871708571868e-10
CAMA1,BMS-265246,0.003162,$k_{G2}$,0.029587032967159876,5.144871708571868e-10
CAMA1,BMS-265246,0.003162,$k_{M}$,0.020833947005204922,5.144871708571868e-10
CAMA1,BMS-265246,0.003162,$k_{G1}$,0.37958601622636556,5.144871708571868e-10
CAMA1,BMS-265246,0.003162,$k_{\phi}$,0.0008594506491793522,5.144871708571868e-10
CAMA1,BMS-265246,0.031623,$k_{S}$,0.013799795360206132,1.0148339047007515e-09
CAMA1,BMS-265246,0.031623,$k_{G2}$,0.029871425244224516,1.0148339047007515e-09
CAMA1,BMS-265246,0.031623,$k_{M}$,0.011014696594168797,1.0148339047007515e-09
CAMA1,BMS-265246,0.031623,$k_{G1}$,0.24683906503122632,1.0148339047007515e-09
CAMA1,BMS-265246,0.031623,$k_{\phi}$,0.0009523943615835928,1.0148339047007515e-09
CAMA1,BMS-265246,0.01,$k_{S}$,0.015572179297556627,1.989413002412392e-10
CAMA1,BMS-265246,0.01,$k_{G2}$,0.030838354621157082,1.989413002412392e-10
CAMA1,BMS-265246,0.01,$k_{M}$,0.011936129229874646,1.989413002412392e-10
CAMA1,BMS-265246,0.01,$k_{G1}$,0.59012758692779,1.989413002412392e-10
CAMA1,BMS-265246,0.01,$k_{\phi}$,0.0009224271277703911,1.989413002412392e-10
