cell_line,agent,concentration,parameter,rate,obj_func
CAMA1,LEE011_Ribociclib,10.0,$k_{S}$,0.002884133657119593,3.796853674025617e-10
CAMA1,LEE011_Ribociclib,10.0,$k_{G2}$,0.1895743296628744,3.796853674025617e-10
CAMA1,LEE011_Ribociclib,10.0,$k_{M}$,0.01756900998119065,3.796853674025617e-10
CAMA1,LEE011_Ribociclib,10.0,$k_{G1}$,0.033373280052513374,3.796853674025617e-10
CAMA1,LEE011_Ribociclib,10.0,$k_{\phi}$,0.00018774918849093233,3.796853674025617e-10
CAMA1,LEE011_Ribociclib,1.0,$k_{S}$,0.005480888955115749,2.735720054785077e-10
CAMA1,LEE011_Ribociclib,1.0,$k_{G2}$,0.0802593436408153,2.735720054785077e-10
CAMA1,LEE011_Ribociclib,1.0,$k_{M}$,0.02156352486472232,2.735720054785077e-10
CAMA1,LEE011_Ribociclib,1.0,$k_{G1}$,0.10006203047407074,2.735720054785077e-10
CAMA1,LEE011_Ribociclib,1.0,$k_{\phi}$,0.0003660986228141958,2.735720054785077e-10
CAMA1,LEE011_Ribociclib,3.162278,$k_{S}$,0.0022413336694186376,7.733865213958622e-11
CAMA1,LEE011_Ribociclib,3.162278,$k_{G2}$,0.10423071872169658,7.733865213958622e-11
CAMA1,LEE011_Ribociclib,3.162278,$k_{M}$,0.014474561563547697,7.733865213958622e-11
CAMA1,LEE011_Ribociclib,3.162278,$k_{G1}$,0.08258074609517128,7.733865213958622e-11
CAMA1,LEE011_Ribociclib,3.162278,$k_{\phi}$,0.00031933228719564587,7.733865213958622e-11
CAMA1,LEE011_Ribociclib,0.1,$k_{S}$,0.005358907835589101,6.675219649032165e-10
CAMA1,LEE011_Ribociclib,0.1,$k_{G2}$,0.05722609938776704,6.675219649032165e-10
CAMA1,LEE011_Ribociclib,0.1,$k_{M}$,0.01904868500795296,6.675219649032165e-10
CAMA1,LEE011_Ribociclib,0.1,$k_{G1}$,0.6493397502047953,6.675219649032165e-10
CAMA1,LEE011_Ribociclib,0.1,$k_{\phi}$,0.0002786516133458645,6.675219649032165e-10
CAMA1,LEE011_Ribociclib,0.316228,$k_{S}$,0.004627823471418034,4.072041219488911e-10
CAMA1,LEE011_Ribociclib,0.316228,$k_{G2}$,0.03760047450770013,4.072041219488911e-10
CAMA1,LEE011_Ribociclib,0.316228,$k_{M}$,0.016598679628223336,4.072041219488911e-10
CAMA1,LEE011_Ribociclib,0.316228,$k_{G1}$,0.07119058423244705,4.072041219488911e-10
CAMA1,LEE011_Ribociclib,0.316228,$k_{\phi}$,0.0002381771793959216,4.072041219488911e-10
CAMA1,LEE011_Ribociclib,0.003162,$k_{S}$,0.013257625857378122,5.475420195444542e-10
CAMA1,LEE011_Ribociclib,0.003162,$k_{G2}$,0.06593516176192683,5.475420195444542e-10
CAMA1,LEE011_Ribociclib,0.003162,$k_{M}$,0.037748727653346685,5.475420195444542e-10
CAMA1,LEE011_Ribociclib,0.003162,$k_{G1}$,1.1020779610217573,5.475420195444542e-10
CAMA1,LEE011_Ribociclib,0.003162,$k_{\phi}$,0.00019037807363360456,5.475420195444542e-10
CAMA1,LEE011_Ribociclib,0.01,$k_{S}$,0.011002146726384675,2.605101444474024e-10
CAMA1,LEE011_Ribociclib,0.01,$k_{G2}$,0.05442674506710903,2.605101444474024e-10
CAMA1,LEE011_Ribociclib,0.01,$k_{M}$,0.033139033316599245,2.605101444474024e-10
CAMA1,LEE011_Ribociclib,0.01,$k_{G1}$,1.6798119783800736,2.605101444474024e-10
CAMA1,LEE011_Ribociclib,0.01,$k_{\phi}$,0.0002996124293912279,2.605101444474024e-10
CAMA1,LEE011_Ribociclib,0.001,$k_{S}$,0.017353228257891203,2.2814073253292937e-10
CAMA1,LEE011_Ribociclib,0.001,$k_{G2}$,0.06045822971894045,2.2814073253292937e-10
CAMA1,LEE011_Ribociclib,0.001,$k_{M}$,0.04621608024708128,2.2814073253292937e-10
CAMA1,LEE011_Ribociclib,0.001,$k_{G1}$,1.4874244551765405,2.2814073253292937e-10
CAMA1,LEE011_Ribociclib,0.001,$k_{\phi}$,0.00021723459503197672,2.2814073253292937e-10
CAMA1,LEE011_Ribociclib,0.031623,$k_{S}$,0.011382843873676187,6.893424985378042e-10
CAMA1,LEE011_Ribociclib,0.031623,$k_{G2}$,0.07228497438427144,6.893424985378042e-10
CAMA1,LEE011_Ribociclib,0.031623,$k_{M}$,0.03113030695254962,6.893424985378042e-10
CAMA1,LEE011_Ribociclib,0.031623,$k_{G1}$,1.97060201445679,6.893424985378042e-10
CAMA1,LEE011_Ribociclib,0.031623,$k_{\phi}$,0.0002560911020408976,6.893424985378042e-10
