cell_line,agent,concentration,parameter,rate,obj_func
CAMA1,LY3023414,0.316228,$k_{S}$,0.0011536301296689506,1.1390354074831115e-10
CAMA1,LY3023414,0.316228,$k_{G2}$,0.12789727248840776,1.1390354074831115e-10
CAMA1,LY3023414,0.316228,$k_{M}$,0.011961674566592737,1.1390354074831115e-10
CAMA1,LY3023414,0.316228,$k_{G1}$,0.029638835353062293,1.1390354074831115e-10
CAMA1,LY3023414,0.316228,$k_{\phi}$,0.0005237326671513132,1.1390354074831115e-10
CAMA1,LY3023414,0.01,$k_{S}$,0.002580403608594871,4.758970506531623e-10
CAMA1,LY3023414,0.01,$k_{G2}$,0.22689205057925932,4.758970506531623e-10
CAMA1,LY3023414,0.01,$k_{M}$,0.014851618663796124,4.758970506531623e-10
CAMA1,LY3023414,0.01,$k_{G1}$,0.10541957723100803,4.758970506531623e-10
CAMA1,LY3023414,0.01,$k_{\phi}$,0.00028462294577720287,4.758970506531623e-10
CAMA1,LY3023414,0.003162,$k_{S}$,0.002131766941819459,1.5937642350234718e-10
CAMA1,LY3023414,0.003162,$k_{G2}$,0.05157419083583622,1.5937642350234718e-10
CAMA1,LY3023414,0.003162,$k_{M}$,0.015669527665203388,1.5937642350234718e-10
CAMA1,LY3023414,0.003162,$k_{G1}$,0.029000026988029594,1.5937642350234718e-10
CAMA1,LY3023414,0.003162,$k_{\phi}$,0.0002691118256577736,1.5937642350234718e-10
CAMA1,LY3023414,0.001,$k_{S}$,0.005192993962049855,2.1528195562612816e-10
CAMA1,LY3023414,0.001,$k_{G2}$,0.08553597558371544,2.1528195562612816e-10
CAMA1,LY3023414,0.001,$k_{M}$,0.02491168388281937,2.1528195562612816e-10
CAMA1,LY3023414,0.001,$k_{G1}$,0.08073629091318123,2.1528195562612816e-10
CAMA1,LY3023414,0.001,$k_{\phi}$,0.00019036897837498842,2.1528195562612816e-10
CAMA1,LY3023414,3.162278,$k_{S}$,1e-07,588.4701258133006
CAMA1,LY3023414,3.162278,$k_{G2}$,0.027202705424744386,588.4701258133006
CAMA1,LY3023414,3.162278,$k_{M}$,0.008838679418967724,588.4701258133006
CAMA1,LY3023414,3.162278,$k_{G1}$,0.014277620977027233,588.4701258133006
CAMA1,LY3023414,3.162278,$k_{\phi}$,0.0006250347652566821,588.4701258133006
CAMA1,LY3023414,10.0,$k_{S}$,0.002249820383083917,51431.24687326095
CAMA1,LY3023414,10.0,$k_{G2}$,0.017720687527109834,51431.24687326095
CAMA1,LY3023414,10.0,$k_{M}$,0.00983292503875278,51431.24687326095
CAMA1,LY3023414,10.0,$k_{G1}$,1e-07,51431.24687326095
CAMA1,LY3023414,10.0,$k_{\phi}$,0.0023112010999827345,51431.24687326095
CAMA1,LY3023414,0.1,$k_{S}$,0.0015885547713793036,1.8566374920807723e-10
CAMA1,LY3023414,0.1,$k_{G2}$,0.06518574160728836,1.8566374920807723e-10
CAMA1,LY3023414,0.1,$k_{M}$,0.011442351234348025,1.8566374920807723e-10
CAMA1,LY3023414,0.1,$k_{G1}$,0.036529394525561996,1.8566374920807723e-10
CAMA1,LY3023414,0.1,$k_{\phi}$,0.0005078494049372925,1.8566374920807723e-10
CAMA1,LY3023414,0.031623,$k_{S}$,1e-07,166.65487684086668
CAMA1,LY3023414,0.031623,$k_{G2}$,0.005631314816778154,166.65487684086668
CAMA1,LY3023414,0.031623,$k_{M}$,0.0066072890714816085,166.65487684086668
CAMA1,LY3023414,0.031623,$k_{G1}$,0.03563361337323975,166.65487684086668
CAMA1,LY3023414,0.031623,$k_{\phi}$,0.0003747682860806915,166.65487684086668
CAMA1,LY3023414,1.0,$k_{S}$,1e-07,0.6282795466459672
CAMA1,LY3023414,1.0,$k_{G2}$,0.032590772125479416,0.6282795466459672
CAMA1,LY3023414,1.0,$k_{M}$,0.00953241333449354,0.6282795466459672
CAMA1,LY3023414,1.0,$k_{G1}$,0.01715376708273498,0.6282795466459672
CAMA1,LY3023414,1.0,$k_{\phi}$,0.00042349879589369217,0.6282795466459672
