cell_line,agent,concentration,parameter,rate,obj_func
CAMA1,R0-3306,0.001,$k_{S}$,0.03270302160993203,6.030322929342462e-10
CAMA1,R0-3306,0.001,$k_{G2}$,0.057162696280960816,6.030322929342462e-10
CAMA1,R0-3306,0.001,$k_{M}$,0.06293641912932607,6.030322929342462e-10
CAMA1,R0-3306,0.001,$k_{G1}$,0.4279013019191966,6.030322929342462e-10
CAMA1,R0-3306,0.001,$k_{\phi}$,0.0002985661048114332,6.030322929342462e-10
CAMA1,R0-3306,0.003162,$k_{S}$,0.02942537677189679,6.786725839507731e-10
CAMA1,R0-3306,0.003162,$k_{G2}$,0.04794031815873138,6.786725839507731e-10
CAMA1,R0-3306,0.003162,$k_{M}$,0.05649926222184913,6.786725839507731e-10
CAMA1,R0-3306,0.003162,$k_{G1}$,0.8444777805348419,6.786725839507731e-10
CAMA1,R0-3306,0.003162,$k_{\phi}$,0.0003118608887292444,6.786725839507731e-10
CAMA1,R0-3306,1.0,$k_{S}$,0.03125736275631485,5.474869612892733e-10
CAMA1,R0-3306,1.0,$k_{G2}$,0.049680735447262515,5.474869612892733e-10
CAMA1,R0-3306,1.0,$k_{M}$,0.05828462546949429,5.474869612892733e-10
CAMA1,R0-3306,1.0,$k_{G1}$,0.8519421177328819,5.474869612892733e-10
CAMA1,R0-3306,1.0,$k_{\phi}$,0.00035032994306968807,5.474869612892733e-10
CAMA1,R0-3306,0.031623,$k_{S}$,0.03034970840764639,8.646308660694647e-10
CAMA1,R0-3306,0.031623,$k_{G2}$,0.05167525907066206,8.646308660694647e-10
CAMA1,R0-3306,0.031623,$k_{M}$,0.054542898159402,8.646308660694647e-10
CAMA1,R0-3306,0.031623,$k_{G1}$,1.4232741314670971,8.646308660694647e-10
CAMA1,R0-3306,0.031623,$k_{\phi}$,0.0002595505700966519,8.646308660694647e-10
CAMA1,R0-3306,10.0,$k_{S}$,0.01107393161166819,4.6446642888556703e-10
CAMA1,R0-3306,10.0,$k_{G2}$,0.07342076074067852,4.6446642888556703e-10
CAMA1,R0-3306,10.0,$k_{M}$,0.005142674944814141,4.6446642888556703e-10
CAMA1,R0-3306,10.0,$k_{G1}$,0.023890042797193266,4.6446642888556703e-10
CAMA1,R0-3306,10.0,$k_{\phi}$,0.0010903784967617903,4.6446642888556703e-10
CAMA1,R0-3306,0.316228,$k_{S}$,0.02603034999815888,9.904259988472453e-10
CAMA1,R0-3306,0.316228,$k_{G2}$,0.0514584674428707,9.904259988472453e-10
CAMA1,R0-3306,0.316228,$k_{M}$,0.04979469646881144,9.904259988472453e-10
CAMA1,R0-3306,0.316228,$k_{G1}$,0.8359528538105347,9.904259988472453e-10
CAMA1,R0-3306,0.316228,$k_{\phi}$,0.00033573595817249207,9.904259988472453e-10
CAMA1,R0-3306,0.1,$k_{S}$,0.03161153418958273,5.736503334649597e-10
CAMA1,R0-3306,0.1,$k_{G2}$,0.05413635384196656,5.736503334649597e-10
CAMA1,R0-3306,0.1,$k_{M}$,0.05807769205829423,5.736503334649597e-10
CAMA1,R0-3306,0.1,$k_{G1}$,0.9865309428365239,5.736503334649597e-10
CAMA1,R0-3306,0.1,$k_{\phi}$,0.0003928908601785025,5.736503334649597e-10
CAMA1,R0-3306,3.162278,$k_{S}$,0.02387611008462142,6.197630063122099e-10
CAMA1,R0-3306,3.162278,$k_{G2}$,0.05199057103119578,6.197630063122099e-10
CAMA1,R0-3306,3.162278,$k_{M}$,0.046791501401342715,6.197630063122099e-10
CAMA1,R0-3306,3.162278,$k_{G1}$,0.7309040707857022,6.197630063122099e-10
CAMA1,R0-3306,3.162278,$k_{\phi}$,0.0003760860444332184,6.197630063122099e-10
CAMA1,R0-3306,0.01,$k_{S}$,0.027102243897690958,4.836751214230644e-10
CAMA1,R0-3306,0.01,$k_{G2}$,0.045024535184488505,4.836751214230644e-10
CAMA1,R0-3306,0.01,$k_{M}$,0.04686722666517116,4.836751214230644e-10
CAMA1,R0-3306,0.01,$k_{G1}$,0.6647876152731905,4.836751214230644e-10
CAMA1,R0-3306,0.01,$k_{\phi}$,0.00036555440493277007,4.836751214230644e-10
