cell_line,agent,concentration,parameter,rate,obj_func
EFM19,BSJ-03-123,0.1,$k_{S}$,0.027393457144316277,1644.528409803985
EFM19,BSJ-03-123,0.1,$k_{G2}$,0.059231734994011784,1644.528409803985
EFM19,BSJ-03-123,0.1,$k_{M}$,0.108271079252184,1644.528409803985
EFM19,BSJ-03-123,0.1,$k_{G1}$,0.6832121286737202,1644.528409803985
EFM19,BSJ-03-123,0.1,$k_{\phi}$,1e-07,1644.528409803985
EFM19,BSJ-03-123,1.0,$k_{S}$,0.017732900867385985,464.44545225885986
EFM19,BSJ-03-123,1.0,$k_{G2}$,0.05182448529891176,464.44545225885986
EFM19,BSJ-03-123,1.0,$k_{M}$,0.06918874860422955,464.44545225885986
EFM19,BSJ-03-123,1.0,$k_{G1}$,0.4581521281226225,464.44545225885986
EFM19,BSJ-03-123,1.0,$k_{\phi}$,1e-07,464.44545225885986
EFM19,BSJ-03-123,10.0,$k_{S}$,0.0007123690840092508,704.8239753790536
EFM19,BSJ-03-123,10.0,$k_{G2}$,0.33219974733772795,704.8239753790536
EFM19,BSJ-03-123,10.0,$k_{M}$,0.008635879603575538,704.8239753790536
EFM19,BSJ-03-123,10.0,$k_{G1}$,3.912430632634649,704.8239753790536
EFM19,BSJ-03-123,10.0,$k_{\phi}$,1e-07,704.8239753790536
EFM19,BSJ-03-123,3.162278,$k_{S}$,0.015540709991054445,1263.8469440645815
EFM19,BSJ-03-123,3.162278,$k_{G2}$,0.049538744895162114,1263.8469440645815
EFM19,BSJ-03-123,3.162278,$k_{M}$,0.05607119287629477,1263.8469440645815
EFM19,BSJ-03-123,3.162278,$k_{G1}$,0.7794302358564785,1263.8469440645815
EFM19,BSJ-03-123,3.162278,$k_{\phi}$,1e-07,1263.8469440645815
EFM19,BSJ-03-123,0.01,$k_{S}$,0.03435708743816073,382.3281907336769
EFM19,BSJ-03-123,0.01,$k_{G2}$,0.05610766562945711,382.3281907336769
EFM19,BSJ-03-123,0.01,$k_{M}$,0.11865216016427216,382.3281907336769
EFM19,BSJ-03-123,0.01,$k_{G1}$,0.5365428437012775,382.3281907336769
EFM19,BSJ-03-123,0.01,$k_{\phi}$,1e-07,382.3281907336769
EFM19,BSJ-03-123,0.001,$k_{S}$,0.037805399403924876,1385.372199777021
EFM19,BSJ-03-123,0.001,$k_{G2}$,0.06294542621633552,1385.372199777021
EFM19,BSJ-03-123,0.001,$k_{M}$,0.12400220126768209,1385.372199777021
EFM19,BSJ-03-123,0.001,$k_{G1}$,0.5655000363130808,1385.372199777021
EFM19,BSJ-03-123,0.001,$k_{\phi}$,1e-07,1385.372199777021
EFM19,BSJ-03-123,0.003162,$k_{S}$,0.03644468653431947,1726.727906068406
EFM19,BSJ-03-123,0.003162,$k_{G2}$,0.06348094080621373,1726.727906068406
EFM19,BSJ-03-123,0.003162,$k_{M}$,0.12683471115808514,1726.727906068406
EFM19,BSJ-03-123,0.003162,$k_{G1}$,0.5779536044685634,1726.727906068406
EFM19,BSJ-03-123,0.003162,$k_{\phi}$,1e-07,1726.727906068406
EFM19,BSJ-03-123,0.031623,$k_{S}$,0.029037783214984073,995.5527573296658
EFM19,BSJ-03-123,0.031623,$k_{G2}$,0.05063813918623032,995.5527573296658
EFM19,BSJ-03-123,0.031623,$k_{M}$,0.09995562452144664,995.5527573296658
EFM19,BSJ-03-123,0.031623,$k_{G1}$,0.6724640752489335,995.5527573296658
EFM19,BSJ-03-123,0.031623,$k_{\phi}$,1e-07,995.5527573296658
EFM19,BSJ-03-123,0.316228,$k_{S}$,0.023705576219517837,1782.4169271453864
EFM19,BSJ-03-123,0.316228,$k_{G2}$,0.052857454015389625,1782.4169271453864
EFM19,BSJ-03-123,0.316228,$k_{M}$,0.0958349246170197,1782.4169271453864
EFM19,BSJ-03-123,0.316228,$k_{G1}$,0.5978592555754919,1782.4169271453864
EFM19,BSJ-03-123,0.316228,$k_{\phi}$,1e-07,1782.4169271453864
