cell_line,agent,concentration,parameter,rate,obj_func
EFM19,Flavopiridol,0.003162,$k_{S}$,0.03637923160355415,296.55714169462266
EFM19,Flavopiridol,0.003162,$k_{G2}$,0.06852958099382471,296.55714169462266
EFM19,Flavopiridol,0.003162,$k_{M}$,0.12553718216383258,296.55714169462266
EFM19,Flavopiridol,0.003162,$k_{G1}$,0.621713131231876,296.55714169462266
EFM19,Flavopiridol,0.003162,$k_{\phi}$,1e-07,296.55714169462266
EFM19,Flavopiridol,1.0,$k_{S}$,1e-07,18118.327909107866
EFM19,Flavopiridol,1.0,$k_{G2}$,0.01944432055825096,18118.327909107866
EFM19,Flavopiridol,1.0,$k_{M}$,0.004898186630408309,18118.327909107866
EFM19,Flavopiridol,1.0,$k_{G1}$,0.013320761773372042,18118.327909107866
EFM19,Flavopiridol,1.0,$k_{\phi}$,0.0018497556014167857,18118.327909107866
EFM19,Flavopiridol,0.001,$k_{S}$,0.03630761818829286,91.27655287919066
EFM19,Flavopiridol,0.001,$k_{G2}$,0.0686711181488816,91.27655287919066
EFM19,Flavopiridol,0.001,$k_{M}$,0.11773280782805592,91.27655287919066
EFM19,Flavopiridol,0.001,$k_{G1}$,0.5188202990660095,91.27655287919066
EFM19,Flavopiridol,0.001,$k_{\phi}$,1e-07,91.27655287919066
EFM19,Flavopiridol,0.0001,$k_{S}$,0.037438717577473864,1336.2099620584315
EFM19,Flavopiridol,0.0001,$k_{G2}$,0.0705102658345305,1336.2099620584315
EFM19,Flavopiridol,0.0001,$k_{M}$,0.1172535362045238,1336.2099620584315
EFM19,Flavopiridol,0.0001,$k_{G1}$,0.6710212134341283,1336.2099620584315
EFM19,Flavopiridol,0.0001,$k_{\phi}$,1e-07,1336.2099620584315
EFM19,Flavopiridol,0.01,$k_{S}$,0.03383621301578272,554.7471226659812
EFM19,Flavopiridol,0.01,$k_{G2}$,0.060464108503283646,554.7471226659812
EFM19,Flavopiridol,0.01,$k_{M}$,0.1067866732314253,554.7471226659812
EFM19,Flavopiridol,0.01,$k_{G1}$,0.4785367638772873,554.7471226659812
EFM19,Flavopiridol,0.01,$k_{\phi}$,1e-07,554.7471226659812
EFM19,Flavopiridol,0.1,$k_{S}$,0.031001021515570545,1699.0251189062071
EFM19,Flavopiridol,0.1,$k_{G2}$,0.06258034016077015,1699.0251189062071
EFM19,Flavopiridol,0.1,$k_{M}$,0.08854729009976565,1699.0251189062071
EFM19,Flavopiridol,0.1,$k_{G1}$,0.4962802503719399,1699.0251189062071
EFM19,Flavopiridol,0.1,$k_{\phi}$,1e-07,1699.0251189062071
EFM19,Flavopiridol,0.000316,$k_{S}$,0.03686307157451348,759.232675918958
EFM19,Flavopiridol,0.000316,$k_{G2}$,0.07039994145612992,759.232675918958
EFM19,Flavopiridol,0.000316,$k_{M}$,0.11929831267908245,759.232675918958
EFM19,Flavopiridol,0.000316,$k_{G1}$,0.6440046611866735,759.232675918958
EFM19,Flavopiridol,0.000316,$k_{\phi}$,1e-07,759.232675918958
EFM19,Flavopiridol,0.316228,$k_{S}$,0.018007633092942104,635.8816789836761
EFM19,Flavopiridol,0.316228,$k_{G2}$,0.05278105034793023,635.8816789836761
EFM19,Flavopiridol,0.316228,$k_{M}$,0.04110836020266071,635.8816789836761
EFM19,Flavopiridol,0.316228,$k_{G1}$,0.27877731492998814,635.8816789836761
EFM19,Flavopiridol,0.316228,$k_{\phi}$,1e-07,635.8816789836761
EFM19,Flavopiridol,0.031623,$k_{S}$,0.03477556979726541,1867.9973901132007
EFM19,Flavopiridol,0.031623,$k_{G2}$,0.06636180237681491,1867.9973901132007
EFM19,Flavopiridol,0.031623,$k_{M}$,0.11423358733867238,1867.9973901132007
EFM19,Flavopiridol,0.031623,$k_{G1}$,0.5870113892984831,1867.9973901132007
EFM19,Flavopiridol,0.031623,$k_{\phi}$,1e-07,1867.9973901132007
