cell_line,agent,concentration,parameter,rate,obj_func
HCC1143,LY3023414,0.001,$k_{S}$,0.06542166728601811,0.049715410044257745
HCC1143,LY3023414,0.001,$k_{G2}$,0.03481560079603242,0.049715410044257745
HCC1143,LY3023414,0.001,$k_{M}$,0.12640940622712352,0.049715410044257745
HCC1143,LY3023414,0.001,$k_{G1}$,0.5714881998708219,0.049715410044257745
HCC1143,LY3023414,0.001,$k_{\phi}$,1e-07,0.049715410044257745
HCC1143,LY3023414,10.0,$k_{S}$,0.0037259215682059754,15940.060046292687
HCC1143,LY3023414,10.0,$k_{G2}$,0.012186393330000623,15940.060046292687
HCC1143,LY3023414,10.0,$k_{M}$,0.016760519923117622,15940.060046292687
HCC1143,LY3023414,10.0,$k_{G1}$,1e-07,15940.060046292687
HCC1143,LY3023414,10.0,$k_{\phi}$,0.0014186664965156303,15940.060046292687
HCC1143,LY3023414,0.1,$k_{S}$,0.04893622682851214,3.0885389560270686e-10
HCC1143,LY3023414,0.1,$k_{G2}$,0.02873844672418849,3.0885389560270686e-10
HCC1143,LY3023414,0.1,$k_{M}$,0.10467416294587595,3.0885389560270686e-10
HCC1143,LY3023414,0.1,$k_{G1}$,0.2794909136694109,3.0885389560270686e-10
HCC1143,LY3023414,0.1,$k_{\phi}$,0.0002611042128752276,3.0885389560270686e-10
HCC1143,LY3023414,0.01,$k_{S}$,0.05887178910363887,4.4784186377782995e-10
HCC1143,LY3023414,0.01,$k_{G2}$,0.03436999227326835,4.4784186377782995e-10
HCC1143,LY3023414,0.01,$k_{M}$,0.1288088798945868,4.4784186377782995e-10
HCC1143,LY3023414,0.01,$k_{G1}$,0.34266668348212526,4.4784186377782995e-10
HCC1143,LY3023414,0.01,$k_{\phi}$,4.404771662904561e-06,4.4784186377782995e-10
HCC1143,LY3023414,0.316228,$k_{S}$,0.03721512363400288,1.4506883594872741e-10
HCC1143,LY3023414,0.316228,$k_{G2}$,0.028044623112774513,1.4506883594872741e-10
HCC1143,LY3023414,0.316228,$k_{M}$,0.10041663196970803,1.4506883594872741e-10
HCC1143,LY3023414,0.316228,$k_{G1}$,0.2394715864380651,1.4506883594872741e-10
HCC1143,LY3023414,0.316228,$k_{\phi}$,0.0001960164250487924,1.4506883594872741e-10
HCC1143,LY3023414,1.0,$k_{S}$,0.032594582310706194,2.4983611048943034e-10
HCC1143,LY3023414,1.0,$k_{G2}$,0.02379975992529698,2.4983611048943034e-10
HCC1143,LY3023414,1.0,$k_{M}$,0.09235433102668932,2.4983611048943034e-10
HCC1143,LY3023414,1.0,$k_{G1}$,0.22881864842926003,2.4983611048943034e-10
HCC1143,LY3023414,1.0,$k_{\phi}$,3.654859954675167e-05,2.4983611048943034e-10
HCC1143,LY3023414,0.031623,$k_{S}$,0.05312063019731735,3.294876759775202e-10
HCC1143,LY3023414,0.031623,$k_{G2}$,0.03309384881342357,3.294876759775202e-10
HCC1143,LY3023414,0.031623,$k_{M}$,0.11709626844250887,3.294876759775202e-10
HCC1143,LY3023414,0.031623,$k_{G1}$,0.31436789774995916,3.294876759775202e-10
HCC1143,LY3023414,0.031623,$k_{\phi}$,0.0004425215289133619,3.294876759775202e-10
HCC1143,LY3023414,0.003162,$k_{S}$,0.06250523953560327,3.576398020775981e-10
HCC1143,LY3023414,0.003162,$k_{G2}$,0.03531496225485981,3.576398020775981e-10
HCC1143,LY3023414,0.003162,$k_{M}$,0.11595466479540473,3.576398020775981e-10
HCC1143,LY3023414,0.003162,$k_{G1}$,0.3966338622912525,3.576398020775981e-10
HCC1143,LY3023414,0.003162,$k_{\phi}$,0.00016254472534272553,3.576398020775981e-10
HCC1143,LY3023414,3.162278,$k_{S}$,0.024367214402416335,2.227126460650359e-10
HCC1143,LY3023414,3.162278,$k_{G2}$,0.019971164723720992,2.227126460650359e-10
HCC1143,LY3023414,3.162278,$k_{M}$,0.07258266503804245,2.227126460650359e-10
HCC1143,LY3023414,3.162278,$k_{G1}$,0.12777166975886312,2.227126460650359e-10
HCC1143,LY3023414,3.162278,$k_{\phi}$,0.00021627393421709326,2.227126460650359e-10
