cell_line,agent,concentration,parameter,rate,obj_func
HCC1143,SY-1365,0.003162,$k_{S}$,1e-07,9767.551752725782
HCC1143,SY-1365,0.003162,$k_{G2}$,0.013625174779050852,9767.551752725782
HCC1143,SY-1365,0.003162,$k_{M}$,0.006853554365711857,9767.551752725782
HCC1143,SY-1365,0.003162,$k_{G1}$,0.00047035962201113807,9767.551752725782
HCC1143,SY-1365,0.003162,$k_{\phi}$,0.0011069498013374962,9767.551752725782
HCC1143,SY-1365,0.01,$k_{S}$,0.00015840631194734655,36008.205475770934
HCC1143,SY-1365,0.01,$k_{G2}$,0.016749929002090734,36008.205475770934
HCC1143,SY-1365,0.01,$k_{M}$,0.014718057175623247,36008.205475770934
HCC1143,SY-1365,0.01,$k_{G1}$,1e-07,36008.205475770934
HCC1143,SY-1365,0.01,$k_{\phi}$,0.0018366807075634497,36008.205475770934
HCC1143,SY-1365,0.0001,$k_{S}$,0.07540396799505504,3.8762690441710087e-10
HCC1143,SY-1365,0.0001,$k_{G2}$,0.04032214840492168,3.8762690441710087e-10
HCC1143,SY-1365,0.0001,$k_{M}$,0.12105091194608733,3.8762690441710087e-10
HCC1143,SY-1365,0.0001,$k_{G1}$,0.59480460164896,3.8762690441710087e-10
HCC1143,SY-1365,0.0001,$k_{\phi}$,5.086201217191595e-05,3.8762690441710087e-10
HCC1143,SY-1365,1e-05,$k_{S}$,0.07864003312808406,6.691517382115442e-10
HCC1143,SY-1365,1e-05,$k_{G2}$,0.04022931404737617,6.691517382115442e-10
HCC1143,SY-1365,1e-05,$k_{M}$,0.135458120625308,6.691517382115442e-10
HCC1143,SY-1365,1e-05,$k_{G1}$,0.6596223079152284,6.691517382115442e-10
HCC1143,SY-1365,1e-05,$k_{\phi}$,0.00011777769358898447,6.691517382115442e-10
HCC1143,SY-1365,0.031623,$k_{S}$,0.002547013004487377,40256.605912438805
HCC1143,SY-1365,0.031623,$k_{G2}$,0.014859758356443356,40256.605912438805
HCC1143,SY-1365,0.031623,$k_{M}$,0.016818507250117253,40256.605912438805
HCC1143,SY-1365,0.031623,$k_{G1}$,1e-07,40256.605912438805
HCC1143,SY-1365,0.031623,$k_{\phi}$,0.002244237241462007,40256.605912438805
HCC1143,SY-1365,0.1,$k_{S}$,0.0002806988727336073,27327.59615739116
HCC1143,SY-1365,0.1,$k_{G2}$,0.018457343648594013,27327.59615739116
HCC1143,SY-1365,0.1,$k_{M}$,0.014057649594602054,27327.59615739116
HCC1143,SY-1365,0.1,$k_{G1}$,1e-07,27327.59615739116
HCC1143,SY-1365,0.1,$k_{\phi}$,0.0020223142682022598,27327.59615739116
HCC1143,SY-1365,0.000316,$k_{S}$,0.07986637696697689,1.505584802271115e-09
HCC1143,SY-1365,0.000316,$k_{G2}$,0.04161295327623265,1.505584802271115e-09
HCC1143,SY-1365,0.000316,$k_{M}$,0.1466726582086334,1.505584802271115e-09
HCC1143,SY-1365,0.000316,$k_{G1}$,0.6897240144214403,1.505584802271115e-09
HCC1143,SY-1365,0.000316,$k_{\phi}$,0.00020599161745593378,1.505584802271115e-09
HCC1143,SY-1365,0.001,$k_{S}$,0.01737073618478926,8.823488826694087e-11
HCC1143,SY-1365,0.001,$k_{G2}$,0.033565097659165294,8.823488826694087e-11
HCC1143,SY-1365,0.001,$k_{M}$,0.02305105517019959,8.823488826694087e-11
HCC1143,SY-1365,0.001,$k_{G1}$,0.1699007186984397,8.823488826694087e-11
HCC1143,SY-1365,0.001,$k_{\phi}$,0.0003045468523989177,8.823488826694087e-11
HCC1143,SY-1365,3.2e-05,$k_{S}$,0.08010656453471769,0.0005115026555497096
HCC1143,SY-1365,3.2e-05,$k_{G2}$,0.04386439128625181,0.0005115026555497096
HCC1143,SY-1365,3.2e-05,$k_{M}$,0.13979540067355598,0.0005115026555497096
HCC1143,SY-1365,3.2e-05,$k_{G1}$,0.5860278199025827,0.0005115026555497096
HCC1143,SY-1365,3.2e-05,$k_{\phi}$,0.00034857228729890055,0.0005115026555497096
