cell_line,agent,concentration,parameter,rate,obj_func
HCC1395,E17,0.031623,$k_{S}$,0.00404883776970673,9126.64979437955
HCC1395,E17,0.031623,$k_{G2}$,0.017753726413099476,9126.64979437955
HCC1395,E17,0.031623,$k_{M}$,0.009437634435425488,9126.64979437955
HCC1395,E17,0.031623,$k_{G1}$,1e-07,9126.64979437955
HCC1395,E17,0.031623,$k_{\phi}$,0.0033653469993786614,9126.64979437955
HCC1395,E17,0.001,$k_{S}$,0.01972219926359926,1.3013056784591332e-10
HCC1395,E17,0.001,$k_{G2}$,0.034339557760561336,1.3013056784591332e-10
HCC1395,E17,0.001,$k_{M}$,0.03164044126113134,1.3013056784591332e-10
HCC1395,E17,0.001,$k_{G1}$,0.11913265967948972,1.3013056784591332e-10
HCC1395,E17,0.001,$k_{\phi}$,0.0010744203363968483,1.3013056784591332e-10
HCC1395,E17,0.316228,$k_{S}$,0.003976056619907061,10483.86930553148
HCC1395,E17,0.316228,$k_{G2}$,0.017469183934857503,10483.86930553148
HCC1395,E17,0.316228,$k_{M}$,0.009467147037400207,10483.86930553148
HCC1395,E17,0.316228,$k_{G1}$,1e-07,10483.86930553148
HCC1395,E17,0.316228,$k_{\phi}$,0.004173965127759484,10483.86930553148
HCC1395,E17,0.000316,$k_{S}$,0.023147231374652823,8.140691261396486e-11
HCC1395,E17,0.000316,$k_{G2}$,0.045682829946809986,8.140691261396486e-11
HCC1395,E17,0.000316,$k_{M}$,0.048999981734930746,8.140691261396486e-11
HCC1395,E17,0.000316,$k_{G1}$,0.15895614280808118,8.140691261396486e-11
HCC1395,E17,0.000316,$k_{\phi}$,0.0008844255056938165,8.140691261396486e-11
HCC1395,E17,0.0001,$k_{S}$,0.027147275190255976,1.3868997584213597e-10
HCC1395,E17,0.0001,$k_{G2}$,0.0456048741197075,1.3868997584213597e-10
HCC1395,E17,0.0001,$k_{M}$,0.04553489531386406,1.3868997584213597e-10
HCC1395,E17,0.0001,$k_{G1}$,0.1956271492786493,1.3868997584213597e-10
HCC1395,E17,0.0001,$k_{\phi}$,0.0010613507557814719,1.3868997584213597e-10
HCC1395,E17,0.003162,$k_{S}$,0.007620689241323045,3.834377443388556e-11
HCC1395,E17,0.003162,$k_{G2}$,0.017320795110083363,3.834377443388556e-11
HCC1395,E17,0.003162,$k_{M}$,0.013851529951227766,3.834377443388556e-11
HCC1395,E17,0.003162,$k_{G1}$,0.027975413490961335,3.834377443388556e-11
HCC1395,E17,0.003162,$k_{\phi}$,0.0013112601445078474,3.834377443388556e-11
HCC1395,E17,0.01,$k_{S}$,0.004488037170668058,10514.41915633987
HCC1395,E17,0.01,$k_{G2}$,0.018819119550579126,10514.41915633987
HCC1395,E17,0.01,$k_{M}$,0.008425961460123844,10514.41915633987
HCC1395,E17,0.01,$k_{G1}$,1e-07,10514.41915633987
HCC1395,E17,0.01,$k_{\phi}$,0.002860099685927793,10514.41915633987
HCC1395,E17,0.1,$k_{S}$,0.004245038490717637,15119.801450346637
HCC1395,E17,0.1,$k_{G2}$,0.0166612257620683,15119.801450346637
HCC1395,E17,0.1,$k_{M}$,0.009404934921965834,15119.801450346637
HCC1395,E17,0.1,$k_{G1}$,1e-07,15119.801450346637
HCC1395,E17,0.1,$k_{\phi}$,0.0030180643054602955,15119.801450346637
HCC1395,E17,1.0,$k_{S}$,0.004596122333469475,7090.3284389282435
HCC1395,E17,1.0,$k_{G2}$,0.013621220601506362,7090.3284389282435
HCC1395,E17,1.0,$k_{M}$,0.011065859281278484,7090.3284389282435
HCC1395,E17,1.0,$k_{G1}$,1e-07,7090.3284389282435
HCC1395,E17,1.0,$k_{\phi}$,0.004365682914107469,7090.3284389282435
