cell_line,agent,concentration,parameter,rate,obj_func
HCC1419,BSJ-03-124,0.316228,$k_{S}$,0.02840272467505271,8.244609198521308e-11
HCC1419,BSJ-03-124,0.316228,$k_{G2}$,0.12261779452168373,8.244609198521308e-11
HCC1419,BSJ-03-124,0.316228,$k_{M}$,0.0697179737108215,8.244609198521308e-11
HCC1419,BSJ-03-124,0.316228,$k_{G1}$,0.3835463518135221,8.244609198521308e-11
HCC1419,BSJ-03-124,0.316228,$k_{\phi}$,0.000612295212975222,8.244609198521308e-11
HCC1419,BSJ-03-124,0.031623,$k_{S}$,0.03424210657052823,1.4776674967525292e-10
HCC1419,BSJ-03-124,0.031623,$k_{G2}$,0.09356072540854798,1.4776674967525292e-10
HCC1419,BSJ-03-124,0.031623,$k_{M}$,0.05940756572122401,1.4776674967525292e-10
HCC1419,BSJ-03-124,0.031623,$k_{G1}$,0.2352341501597549,1.4776674967525292e-10
HCC1419,BSJ-03-124,0.031623,$k_{\phi}$,0.00024131991113749646,1.4776674967525292e-10
HCC1419,BSJ-03-124,0.003162,$k_{S}$,0.039793028958013926,2.182956750766537e-10
HCC1419,BSJ-03-124,0.003162,$k_{G2}$,0.12893185495386472,2.182956750766537e-10
HCC1419,BSJ-03-124,0.003162,$k_{M}$,0.06414542139506248,2.182956750766537e-10
HCC1419,BSJ-03-124,0.003162,$k_{G1}$,0.3987241006741372,2.182956750766537e-10
HCC1419,BSJ-03-124,0.003162,$k_{\phi}$,0.00044373095808593213,2.182956750766537e-10
HCC1419,BSJ-03-124,0.01,$k_{S}$,0.03925986354861481,1.2103203024481945e-10
HCC1419,BSJ-03-124,0.01,$k_{G2}$,0.12192374518874162,1.2103203024481945e-10
HCC1419,BSJ-03-124,0.01,$k_{M}$,0.06786159940248947,1.2103203024481945e-10
HCC1419,BSJ-03-124,0.01,$k_{G1}$,0.3767821825723899,1.2103203024481945e-10
HCC1419,BSJ-03-124,0.01,$k_{\phi}$,0.00040963908646293387,1.2103203024481945e-10
HCC1419,BSJ-03-124,1.0,$k_{S}$,0.016175987780281006,9.508665593593668e-11
HCC1419,BSJ-03-124,1.0,$k_{G2}$,0.10771637315142342,9.508665593593668e-11
HCC1419,BSJ-03-124,1.0,$k_{M}$,0.049968878357223336,9.508665593593668e-11
HCC1419,BSJ-03-124,1.0,$k_{G1}$,0.21159030393322528,9.508665593593668e-11
HCC1419,BSJ-03-124,1.0,$k_{\phi}$,0.0008328555869849291,9.508665593593668e-11
HCC1419,BSJ-03-124,10.0,$k_{S}$,0.020887523792962562,5.181861829265532e-11
HCC1419,BSJ-03-124,10.0,$k_{G2}$,0.17840226209072077,5.181861829265532e-11
HCC1419,BSJ-03-124,10.0,$k_{M}$,0.06386230025740997,5.181861829265532e-11
HCC1419,BSJ-03-124,10.0,$k_{G1}$,0.12057020268378255,5.181861829265532e-11
HCC1419,BSJ-03-124,10.0,$k_{\phi}$,0.0011056131612731833,5.181861829265532e-11
HCC1419,BSJ-03-124,3.162278,$k_{S}$,0.019156237719756462,3.988646137460598e-10
HCC1419,BSJ-03-124,3.162278,$k_{G2}$,1.4229586477284413,3.988646137460598e-10
HCC1419,BSJ-03-124,3.162278,$k_{M}$,0.06684992641403371,3.988646137460598e-10
HCC1419,BSJ-03-124,3.162278,$k_{G1}$,0.39459632694351976,3.988646137460598e-10
HCC1419,BSJ-03-124,3.162278,$k_{\phi}$,0.0003315911917798899,3.988646137460598e-10
HCC1419,BSJ-03-124,0.001,$k_{S}$,0.04036598743064739,2.1605097543480909e-10
HCC1419,BSJ-03-124,0.001,$k_{G2}$,0.11630531209967261,2.1605097543480909e-10
HCC1419,BSJ-03-124,0.001,$k_{M}$,0.0644794414010652,2.1605097543480909e-10
HCC1419,BSJ-03-124,0.001,$k_{G1}$,0.3286001011790765,2.1605097543480909e-10
HCC1419,BSJ-03-124,0.001,$k_{\phi}$,0.0006550109521648044,2.1605097543480909e-10
HCC1419,BSJ-03-124,0.1,$k_{S}$,0.03503060415950156,5.541922559179908e-11
HCC1419,BSJ-03-124,0.1,$k_{G2}$,0.10510799739112867,5.541922559179908e-11
HCC1419,BSJ-03-124,0.1,$k_{M}$,0.07025067060539877,5.541922559179908e-11
HCC1419,BSJ-03-124,0.1,$k_{G1}$,0.2412016099391894,5.541922559179908e-11
HCC1419,BSJ-03-124,0.1,$k_{\phi}$,0.0009867122105053582,5.541922559179908e-11
