cell_line,agent,concentration,parameter,rate,obj_func
HCC1419,R0-3306,10.0,$k_{S}$,0.01604677161593676,4.497169257247469e-11
HCC1419,R0-3306,10.0,$k_{G2}$,0.10319564778640435,4.497169257247469e-11
HCC1419,R0-3306,10.0,$k_{M}$,0.05933112859158134,4.497169257247469e-11
HCC1419,R0-3306,10.0,$k_{G1}$,0.0886427594291074,4.497169257247469e-11
HCC1419,R0-3306,10.0,$k_{\phi}$,0.0015694590862758528,4.497169257247469e-11
HCC1419,R0-3306,0.031623,$k_{S}$,0.04622540438772061,6.263254030682555e-10
HCC1419,R0-3306,0.031623,$k_{G2}$,0.13367140910815234,6.263254030682555e-10
HCC1419,R0-3306,0.031623,$k_{M}$,0.08214088670422869,6.263254030682555e-10
HCC1419,R0-3306,0.031623,$k_{G1}$,0.7861113342417584,6.263254030682555e-10
HCC1419,R0-3306,0.031623,$k_{\phi}$,0.0003933122328389165,6.263254030682555e-10
HCC1419,R0-3306,0.01,$k_{S}$,0.044413613332838116,3.7285871857333526e-10
HCC1419,R0-3306,0.01,$k_{G2}$,0.11009846202250173,3.7285871857333526e-10
HCC1419,R0-3306,0.01,$k_{M}$,0.07049343990929742,3.7285871857333526e-10
HCC1419,R0-3306,0.01,$k_{G1}$,0.5271918263487823,3.7285871857333526e-10
HCC1419,R0-3306,0.01,$k_{\phi}$,0.0003743243793907648,3.7285871857333526e-10
HCC1419,R0-3306,0.003162,$k_{S}$,0.04297315603428679,3.1759577578343146e-10
HCC1419,R0-3306,0.003162,$k_{G2}$,0.111330290738314,3.1759577578343146e-10
HCC1419,R0-3306,0.003162,$k_{M}$,0.07165497893371128,3.1759577578343146e-10
HCC1419,R0-3306,0.003162,$k_{G1}$,0.7254682440639145,3.1759577578343146e-10
HCC1419,R0-3306,0.003162,$k_{\phi}$,0.00035816855350012027,3.1759577578343146e-10
HCC1419,R0-3306,1.0,$k_{S}$,0.046496242295419966,6.929926788909126e-10
HCC1419,R0-3306,1.0,$k_{G2}$,0.11690474392636782,6.929926788909126e-10
HCC1419,R0-3306,1.0,$k_{M}$,0.08017375950491835,6.929926788909126e-10
HCC1419,R0-3306,1.0,$k_{G1}$,0.8316822050280008,6.929926788909126e-10
HCC1419,R0-3306,1.0,$k_{\phi}$,0.0003449031004572182,6.929926788909126e-10
HCC1419,R0-3306,0.316228,$k_{S}$,0.045461093469802524,3.6079734848063183e-10
HCC1419,R0-3306,0.316228,$k_{G2}$,0.10966045702467953,3.6079734848063183e-10
HCC1419,R0-3306,0.316228,$k_{M}$,0.07930770029344714,3.6079734848063183e-10
HCC1419,R0-3306,0.316228,$k_{G1}$,0.504388686119099,3.6079734848063183e-10
HCC1419,R0-3306,0.316228,$k_{\phi}$,0.00045837918328336046,3.6079734848063183e-10
HCC1419,R0-3306,0.1,$k_{S}$,0.04714379601545192,2.2634592502583923e-05
HCC1419,R0-3306,0.1,$k_{G2}$,0.1392009817967116,2.2634592502583923e-05
HCC1419,R0-3306,0.1,$k_{M}$,0.08147875110938055,2.2634592502583923e-05
HCC1419,R0-3306,0.1,$k_{G1}$,0.9989379786773842,2.2634592502583923e-05
HCC1419,R0-3306,0.1,$k_{\phi}$,0.0004574877701460094,2.2634592502583923e-05
HCC1419,R0-3306,0.001,$k_{S}$,0.043801275168177146,5.944460926284136e-10
HCC1419,R0-3306,0.001,$k_{G2}$,0.11905424357526977,5.944460926284136e-10
HCC1419,R0-3306,0.001,$k_{M}$,0.07520769104736674,5.944460926284136e-10
HCC1419,R0-3306,0.001,$k_{G1}$,0.8852440201669851,5.944460926284136e-10
HCC1419,R0-3306,0.001,$k_{\phi}$,0.0003348368827279272,5.944460926284136e-10
HCC1419,R0-3306,3.162278,$k_{S}$,0.04900513999602969,6.741124332664225e-10
HCC1419,R0-3306,3.162278,$k_{G2}$,0.11995302102838133,6.741124332664225e-10
HCC1419,R0-3306,3.162278,$k_{M}$,0.08304061498886715,6.741124332664225e-10
HCC1419,R0-3306,3.162278,$k_{G1}$,0.7621232828534417,6.741124332664225e-10
HCC1419,R0-3306,3.162278,$k_{\phi}$,0.00034264547392773114,6.741124332664225e-10
