cell_line,agent,concentration,parameter,rate,obj_func
HCC1806,BMS-265246,10.0,$k_{S}$,0.018866334315420407,12141.292372051821
HCC1806,BMS-265246,10.0,$k_{G2}$,0.014406173500664123,12141.292372051821
HCC1806,BMS-265246,10.0,$k_{M}$,0.003177019229215265,12141.292372051821
HCC1806,BMS-265246,10.0,$k_{G1}$,1e-07,12141.292372051821
HCC1806,BMS-265246,10.0,$k_{\phi}$,0.007810828245194457,12141.292372051821
HCC1806,BMS-265246,0.003162,$k_{S}$,0.1313299868663282,2.910531133893265e-09
HCC1806,BMS-265246,0.003162,$k_{G2}$,0.05577603794038875,2.910531133893265e-09
HCC1806,BMS-265246,0.003162,$k_{M}$,0.17919926492274685,2.910531133893265e-09
HCC1806,BMS-265246,0.003162,$k_{G1}$,0.595196268091881,2.910531133893265e-09
HCC1806,BMS-265246,0.003162,$k_{\phi}$,0.0004643929819200502,2.910531133893265e-09
HCC1806,BMS-265246,0.001,$k_{S}$,0.1321605140261139,5.277757162152372e-09
HCC1806,BMS-265246,0.001,$k_{G2}$,0.05431166122350881,5.277757162152372e-09
HCC1806,BMS-265246,0.001,$k_{M}$,0.17826105224477226,5.277757162152372e-09
HCC1806,BMS-265246,0.001,$k_{G1}$,0.6031350230158704,5.277757162152372e-09
HCC1806,BMS-265246,0.001,$k_{\phi}$,0.0004338047354703156,5.277757162152372e-09
HCC1806,BMS-265246,1.0,$k_{S}$,0.0691888122625255,3.736127021607961e-10
HCC1806,BMS-265246,1.0,$k_{G2}$,0.036871370001968246,3.736127021607961e-10
HCC1806,BMS-265246,1.0,$k_{M}$,0.0541779618201105,3.736127021607961e-10
HCC1806,BMS-265246,1.0,$k_{G1}$,0.23334544300784846,3.736127021607961e-10
HCC1806,BMS-265246,1.0,$k_{\phi}$,0.0015691959426645885,3.736127021607961e-10
HCC1806,BMS-265246,3.162278,$k_{S}$,0.007186255996527116,1.929512957719133e-10
HCC1806,BMS-265246,3.162278,$k_{G2}$,0.00998995502868899,1.929512957719133e-10
HCC1806,BMS-265246,3.162278,$k_{M}$,0.002711166439607274,1.929512957719133e-10
HCC1806,BMS-265246,3.162278,$k_{G1}$,0.009406574221968571,1.929512957719133e-10
HCC1806,BMS-265246,3.162278,$k_{\phi}$,0.006020941676341003,1.929512957719133e-10
HCC1806,BMS-265246,0.316228,$k_{S}$,0.08968434853247095,1.1951072066651037e-09
HCC1806,BMS-265246,0.316228,$k_{G2}$,0.044539207945576254,1.1951072066651037e-09
HCC1806,BMS-265246,0.316228,$k_{M}$,0.0805890263435186,1.1951072066651037e-09
HCC1806,BMS-265246,0.316228,$k_{G1}$,0.3367121211990448,1.1951072066651037e-09
HCC1806,BMS-265246,0.316228,$k_{\phi}$,0.001172742891776429,1.1951072066651037e-09
HCC1806,BMS-265246,0.031623,$k_{S}$,0.11610433264952953,2.8008062239121826e-09
HCC1806,BMS-265246,0.031623,$k_{G2}$,0.0533915552214205,2.8008062239121826e-09
HCC1806,BMS-265246,0.031623,$k_{M}$,0.13349264019005455,2.8008062239121826e-09
HCC1806,BMS-265246,0.031623,$k_{G1}$,0.5135921516517004,2.8008062239121826e-09
HCC1806,BMS-265246,0.031623,$k_{\phi}$,0.0006139356340060831,2.8008062239121826e-09
HCC1806,BMS-265246,0.01,$k_{S}$,0.12703497622525822,1.5174034682529111e-09
HCC1806,BMS-265246,0.01,$k_{G2}$,0.05447023450565583,1.5174034682529111e-09
HCC1806,BMS-265246,0.01,$k_{M}$,0.14722172543130027,1.5174034682529111e-09
HCC1806,BMS-265246,0.01,$k_{G1}$,0.5404273121990466,1.5174034682529111e-09
HCC1806,BMS-265246,0.01,$k_{\phi}$,0.0004977558474012584,1.5174034682529111e-09
HCC1806,BMS-265246,0.1,$k_{S}$,0.10110918795051885,1.2397289582102849e-09
HCC1806,BMS-265246,0.1,$k_{G2}$,0.0464494009463664,1.2397289582102849e-09
HCC1806,BMS-265246,0.1,$k_{M}$,0.14460114989875947,1.2397289582102849e-09
HCC1806,BMS-265246,0.1,$k_{G1}$,0.46300292796024156,1.2397289582102849e-09
HCC1806,BMS-265246,0.1,$k_{\phi}$,0.0004981769361888403,1.2397289582102849e-09
