cell_line,agent,concentration,parameter,rate,obj_func
HCC1806,senexinb,0.031623,$k_{S}$,0.186782021524806,1.7144145759787092e-08
HCC1806,senexinb,0.031623,$k_{G2}$,0.051154799024018996,1.7144145759787092e-08
HCC1806,senexinb,0.031623,$k_{M}$,0.2085379501711044,1.7144145759787092e-08
HCC1806,senexinb,0.031623,$k_{G1}$,0.9716774431662881,1.7144145759787092e-08
HCC1806,senexinb,0.031623,$k_{\phi}$,0.0005392526772904563,1.7144145759787092e-08
HCC1806,senexinb,0.003162,$k_{S}$,0.18967922253090755,1.5609044029180846e-08
HCC1806,senexinb,0.003162,$k_{G2}$,0.05110098636623891,1.5609044029180846e-08
HCC1806,senexinb,0.003162,$k_{M}$,0.21234305749702792,1.5609044029180846e-08
HCC1806,senexinb,0.003162,$k_{G1}$,0.71627028149596,1.5609044029180846e-08
HCC1806,senexinb,0.003162,$k_{\phi}$,0.00042955376275689237,1.5609044029180846e-08
HCC1806,senexinb,3.162278,$k_{S}$,0.1467230663775282,3.571181679828517e-09
HCC1806,senexinb,3.162278,$k_{G2}$,0.049639166173212464,3.571181679828517e-09
HCC1806,senexinb,3.162278,$k_{M}$,0.1907649572967469,3.571181679828517e-09
HCC1806,senexinb,3.162278,$k_{G1}$,0.5898034683043061,3.571181679828517e-09
HCC1806,senexinb,3.162278,$k_{\phi}$,0.0003920947305272523,3.571181679828517e-09
HCC1806,senexinb,1.0,$k_{S}$,0.15824613913624241,9.243020406290959e-09
HCC1806,senexinb,1.0,$k_{G2}$,0.05035467197236382,9.243020406290959e-09
HCC1806,senexinb,1.0,$k_{M}$,0.21542151163755885,9.243020406290959e-09
HCC1806,senexinb,1.0,$k_{G1}$,0.6167368763553382,9.243020406290959e-09
HCC1806,senexinb,1.0,$k_{\phi}$,0.0003832664544843651,9.243020406290959e-09
HCC1806,senexinb,0.001,$k_{S}$,0.19561885270117682,1.875047185626512e-08
HCC1806,senexinb,0.001,$k_{G2}$,0.056966381808049166,1.875047185626512e-08
HCC1806,senexinb,0.001,$k_{M}$,0.22984252569811744,1.875047185626512e-08
HCC1806,senexinb,0.001,$k_{G1}$,0.7389068280897616,1.875047185626512e-08
HCC1806,senexinb,0.001,$k_{\phi}$,0.0004929970378678297,1.875047185626512e-08
HCC1806,senexinb,10.0,$k_{S}$,0.13336266305189579,7.0250685771665895e-09
HCC1806,senexinb,10.0,$k_{G2}$,0.05156000888245466,7.0250685771665895e-09
HCC1806,senexinb,10.0,$k_{M}$,0.20087699782546847,7.0250685771665895e-09
HCC1806,senexinb,10.0,$k_{G1}$,0.6245518887717554,7.0250685771665895e-09
HCC1806,senexinb,10.0,$k_{\phi}$,0.00038213698209692054,7.0250685771665895e-09
HCC1806,senexinb,0.1,$k_{S}$,0.16988784562651257,2.8951117162510133e-09
HCC1806,senexinb,0.1,$k_{G2}$,0.051563072685004645,2.8951117162510133e-09
HCC1806,senexinb,0.1,$k_{M}$,0.20787916269951914,2.8951117162510133e-09
HCC1806,senexinb,0.1,$k_{G1}$,0.6013864394631891,2.8951117162510133e-09
HCC1806,senexinb,0.1,$k_{\phi}$,0.00048043550689304493,2.8951117162510133e-09
HCC1806,senexinb,0.01,$k_{S}$,0.17869425909384998,8.832143098009698e-09
HCC1806,senexinb,0.01,$k_{G2}$,0.05151971734722417,8.832143098009698e-09
HCC1806,senexinb,0.01,$k_{M}$,0.2135524114828656,8.832143098009698e-09
HCC1806,senexinb,0.01,$k_{G1}$,0.6704155060598381,8.832143098009698e-09
HCC1806,senexinb,0.01,$k_{\phi}$,0.00046684086790017035,8.832143098009698e-09
HCC1806,senexinb,0.316228,$k_{S}$,0.17099102121443802,4.079164348508614e-09
HCC1806,senexinb,0.316228,$k_{G2}$,0.05138973899903152,4.079164348508614e-09
HCC1806,senexinb,0.316228,$k_{M}$,0.21333644887092537,4.079164348508614e-09
HCC1806,senexinb,0.316228,$k_{G1}$,0.6901263512520188,4.079164348508614e-09
HCC1806,senexinb,0.316228,$k_{\phi}$,0.00041270744395300945,4.079164348508614e-09
