cell_line,agent,concentration,parameter,rate,obj_func
HCC38,Flavopiridol,0.001,$k_{S}$,0.03324201491515281,9.74461231021296e-10
HCC38,Flavopiridol,0.001,$k_{G2}$,0.08993994277066841,9.74461231021296e-10
HCC38,Flavopiridol,0.001,$k_{M}$,0.20989339494356848,9.74461231021296e-10
HCC38,Flavopiridol,0.001,$k_{G1}$,1.2643182893362555,9.74461231021296e-10
HCC38,Flavopiridol,0.001,$k_{\phi}$,0.0005647659653144874,9.74461231021296e-10
HCC38,Flavopiridol,0.000316,$k_{S}$,0.03247926621754666,9.14737995444047e-10
HCC38,Flavopiridol,0.000316,$k_{G2}$,0.0847191280103716,9.14737995444047e-10
HCC38,Flavopiridol,0.000316,$k_{M}$,0.18951307785136226,9.14737995444047e-10
HCC38,Flavopiridol,0.000316,$k_{G1}$,1.1258686243014042,9.14737995444047e-10
HCC38,Flavopiridol,0.000316,$k_{\phi}$,0.0005334454310197657,9.14737995444047e-10
HCC38,Flavopiridol,0.01,$k_{S}$,0.03631670418037662,4.1923611144470003e-10
HCC38,Flavopiridol,0.01,$k_{G2}$,0.08345171115143105,4.1923611144470003e-10
HCC38,Flavopiridol,0.01,$k_{M}$,0.17712364777573808,4.1923611144470003e-10
HCC38,Flavopiridol,0.01,$k_{G1}$,0.9281461899544261,4.1923611144470003e-10
HCC38,Flavopiridol,0.01,$k_{\phi}$,0.0008686456164918933,4.1923611144470003e-10
HCC38,Flavopiridol,0.1,$k_{S}$,0.031036768478295874,2.1514848570818158e-10
HCC38,Flavopiridol,0.1,$k_{G2}$,0.05152366192951139,2.1514848570818158e-10
HCC38,Flavopiridol,0.1,$k_{M}$,0.09599253467369481,2.1514848570818158e-10
HCC38,Flavopiridol,0.1,$k_{G1}$,0.6472995537413657,2.1514848570818158e-10
HCC38,Flavopiridol,0.1,$k_{\phi}$,0.000539491827657676,2.1514848570818158e-10
HCC38,Flavopiridol,0.031623,$k_{S}$,0.03813630876590074,3.1345415415631774e-10
HCC38,Flavopiridol,0.031623,$k_{G2}$,0.07017464651226867,3.1345415415631774e-10
HCC38,Flavopiridol,0.031623,$k_{M}$,0.14091902446132426,3.1345415415631774e-10
HCC38,Flavopiridol,0.031623,$k_{G1}$,1.022389772341813,3.1345415415631774e-10
HCC38,Flavopiridol,0.031623,$k_{\phi}$,0.0006658585204137485,3.1345415415631774e-10
HCC38,Flavopiridol,1.0,$k_{S}$,0.004977133317098652,18538.434785931717
HCC38,Flavopiridol,1.0,$k_{G2}$,0.02588193399744876,18538.434785931717
HCC38,Flavopiridol,1.0,$k_{M}$,0.011203363677293297,18538.434785931717
HCC38,Flavopiridol,1.0,$k_{G1}$,1e-07,18538.434785931717
HCC38,Flavopiridol,1.0,$k_{\phi}$,0.004825335667184371,18538.434785931717
HCC38,Flavopiridol,0.003162,$k_{S}$,0.03167558673662474,6.662493724967372e-10
HCC38,Flavopiridol,0.003162,$k_{G2}$,0.08215698893867936,6.662493724967372e-10
HCC38,Flavopiridol,0.003162,$k_{M}$,0.18090033993799198,6.662493724967372e-10
HCC38,Flavopiridol,0.003162,$k_{G1}$,1.2883620716160096,6.662493724967372e-10
HCC38,Flavopiridol,0.003162,$k_{\phi}$,0.000680339628257168,6.662493724967372e-10
HCC38,Flavopiridol,0.316228,$k_{S}$,0.02137556325778074,1.329009061574676e-10
HCC38,Flavopiridol,0.316228,$k_{G2}$,0.02674639442838595,1.329009061574676e-10
HCC38,Flavopiridol,0.316228,$k_{M}$,0.03113881454493756,1.329009061574676e-10
HCC38,Flavopiridol,0.316228,$k_{G1}$,0.1368795844290454,1.329009061574676e-10
HCC38,Flavopiridol,0.316228,$k_{\phi}$,0.0016860657929734667,1.329009061574676e-10
HCC38,Flavopiridol,0.0001,$k_{S}$,0.032543024402735564,3.1439501745339484e-10
HCC38,Flavopiridol,0.0001,$k_{G2}$,0.1039047699278247,3.1439501745339484e-10
HCC38,Flavopiridol,0.0001,$k_{M}$,0.20368971822215703,3.1439501745339484e-10
HCC38,Flavopiridol,0.0001,$k_{G1}$,1.6802984300329944,3.1439501745339484e-10
HCC38,Flavopiridol,0.0001,$k_{\phi}$,0.0006114011977601001,3.1439501745339484e-10
