cell_line,agent,concentration,parameter,rate,obj_func
HCC38,THZ1,0.000316,$k_{S}$,0.03222156008373827,3.27861371926297e-10
HCC38,THZ1,0.000316,$k_{G2}$,0.099922749739793,3.27861371926297e-10
HCC38,THZ1,0.000316,$k_{M}$,0.20655649238320362,3.27861371926297e-10
HCC38,THZ1,0.000316,$k_{G1}$,1.0299269038121426,3.27861371926297e-10
HCC38,THZ1,0.000316,$k_{\phi}$,0.0006466021720286945,3.27861371926297e-10
HCC38,THZ1,0.001,$k_{S}$,0.03271771980136006,8.228428562090579e-10
HCC38,THZ1,0.001,$k_{G2}$,0.09979965676992775,8.228428562090579e-10
HCC38,THZ1,0.001,$k_{M}$,0.2192289237754334,8.228428562090579e-10
HCC38,THZ1,0.001,$k_{G1}$,1.145347742062993,8.228428562090579e-10
HCC38,THZ1,0.001,$k_{\phi}$,0.0004806375276200728,8.228428562090579e-10
HCC38,THZ1,1.0,$k_{S}$,0.007142886655500093,33749.23585758373
HCC38,THZ1,1.0,$k_{G2}$,0.022978117909895523,33749.23585758373
HCC38,THZ1,1.0,$k_{M}$,0.01350041700564006,33749.23585758373
HCC38,THZ1,1.0,$k_{G1}$,1e-07,33749.23585758373
HCC38,THZ1,1.0,$k_{\phi}$,0.004888164420940449,33749.23585758373
HCC38,THZ1,0.003162,$k_{S}$,0.03077239130739707,8.559864991068925e-10
HCC38,THZ1,0.003162,$k_{G2}$,0.08357542338473191,8.559864991068925e-10
HCC38,THZ1,0.003162,$k_{M}$,0.20178913563591783,8.559864991068925e-10
HCC38,THZ1,0.003162,$k_{G1}$,1.3433712036088596,8.559864991068925e-10
HCC38,THZ1,0.003162,$k_{\phi}$,0.0004923187696824222,8.559864991068925e-10
HCC38,THZ1,0.0001,$k_{S}$,0.036796899109156206,1.6877817100867205e-09
HCC38,THZ1,0.0001,$k_{G2}$,0.09112236552847296,1.6877817100867205e-09
HCC38,THZ1,0.0001,$k_{M}$,0.20050774251353734,1.6877817100867205e-09
HCC38,THZ1,0.0001,$k_{G1}$,1.3009558628961306,1.6877817100867205e-09
HCC38,THZ1,0.0001,$k_{\phi}$,0.0006107084963702956,1.6877817100867205e-09
HCC38,THZ1,0.316228,$k_{S}$,0.006544539865841886,19692.489105254193
HCC38,THZ1,0.316228,$k_{G2}$,0.03156996638590244,19692.489105254193
HCC38,THZ1,0.316228,$k_{M}$,0.009886030851521696,19692.489105254193
HCC38,THZ1,0.316228,$k_{G1}$,1e-07,19692.489105254193
HCC38,THZ1,0.316228,$k_{\phi}$,0.0032876044433608133,19692.489105254193
HCC38,THZ1,0.1,$k_{S}$,0.006091688402898432,7178.550309649625
HCC38,THZ1,0.1,$k_{G2}$,0.022392958885262167,7178.550309649625
HCC38,THZ1,0.1,$k_{M}$,0.006909243895651372,7178.550309649625
HCC38,THZ1,0.1,$k_{G1}$,1e-07,7178.550309649625
HCC38,THZ1,0.1,$k_{\phi}$,0.002908287963036082,7178.550309649625
HCC38,THZ1,0.01,$k_{S}$,0.026245606377269623,3.6475875349597185e-10
HCC38,THZ1,0.01,$k_{G2}$,0.0803801223965252,3.6475875349597185e-10
HCC38,THZ1,0.01,$k_{M}$,0.15721533058155004,3.6475875349597185e-10
HCC38,THZ1,0.01,$k_{G1}$,1.1114901094837781,3.6475875349597185e-10
HCC38,THZ1,0.01,$k_{\phi}$,0.0006455633919453747,3.6475875349597185e-10
HCC38,THZ1,0.031623,$k_{S}$,0.019703536030653425,2.1059529097732846e-10
HCC38,THZ1,0.031623,$k_{G2}$,0.05933000745821641,2.1059529097732846e-10
HCC38,THZ1,0.031623,$k_{M}$,0.07079222140858145,2.1059529097732846e-10
HCC38,THZ1,0.031623,$k_{G1}$,1.379297283863673,2.1059529097732846e-10
HCC38,THZ1,0.031623,$k_{\phi}$,0.001014468053066131,2.1059529097732846e-10
