cell_line,agent,concentration,parameter,rate,obj_func
HCC38,YKL-5-124,3.162278,$k_{S}$,0.0007203875791638224,928.0756629478598
HCC38,YKL-5-124,3.162278,$k_{G2}$,0.01618452701509141,928.0756629478598
HCC38,YKL-5-124,3.162278,$k_{M}$,0.0007178159675691098,928.0756629478598
HCC38,YKL-5-124,3.162278,$k_{G1}$,1e-07,928.0756629478598
HCC38,YKL-5-124,3.162278,$k_{\phi}$,0.0017842881638786743,928.0756629478598
HCC38,YKL-5-124,0.01,$k_{S}$,0.012431908166436616,7.983689219368984e-11
HCC38,YKL-5-124,0.01,$k_{G2}$,0.035748442895688376,7.983689219368984e-11
HCC38,YKL-5-124,0.01,$k_{M}$,0.04704032607251483,7.983689219368984e-11
HCC38,YKL-5-124,0.01,$k_{G1}$,0.5361046184717427,7.983689219368984e-11
HCC38,YKL-5-124,0.01,$k_{\phi}$,0.0014788427994651535,7.983689219368984e-11
HCC38,YKL-5-124,10.0,$k_{S}$,0.004399251937541786,13916.732441959914
HCC38,YKL-5-124,10.0,$k_{G2}$,0.015971745706840103,13916.732441959914
HCC38,YKL-5-124,10.0,$k_{M}$,0.009169508214144043,13916.732441959914
HCC38,YKL-5-124,10.0,$k_{G1}$,1e-07,13916.732441959914
HCC38,YKL-5-124,10.0,$k_{\phi}$,0.0040596133253627065,13916.732441959914
HCC38,YKL-5-124,0.1,$k_{S}$,0.005684030459678234,1.0080922285332986e-10
HCC38,YKL-5-124,0.1,$k_{G2}$,0.027281983302910838,1.0080922285332986e-10
HCC38,YKL-5-124,0.1,$k_{M}$,0.024746705372657943,1.0080922285332986e-10
HCC38,YKL-5-124,0.1,$k_{G1}$,0.13280210418468938,1.0080922285332986e-10
HCC38,YKL-5-124,0.1,$k_{\phi}$,0.0016429362129839933,1.0080922285332986e-10
HCC38,YKL-5-124,0.316228,$k_{S}$,0.0036683084085216903,3.4604992937822167e-11
HCC38,YKL-5-124,0.316228,$k_{G2}$,0.023445790111068687,3.4604992937822167e-11
HCC38,YKL-5-124,0.316228,$k_{M}$,0.016884624757412505,3.4604992937822167e-11
HCC38,YKL-5-124,0.316228,$k_{G1}$,0.09534852520157085,3.4604992937822167e-11
HCC38,YKL-5-124,0.316228,$k_{\phi}$,0.0023614215050426777,3.4604992937822167e-11
HCC38,YKL-5-124,0.001,$k_{S}$,0.01902161324500043,1.6564382017165605e-10
HCC38,YKL-5-124,0.001,$k_{G2}$,0.052329942784274296,1.6564382017165605e-10
HCC38,YKL-5-124,0.001,$k_{M}$,0.10599830423357909,1.6564382017165605e-10
HCC38,YKL-5-124,0.001,$k_{G1}$,0.8557828476111391,1.6564382017165605e-10
HCC38,YKL-5-124,0.001,$k_{\phi}$,0.0011076189338814454,1.6564382017165605e-10
HCC38,YKL-5-124,0.003162,$k_{S}$,0.017265850178760932,5.254958593699981e-11
HCC38,YKL-5-124,0.003162,$k_{G2}$,0.03939478951234977,5.254958593699981e-11
HCC38,YKL-5-124,0.003162,$k_{M}$,0.06061676894042008,5.254958593699981e-11
HCC38,YKL-5-124,0.003162,$k_{G1}$,0.29708822975177684,5.254958593699981e-11
HCC38,YKL-5-124,0.003162,$k_{\phi}$,0.0016661607263954881,5.254958593699981e-11
HCC38,YKL-5-124,0.031623,$k_{S}$,0.006067702841545642,9.383400481888931e-11
HCC38,YKL-5-124,0.031623,$k_{G2}$,0.02571343999600683,9.383400481888931e-11
HCC38,YKL-5-124,0.031623,$k_{M}$,0.027941379429414485,9.383400481888931e-11
HCC38,YKL-5-124,0.031623,$k_{G1}$,0.1559213098417327,9.383400481888931e-11
HCC38,YKL-5-124,0.031623,$k_{\phi}$,0.0014734881179727642,9.383400481888931e-11
HCC38,YKL-5-124,1.0,$k_{S}$,0.0040727531366797675,1.824164332314707e-11
HCC38,YKL-5-124,1.0,$k_{G2}$,0.02094200112898947,1.824164332314707e-11
HCC38,YKL-5-124,1.0,$k_{M}$,0.011445290819206526,1.824164332314707e-11
HCC38,YKL-5-124,1.0,$k_{G1}$,0.07027210587194756,1.824164332314707e-11
HCC38,YKL-5-124,1.0,$k_{\phi}$,0.0028560355770285923,1.824164332314707e-11
