cell_line,agent,concentration,parameter,rate,obj_func
HCC70,Flavopiridol,1.0,$k_{S}$,0.003616994685870623,579581.8067815109
HCC70,Flavopiridol,1.0,$k_{G2}$,0.01460369755436843,579581.8067815109
HCC70,Flavopiridol,1.0,$k_{M}$,0.01370751130833399,579581.8067815109
HCC70,Flavopiridol,1.0,$k_{G1}$,1e-07,579581.8067815109
HCC70,Flavopiridol,1.0,$k_{\phi}$,0.004679790903508131,579581.8067815109
HCC70,Flavopiridol,0.1,$k_{S}$,0.022332482387830404,1.0242805215360944e-09
HCC70,Flavopiridol,0.1,$k_{G2}$,0.012371774326278347,1.0242805215360944e-09
HCC70,Flavopiridol,0.1,$k_{M}$,0.03367052110579024,1.0242805215360944e-09
HCC70,Flavopiridol,0.1,$k_{G1}$,0.11040184907711736,1.0242805215360944e-09
HCC70,Flavopiridol,0.1,$k_{\phi}$,0.0008583337554831063,1.0242805215360944e-09
HCC70,Flavopiridol,0.003162,$k_{S}$,0.04263625334560866,2.0895435267722312e-09
HCC70,Flavopiridol,0.003162,$k_{G2}$,0.02881847609985062,2.0895435267722312e-09
HCC70,Flavopiridol,0.003162,$k_{M}$,0.09634055916531342,2.0895435267722312e-09
HCC70,Flavopiridol,0.003162,$k_{G1}$,0.48949929543590137,2.0895435267722312e-09
HCC70,Flavopiridol,0.003162,$k_{\phi}$,0.0005050331010442212,2.0895435267722312e-09
HCC70,Flavopiridol,0.001,$k_{S}$,0.04207675464193523,2.233542533077048e-09
HCC70,Flavopiridol,0.001,$k_{G2}$,0.028186805182997952,2.233542533077048e-09
HCC70,Flavopiridol,0.001,$k_{M}$,0.09414073321151761,2.233542533077048e-09
HCC70,Flavopiridol,0.001,$k_{G1}$,0.3867042765400576,2.233542533077048e-09
HCC70,Flavopiridol,0.001,$k_{\phi}$,0.00035776767158414403,2.233542533077048e-09
HCC70,Flavopiridol,0.316228,$k_{S}$,0.003620239263081094,251324.22266558767
HCC70,Flavopiridol,0.316228,$k_{G2}$,0.013050025145756037,251324.22266558767
HCC70,Flavopiridol,0.316228,$k_{M}$,0.012353208751757619,251324.22266558767
HCC70,Flavopiridol,0.316228,$k_{G1}$,1e-07,251324.22266558767
HCC70,Flavopiridol,0.316228,$k_{\phi}$,0.004490560357307921,251324.22266558767
HCC70,Flavopiridol,0.031623,$k_{S}$,0.03950415841275013,1.8189964134899848e-09
HCC70,Flavopiridol,0.031623,$k_{G2}$,0.02209600679186495,1.8189964134899848e-09
HCC70,Flavopiridol,0.031623,$k_{M}$,0.0772671156603453,1.8189964134899848e-09
HCC70,Flavopiridol,0.031623,$k_{G1}$,0.3231247327485543,1.8189964134899848e-09
HCC70,Flavopiridol,0.031623,$k_{\phi}$,0.000591613861998161,1.8189964134899848e-09
HCC70,Flavopiridol,0.0001,$k_{S}$,0.04023513706453579,1.1131447453996497e-09
HCC70,Flavopiridol,0.0001,$k_{G2}$,0.02854747977311957,1.1131447453996497e-09
HCC70,Flavopiridol,0.0001,$k_{M}$,0.09628676746572831,1.1131447453996497e-09
HCC70,Flavopiridol,0.0001,$k_{G1}$,0.4480423004580114,1.1131447453996497e-09
HCC70,Flavopiridol,0.0001,$k_{\phi}$,0.0004828108044667482,1.1131447453996497e-09
HCC70,Flavopiridol,0.01,$k_{S}$,0.04343488095166587,1.991843551172303e-09
HCC70,Flavopiridol,0.01,$k_{G2}$,0.026918198975538224,1.991843551172303e-09
HCC70,Flavopiridol,0.01,$k_{M}$,0.09783089629308826,1.991843551172303e-09
HCC70,Flavopiridol,0.01,$k_{G1}$,0.40772603088251574,1.991843551172303e-09
HCC70,Flavopiridol,0.01,$k_{\phi}$,0.0005594754920512801,1.991843551172303e-09
HCC70,Flavopiridol,0.000316,$k_{S}$,0.041673120757199984,5.2946840562959505e-05
HCC70,Flavopiridol,0.000316,$k_{G2}$,0.028788563199078653,5.2946840562959505e-05
HCC70,Flavopiridol,0.000316,$k_{M}$,0.1029131612585853,5.2946840562959505e-05
HCC70,Flavopiridol,0.000316,$k_{G1}$,0.4576348854233577,5.2946840562959505e-05
HCC70,Flavopiridol,0.000316,$k_{\phi}$,0.0004287561990376838,5.2946840562959505e-05
