cell_line,agent,concentration,parameter,rate,obj_func
HCC70,LEE011_Ribociclib,0.316228,$k_{S}$,0.04121960242799255,4.256779521536452e-09
HCC70,LEE011_Ribociclib,0.316228,$k_{G2}$,0.028627677945590117,4.256779521536452e-09
HCC70,LEE011_Ribociclib,0.316228,$k_{M}$,0.09264713222225857,4.256779521536452e-09
HCC70,LEE011_Ribociclib,0.316228,$k_{G1}$,0.58670576323729,4.256779521536452e-09
HCC70,LEE011_Ribociclib,0.316228,$k_{\phi}$,0.00039254498115907135,4.256779521536452e-09
HCC70,LEE011_Ribociclib,3.162278,$k_{S}$,0.04010082104072661,2.2483313700249605e-09
HCC70,LEE011_Ribociclib,3.162278,$k_{G2}$,0.030045588617425005,2.2483313700249605e-09
HCC70,LEE011_Ribociclib,3.162278,$k_{M}$,0.09330699836312815,2.2483313700249605e-09
HCC70,LEE011_Ribociclib,3.162278,$k_{G1}$,0.523861605674572,2.2483313700249605e-09
HCC70,LEE011_Ribociclib,3.162278,$k_{\phi}$,0.0003583500474214524,2.2483313700249605e-09
HCC70,LEE011_Ribociclib,0.001,$k_{S}$,0.04125196722241035,2.1910175389983843e-09
HCC70,LEE011_Ribociclib,0.001,$k_{G2}$,0.029475437344005404,2.1910175389983843e-09
HCC70,LEE011_Ribociclib,0.001,$k_{M}$,0.09721933598548656,2.1910175389983843e-09
HCC70,LEE011_Ribociclib,0.001,$k_{G1}$,0.5228732850885636,2.1910175389983843e-09
HCC70,LEE011_Ribociclib,0.001,$k_{\phi}$,0.00046210396997132223,2.1910175389983843e-09
HCC70,LEE011_Ribociclib,0.031623,$k_{S}$,0.0416186611336893,1.6079623010584006e-09
HCC70,LEE011_Ribociclib,0.031623,$k_{G2}$,0.029369129707670378,1.6079623010584006e-09
HCC70,LEE011_Ribociclib,0.031623,$k_{M}$,0.10212880714771408,1.6079623010584006e-09
HCC70,LEE011_Ribociclib,0.031623,$k_{G1}$,0.527995723128025,1.6079623010584006e-09
HCC70,LEE011_Ribociclib,0.031623,$k_{\phi}$,0.0005183639550499936,1.6079623010584006e-09
HCC70,LEE011_Ribociclib,0.1,$k_{S}$,0.04062222462502313,2.1979346221589004e-09
HCC70,LEE011_Ribociclib,0.1,$k_{G2}$,0.029693327338315506,2.1979346221589004e-09
HCC70,LEE011_Ribociclib,0.1,$k_{M}$,0.09990919587228131,2.1979346221589004e-09
HCC70,LEE011_Ribociclib,0.1,$k_{G1}$,0.6082755995977391,2.1979346221589004e-09
HCC70,LEE011_Ribociclib,0.1,$k_{\phi}$,0.0004020603408399848,2.1979346221589004e-09
HCC70,LEE011_Ribociclib,0.01,$k_{S}$,0.03952974002829658,3.7647333848845965e-09
HCC70,LEE011_Ribociclib,0.01,$k_{G2}$,0.02811446037406042,3.7647333848845965e-09
HCC70,LEE011_Ribociclib,0.01,$k_{M}$,0.0959030096979153,3.7647333848845965e-09
HCC70,LEE011_Ribociclib,0.01,$k_{G1}$,0.5211123196921137,3.7647333848845965e-09
HCC70,LEE011_Ribociclib,0.01,$k_{\phi}$,0.00046787715243320387,3.7647333848845965e-09
HCC70,LEE011_Ribociclib,0.003162,$k_{S}$,0.04477694321063563,3.3300024744510195e-09
HCC70,LEE011_Ribociclib,0.003162,$k_{G2}$,0.03035796368313924,3.3300024744510195e-09
HCC70,LEE011_Ribociclib,0.003162,$k_{M}$,0.09692661753568854,3.3300024744510195e-09
HCC70,LEE011_Ribociclib,0.003162,$k_{G1}$,0.8622795585413832,3.3300024744510195e-09
HCC70,LEE011_Ribociclib,0.003162,$k_{\phi}$,0.00040088492585927337,3.3300024744510195e-09
HCC70,LEE011_Ribociclib,10.0,$k_{S}$,0.04511706248417308,2.6121747033662247e-09
HCC70,LEE011_Ribociclib,10.0,$k_{G2}$,0.028423705908118824,2.6121747033662247e-09
HCC70,LEE011_Ribociclib,10.0,$k_{M}$,0.09004979483380463,2.6121747033662247e-09
HCC70,LEE011_Ribociclib,10.0,$k_{G1}$,0.5331041812710724,2.6121747033662247e-09
HCC70,LEE011_Ribociclib,10.0,$k_{\phi}$,0.0004781639857929557,2.6121747033662247e-09
HCC70,LEE011_Ribociclib,1.0,$k_{S}$,0.04099262162120526,3.2708920921287825e-09
HCC70,LEE011_Ribociclib,1.0,$k_{G2}$,0.029435750628326908,3.2708920921287825e-09
HCC70,LEE011_Ribociclib,1.0,$k_{M}$,0.09835223948745525,3.2708920921287825e-09
HCC70,LEE011_Ribociclib,1.0,$k_{G1}$,0.48286319117500826,3.2708920921287825e-09
HCC70,LEE011_Ribociclib,1.0,$k_{\phi}$,0.0004765201859660904,3.2708920921287825e-09
