cell_line,agent,concentration,parameter,rate,obj_func
HCC70,MFH-2-90,0.031623,$k_{S}$,0.003441504678003429,595809.1858808628
HCC70,MFH-2-90,0.031623,$k_{G2}$,0.014116253293552077,595809.1858808628
HCC70,MFH-2-90,0.031623,$k_{M}$,0.014428942774634154,595809.1858808628
HCC70,MFH-2-90,0.031623,$k_{G1}$,1e-07,595809.1858808628
HCC70,MFH-2-90,0.031623,$k_{\phi}$,0.004751852403014087,595809.1858808628
HCC70,MFH-2-90,0.01,$k_{S}$,0.0029229684441129645,502650.79393124394
HCC70,MFH-2-90,0.01,$k_{G2}$,0.013701445377779928,502650.79393124394
HCC70,MFH-2-90,0.01,$k_{M}$,0.014746557463977149,502650.79393124394
HCC70,MFH-2-90,0.01,$k_{G1}$,1e-07,502650.79393124394
HCC70,MFH-2-90,0.01,$k_{\phi}$,0.0055623275783967295,502650.79393124394
HCC70,MFH-2-90,10.0,$k_{S}$,0.0041914472960273225,400251.3100069901
HCC70,MFH-2-90,10.0,$k_{G2}$,0.017074346374343297,400251.3100069901
HCC70,MFH-2-90,10.0,$k_{M}$,0.011126858942746688,400251.3100069901
HCC70,MFH-2-90,10.0,$k_{G1}$,1e-07,400251.3100069901
HCC70,MFH-2-90,10.0,$k_{\phi}$,0.005628131806410329,400251.3100069901
HCC70,MFH-2-90,0.316228,$k_{S}$,0.0028791030430716227,491928.40331033256
HCC70,MFH-2-90,0.316228,$k_{G2}$,0.014231788194319408,491928.40331033256
HCC70,MFH-2-90,0.316228,$k_{M}$,0.014765494214570157,491928.40331033256
HCC70,MFH-2-90,0.316228,$k_{G1}$,1e-07,491928.40331033256
HCC70,MFH-2-90,0.316228,$k_{\phi}$,0.005467824106387912,491928.40331033256
HCC70,MFH-2-90,1.0,$k_{S}$,0.0034432252793377264,535729.8449369704
HCC70,MFH-2-90,1.0,$k_{G2}$,0.014660789864806421,535729.8449369704
HCC70,MFH-2-90,1.0,$k_{M}$,0.014276347555242451,535729.8449369704
HCC70,MFH-2-90,1.0,$k_{G1}$,1e-07,535729.8449369704
HCC70,MFH-2-90,1.0,$k_{\phi}$,0.005025170146032431,535729.8449369704
HCC70,MFH-2-90,0.001,$k_{S}$,0.0026363107131329,395362.16574554646
HCC70,MFH-2-90,0.001,$k_{G2}$,0.015020230499620897,395362.16574554646
HCC70,MFH-2-90,0.001,$k_{M}$,0.011535167781663058,395362.16574554646
HCC70,MFH-2-90,0.001,$k_{G1}$,1e-07,395362.16574554646
HCC70,MFH-2-90,0.001,$k_{\phi}$,0.005603114086917654,395362.16574554646
HCC70,MFH-2-90,3.162278,$k_{S}$,0.002723855822630454,472058.63787345437
HCC70,MFH-2-90,3.162278,$k_{G2}$,0.014197156455798826,472058.63787345437
HCC70,MFH-2-90,3.162278,$k_{M}$,0.014726699701551507,472058.63787345437
HCC70,MFH-2-90,3.162278,$k_{G1}$,1e-07,472058.63787345437
HCC70,MFH-2-90,3.162278,$k_{\phi}$,0.005634241235835945,472058.63787345437
HCC70,MFH-2-90,0.1,$k_{S}$,0.003310024613021528,480287.93036366923
HCC70,MFH-2-90,0.1,$k_{G2}$,0.014863399775654,480287.93036366923
HCC70,MFH-2-90,0.1,$k_{M}$,0.014192519806346946,480287.93036366923
HCC70,MFH-2-90,0.1,$k_{G1}$,1e-07,480287.93036366923
HCC70,MFH-2-90,0.1,$k_{\phi}$,0.005416000128999887,480287.93036366923
HCC70,MFH-2-90,0.003162,$k_{S}$,0.00267259274269735,425731.0766871131
HCC70,MFH-2-90,0.003162,$k_{G2}$,0.0149467096459965,425731.0766871131
HCC70,MFH-2-90,0.003162,$k_{M}$,0.014042184239495168,425731.0766871131
HCC70,MFH-2-90,0.003162,$k_{G1}$,1e-07,425731.0766871131
HCC70,MFH-2-90,0.003162,$k_{\phi}$,0.0055964098276289655,425731.0766871131
