cell_line,agent,concentration,parameter,rate,obj_func
HS578T,AZD2014,0.01,$k_{S}$,0.03434376714958474,3.7067577869873025e-10
HS578T,AZD2014,0.01,$k_{G2}$,0.09140449610842899,3.7067577869873025e-10
HS578T,AZD2014,0.01,$k_{M}$,0.1480896548029488,3.7067577869873025e-10
HS578T,AZD2014,0.01,$k_{G1}$,0.6371376304193774,3.7067577869873025e-10
HS578T,AZD2014,0.01,$k_{\phi}$,0.0045404329973478446,3.7067577869873025e-10
HS578T,AZD2014,0.031623,$k_{S}$,0.030739952005660397,4.03210686062609e-10
HS578T,AZD2014,0.031623,$k_{G2}$,0.0960571935938309,4.03210686062609e-10
HS578T,AZD2014,0.031623,$k_{M}$,0.13225857962787851,4.03210686062609e-10
HS578T,AZD2014,0.031623,$k_{G1}$,0.768394943883444,4.03210686062609e-10
HS578T,AZD2014,0.031623,$k_{\phi}$,0.004720685456703647,4.03210686062609e-10
HS578T,AZD2014,1.0,$k_{S}$,0.00806357566569862,1.4494449331385915e-10
HS578T,AZD2014,1.0,$k_{G2}$,0.026195953163878304,1.4494449331385915e-10
HS578T,AZD2014,1.0,$k_{M}$,0.051063167487186714,1.4494449331385915e-10
HS578T,AZD2014,1.0,$k_{G1}$,0.31557346714579443,1.4494449331385915e-10
HS578T,AZD2014,1.0,$k_{\phi}$,0.0013087595595449213,1.4494449331385915e-10
HS578T,AZD2014,10.0,$k_{S}$,0.012661382059167456,2.235573178632193e-10
HS578T,AZD2014,10.0,$k_{G2}$,0.0656015016184332,2.235573178632193e-10
HS578T,AZD2014,10.0,$k_{M}$,0.018113962600088625,2.235573178632193e-10
HS578T,AZD2014,10.0,$k_{G1}$,0.4861059668353949,2.235573178632193e-10
HS578T,AZD2014,10.0,$k_{\phi}$,0.0002257296535407363,2.235573178632193e-10
HS578T,AZD2014,0.001,$k_{S}$,0.036822153638031555,5.324285256901357e-10
HS578T,AZD2014,0.001,$k_{G2}$,0.10835923728517723,5.324285256901357e-10
HS578T,AZD2014,0.001,$k_{M}$,0.12937529672881898,5.324285256901357e-10
HS578T,AZD2014,0.001,$k_{G1}$,0.8175259935851169,5.324285256901357e-10
HS578T,AZD2014,0.001,$k_{\phi}$,0.003452848328070949,5.324285256901357e-10
HS578T,AZD2014,0.316228,$k_{S}$,0.010897683496789113,1.5607764569288613e-10
HS578T,AZD2014,0.316228,$k_{G2}$,0.04293675977094974,1.5607764569288613e-10
HS578T,AZD2014,0.316228,$k_{M}$,0.06322407058962555,1.5607764569288613e-10
HS578T,AZD2014,0.316228,$k_{G1}$,0.45128530435045777,1.5607764569288613e-10
HS578T,AZD2014,0.316228,$k_{\phi}$,0.0008783055055066433,1.5607764569288613e-10
HS578T,AZD2014,0.003162,$k_{S}$,0.03657517447613389,5.268695129964783e-10
HS578T,AZD2014,0.003162,$k_{G2}$,0.10615161589207457,5.268695129964783e-10
HS578T,AZD2014,0.003162,$k_{M}$,0.13267186011026316,5.268695129964783e-10
HS578T,AZD2014,0.003162,$k_{G1}$,0.8199138292421141,5.268695129964783e-10
HS578T,AZD2014,0.003162,$k_{\phi}$,0.003328864840963749,5.268695129964783e-10
HS578T,AZD2014,0.1,$k_{S}$,0.024470521285314486,1.8251360891584436e-10
HS578T,AZD2014,0.1,$k_{G2}$,0.07166731904886779,1.8251360891584436e-10
HS578T,AZD2014,0.1,$k_{M}$,0.08944094008250546,1.8251360891584436e-10
HS578T,AZD2014,0.1,$k_{G1}$,0.7320899413638665,1.8251360891584436e-10
HS578T,AZD2014,0.1,$k_{\phi}$,0.003784311200982451,1.8251360891584436e-10
HS578T,AZD2014,3.162278,$k_{S}$,0.005787823306368596,2.5299774818150527e-10
HS578T,AZD2014,3.162278,$k_{G2}$,0.029021998899850545,2.5299774818150527e-10
HS578T,AZD2014,3.162278,$k_{M}$,0.06384433581825949,2.5299774818150527e-10
HS578T,AZD2014,3.162278,$k_{G1}$,0.47543956354480127,2.5299774818150527e-10
HS578T,AZD2014,3.162278,$k_{\phi}$,0.000516480409051914,2.5299774818150527e-10
