cell_line,agent,concentration,parameter,rate,obj_func
HS578T,BMS-265246,0.1,$k_{S}$,0.026568084867885353,1.8897948646321196e-11
HS578T,BMS-265246,0.1,$k_{G2}$,0.052096951124606716,1.8897948646321196e-11
HS578T,BMS-265246,0.1,$k_{M}$,0.052873254002918424,1.8897948646321196e-11
HS578T,BMS-265246,0.1,$k_{G1}$,0.08289991947136362,1.8897948646321196e-11
HS578T,BMS-265246,0.1,$k_{\phi}$,0.0059737839147081286,1.8897948646321196e-11
HS578T,BMS-265246,1.0,$k_{S}$,0.012822016644234558,1.1500049679211933e-10
HS578T,BMS-265246,1.0,$k_{G2}$,0.037786133116591784,1.1500049679211933e-10
HS578T,BMS-265246,1.0,$k_{M}$,0.016988551801906514,1.1500049679211933e-10
HS578T,BMS-265246,1.0,$k_{G1}$,0.06872307245995218,1.1500049679211933e-10
HS578T,BMS-265246,1.0,$k_{\phi}$,0.004236691090907386,1.1500049679211933e-10
HS578T,BMS-265246,10.0,$k_{S}$,0.005345428359213989,8.464709714264969e-11
HS578T,BMS-265246,10.0,$k_{G2}$,0.026897754273159217,8.464709714264969e-11
HS578T,BMS-265246,10.0,$k_{M}$,0.011469151992037388,8.464709714264969e-11
HS578T,BMS-265246,10.0,$k_{G1}$,0.1114363716271125,8.464709714264969e-11
HS578T,BMS-265246,10.0,$k_{\phi}$,0.007950589712151252,8.464709714264969e-11
HS578T,BMS-265246,0.316228,$k_{S}$,0.023492942630553532,7.752800136763287e-11
HS578T,BMS-265246,0.316228,$k_{G2}$,0.0319523075486483,7.752800136763287e-11
HS578T,BMS-265246,0.316228,$k_{M}$,0.034516177905093294,7.752800136763287e-11
HS578T,BMS-265246,0.316228,$k_{G1}$,0.06790517015508407,7.752800136763287e-11
HS578T,BMS-265246,0.316228,$k_{\phi}$,0.006031761426909925,7.752800136763287e-11
HS578T,BMS-265246,3.162278,$k_{S}$,1e-07,67.64474288244487
HS578T,BMS-265246,3.162278,$k_{G2}$,0.017025388411389567,67.64474288244487
HS578T,BMS-265246,3.162278,$k_{M}$,0.00864848542397798,67.64474288244487
HS578T,BMS-265246,3.162278,$k_{G1}$,0.027595397927560637,67.64474288244487
HS578T,BMS-265246,3.162278,$k_{\phi}$,0.004890945291622108,67.64474288244487
HS578T,BMS-265246,0.031623,$k_{S}$,0.041871133912312744,5.8032626349128e-11
HS578T,BMS-265246,0.031623,$k_{G2}$,0.07067342854846656,5.8032626349128e-11
HS578T,BMS-265246,0.031623,$k_{M}$,0.05423259373494737,5.8032626349128e-11
HS578T,BMS-265246,0.031623,$k_{G1}$,0.21705858260030358,5.8032626349128e-11
HS578T,BMS-265246,0.031623,$k_{\phi}$,0.004300708131642161,5.8032626349128e-11
HS578T,BMS-265246,0.003162,$k_{S}$,0.04745850401918827,2.1841464042015017e-10
HS578T,BMS-265246,0.003162,$k_{G2}$,0.07700356998275085,2.1841464042015017e-10
HS578T,BMS-265246,0.003162,$k_{M}$,0.081749116840199,2.1841464042015017e-10
HS578T,BMS-265246,0.003162,$k_{G1}$,0.32153555029132913,2.1841464042015017e-10
HS578T,BMS-265246,0.003162,$k_{\phi}$,0.0029820215205807596,2.1841464042015017e-10
HS578T,BMS-265246,0.01,$k_{S}$,0.04548428957387503,2.299063099814762e-10
HS578T,BMS-265246,0.01,$k_{G2}$,0.06836225338606704,2.299063099814762e-10
HS578T,BMS-265246,0.01,$k_{M}$,0.06753626523520866,2.299063099814762e-10
HS578T,BMS-265246,0.01,$k_{G1}$,0.2566059707357584,2.299063099814762e-10
HS578T,BMS-265246,0.01,$k_{\phi}$,0.0028142324598328826,2.299063099814762e-10
HS578T,BMS-265246,0.001,$k_{S}$,0.05369078041187779,2.77019055500085e-10
HS578T,BMS-265246,0.001,$k_{G2}$,0.07812519018978589,2.77019055500085e-10
HS578T,BMS-265246,0.001,$k_{M}$,0.08568766600481456,2.77019055500085e-10
HS578T,BMS-265246,0.001,$k_{G1}$,0.3588465526428502,2.77019055500085e-10
HS578T,BMS-265246,0.001,$k_{\phi}$,0.0029795789126064003,2.77019055500085e-10
