cell_line,agent,concentration,parameter,rate,obj_func
HS578T,BSJ-03-124,0.003162,$k_{S}$,0.04711139185275752,1.2997666196491112e-09
HS578T,BSJ-03-124,0.003162,$k_{G2}$,0.1371005231769094,1.2997666196491112e-09
HS578T,BSJ-03-124,0.003162,$k_{M}$,0.1272355146639611,1.2997666196491112e-09
HS578T,BSJ-03-124,0.003162,$k_{G1}$,1.210706933751041,1.2997666196491112e-09
HS578T,BSJ-03-124,0.003162,$k_{\phi}$,0.00518225135586958,1.2997666196491112e-09
HS578T,BSJ-03-124,0.01,$k_{S}$,0.043518824917274324,7.548489599132567e-10
HS578T,BSJ-03-124,0.01,$k_{G2}$,0.12436855590972529,7.548489599132567e-10
HS578T,BSJ-03-124,0.01,$k_{M}$,0.15571931258181584,7.548489599132567e-10
HS578T,BSJ-03-124,0.01,$k_{G1}$,1.0755217920996925,7.548489599132567e-10
HS578T,BSJ-03-124,0.01,$k_{\phi}$,0.005301531526570746,7.548489599132567e-10
HS578T,BSJ-03-124,0.1,$k_{S}$,0.04356213689082425,1.2191367067826227e-09
HS578T,BSJ-03-124,0.1,$k_{G2}$,0.1260071653653694,1.2191367067826227e-09
HS578T,BSJ-03-124,0.1,$k_{M}$,0.14162992323844673,1.2191367067826227e-09
HS578T,BSJ-03-124,0.1,$k_{G1}$,1.1360208190532226,1.2191367067826227e-09
HS578T,BSJ-03-124,0.1,$k_{\phi}$,0.006021339251129903,1.2191367067826227e-09
HS578T,BSJ-03-124,0.031623,$k_{S}$,0.04833630082766543,1.180066299334128e-09
HS578T,BSJ-03-124,0.031623,$k_{G2}$,0.1300122106083394,1.180066299334128e-09
HS578T,BSJ-03-124,0.031623,$k_{M}$,0.1525315439789539,1.180066299334128e-09
HS578T,BSJ-03-124,0.031623,$k_{G1}$,1.201474510208921,1.180066299334128e-09
HS578T,BSJ-03-124,0.031623,$k_{\phi}$,0.007597810352025711,1.180066299334128e-09
HS578T,BSJ-03-124,10.0,$k_{S}$,0.02181778580367285,3.184588182419131e-10
HS578T,BSJ-03-124,10.0,$k_{G2}$,0.16658321767775283,3.184588182419131e-10
HS578T,BSJ-03-124,10.0,$k_{M}$,0.13093015008189787,3.184588182419131e-10
HS578T,BSJ-03-124,10.0,$k_{G1}$,1.0467101091762976,3.184588182419131e-10
HS578T,BSJ-03-124,10.0,$k_{\phi}$,0.007609468909111461,3.184588182419131e-10
HS578T,BSJ-03-124,0.316228,$k_{S}$,0.043356120503789584,1.427891505351089e-09
HS578T,BSJ-03-124,0.316228,$k_{G2}$,0.12532729249253002,1.427891505351089e-09
HS578T,BSJ-03-124,0.316228,$k_{M}$,0.15619148621035717,1.427891505351089e-09
HS578T,BSJ-03-124,0.316228,$k_{G1}$,1.2972766963632272,1.427891505351089e-09
HS578T,BSJ-03-124,0.316228,$k_{\phi}$,0.007019951309143479,1.427891505351089e-09
HS578T,BSJ-03-124,3.162278,$k_{S}$,0.0395744781965891,1.4102661276343809e-10
HS578T,BSJ-03-124,3.162278,$k_{G2}$,0.12234341250776032,1.4102661276343809e-10
HS578T,BSJ-03-124,3.162278,$k_{M}$,0.13644214247675304,1.4102661276343809e-10
HS578T,BSJ-03-124,3.162278,$k_{G1}$,0.8512752091482706,1.4102661276343809e-10
HS578T,BSJ-03-124,3.162278,$k_{\phi}$,0.008728609692912942,1.4102661276343809e-10
HS578T,BSJ-03-124,1.0,$k_{S}$,0.04329275040492966,5.031116551200278e-10
HS578T,BSJ-03-124,1.0,$k_{G2}$,0.133060839990018,5.031116551200278e-10
HS578T,BSJ-03-124,1.0,$k_{M}$,0.12163147347335838,5.031116551200278e-10
HS578T,BSJ-03-124,1.0,$k_{G1}$,1.2551824595235441,5.031116551200278e-10
HS578T,BSJ-03-124,1.0,$k_{\phi}$,0.006582411054830808,5.031116551200278e-10
HS578T,BSJ-03-124,0.001,$k_{S}$,0.04241033245662614,1.5957997223318676e-09
HS578T,BSJ-03-124,0.001,$k_{G2}$,0.15025152243437004,1.5957997223318676e-09
HS578T,BSJ-03-124,0.001,$k_{M}$,0.14977035719793114,1.5957997223318676e-09
HS578T,BSJ-03-124,0.001,$k_{G1}$,1.3607485907017012,1.5957997223318676e-09
HS578T,BSJ-03-124,0.001,$k_{\phi}$,0.0047350989439496095,1.5957997223318676e-09
