cell_line,agent,concentration,parameter,rate,obj_func
HS578T,Flavopiridol,0.001,$k_{S}$,0.04446486120369573,1.0738071364626148e-09
HS578T,Flavopiridol,0.001,$k_{G2}$,0.12731287570326133,1.0738071364626148e-09
HS578T,Flavopiridol,0.001,$k_{M}$,0.13174848926589638,1.0738071364626148e-09
HS578T,Flavopiridol,0.001,$k_{G1}$,1.0397429316033024,1.0738071364626148e-09
HS578T,Flavopiridol,0.001,$k_{\phi}$,0.00293546903590987,1.0738071364626148e-09
HS578T,Flavopiridol,0.000316,$k_{S}$,0.04199442230551982,1.4526541803752076e-09
HS578T,Flavopiridol,0.000316,$k_{G2}$,0.12462279081617926,1.4526541803752076e-09
HS578T,Flavopiridol,0.000316,$k_{M}$,0.1377058898895873,1.4526541803752076e-09
HS578T,Flavopiridol,0.000316,$k_{G1}$,1.2426668010827298,1.4526541803752076e-09
HS578T,Flavopiridol,0.000316,$k_{\phi}$,0.0018219791626140369,1.4526541803752076e-09
HS578T,Flavopiridol,0.01,$k_{S}$,0.05252268413001345,7.310666322505607e-10
HS578T,Flavopiridol,0.01,$k_{G2}$,0.1201495076211031,7.310666322505607e-10
HS578T,Flavopiridol,0.01,$k_{M}$,0.13559631583596451,7.310666322505607e-10
HS578T,Flavopiridol,0.01,$k_{G1}$,1.0369808897265562,7.310666322505607e-10
HS578T,Flavopiridol,0.01,$k_{\phi}$,0.0039044037619055698,7.310666322505607e-10
HS578T,Flavopiridol,0.1,$k_{S}$,0.06052652398752162,3.476630399981739e-10
HS578T,Flavopiridol,0.1,$k_{G2}$,0.06559087849532638,3.476630399981739e-10
HS578T,Flavopiridol,0.1,$k_{M}$,0.09544392803907524,3.476630399981739e-10
HS578T,Flavopiridol,0.1,$k_{G1}$,0.36492568732359304,3.476630399981739e-10
HS578T,Flavopiridol,0.1,$k_{\phi}$,0.001855137242974165,3.476630399981739e-10
HS578T,Flavopiridol,0.031623,$k_{S}$,0.06260678412143045,7.587589094004029e-10
HS578T,Flavopiridol,0.031623,$k_{G2}$,0.08167682105440499,7.587589094004029e-10
HS578T,Flavopiridol,0.031623,$k_{M}$,0.11642906829088417,7.587589094004029e-10
HS578T,Flavopiridol,0.031623,$k_{G1}$,0.6672677008875721,7.587589094004029e-10
HS578T,Flavopiridol,0.031623,$k_{\phi}$,0.002253241008700041,7.587589094004029e-10
HS578T,Flavopiridol,1.0,$k_{S}$,1e-07,35240.15167136368
HS578T,Flavopiridol,1.0,$k_{G2}$,0.01549601649967273,35240.15167136368
HS578T,Flavopiridol,1.0,$k_{M}$,0.01915059004234281,35240.15167136368
HS578T,Flavopiridol,1.0,$k_{G1}$,0.004924384791070225,35240.15167136368
HS578T,Flavopiridol,1.0,$k_{\phi}$,0.004659839153839557,35240.15167136368
HS578T,Flavopiridol,0.003162,$k_{S}$,0.0431527665018767,8.545312998230871e-10
HS578T,Flavopiridol,0.003162,$k_{G2}$,0.11326145030793588,8.545312998230871e-10
HS578T,Flavopiridol,0.003162,$k_{M}$,0.14371838229475217,8.545312998230871e-10
HS578T,Flavopiridol,0.003162,$k_{G1}$,0.9102957304363211,8.545312998230871e-10
HS578T,Flavopiridol,0.003162,$k_{\phi}$,0.0026933312909701635,8.545312998230871e-10
HS578T,Flavopiridol,0.316228,$k_{S}$,0.0077139390749481115,6.903773005314863e-11
HS578T,Flavopiridol,0.316228,$k_{G2}$,0.015197669303471766,6.903773005314863e-11
HS578T,Flavopiridol,0.316228,$k_{M}$,0.0263873648951631,6.903773005314863e-11
HS578T,Flavopiridol,0.316228,$k_{G1}$,0.027011982004938352,6.903773005314863e-11
HS578T,Flavopiridol,0.316228,$k_{\phi}$,0.0015094879258080993,6.903773005314863e-11
HS578T,Flavopiridol,0.0001,$k_{S}$,0.04300682393677679,1.9258827555028807e-09
HS578T,Flavopiridol,0.0001,$k_{G2}$,0.1349290528747317,1.9258827555028807e-09
HS578T,Flavopiridol,0.0001,$k_{M}$,0.1322745063679699,1.9258827555028807e-09
HS578T,Flavopiridol,0.0001,$k_{G1}$,1.0597877866763732,1.9258827555028807e-09
HS578T,Flavopiridol,0.0001,$k_{\phi}$,0.002705517410864276,1.9258827555028807e-09
