cell_line,agent,concentration,parameter,rate,obj_func
HS578T,LEE011_Ribociclib,1.0,$k_{S}$,0.03059436884325506,4.695886052197676e-10
HS578T,LEE011_Ribociclib,1.0,$k_{G2}$,0.19058433966502764,4.695886052197676e-10
HS578T,LEE011_Ribociclib,1.0,$k_{M}$,0.155052880812875,4.695886052197676e-10
HS578T,LEE011_Ribociclib,1.0,$k_{G1}$,1.3203721417718157,4.695886052197676e-10
HS578T,LEE011_Ribociclib,1.0,$k_{\phi}$,0.00914393410152784,4.695886052197676e-10
HS578T,LEE011_Ribociclib,3.162278,$k_{S}$,0.03224452985373603,2.3361803665041697e-05
HS578T,LEE011_Ribociclib,3.162278,$k_{G2}$,0.2130255157660771,2.3361803665041697e-05
HS578T,LEE011_Ribociclib,3.162278,$k_{M}$,0.13069442765209727,2.3361803665041697e-05
HS578T,LEE011_Ribociclib,3.162278,$k_{G1}$,1.6828828304281185,2.3361803665041697e-05
HS578T,LEE011_Ribociclib,3.162278,$k_{\phi}$,0.010111915186101423,2.3361803665041697e-05
HS578T,LEE011_Ribociclib,0.01,$k_{S}$,0.03057628233178543,8.171403592102153e-10
HS578T,LEE011_Ribociclib,0.01,$k_{G2}$,0.15988993514422153,8.171403592102153e-10
HS578T,LEE011_Ribociclib,0.01,$k_{M}$,0.17544762671918632,8.171403592102153e-10
HS578T,LEE011_Ribociclib,0.01,$k_{G1}$,1.3403522494486346,8.171403592102153e-10
HS578T,LEE011_Ribociclib,0.01,$k_{\phi}$,0.005955688855252908,8.171403592102153e-10
HS578T,LEE011_Ribociclib,0.1,$k_{S}$,0.034480639515109233,9.66316919385452e-10
HS578T,LEE011_Ribociclib,0.1,$k_{G2}$,0.1699166751482456,9.66316919385452e-10
HS578T,LEE011_Ribociclib,0.1,$k_{M}$,0.1939653621559709,9.66316919385452e-10
HS578T,LEE011_Ribociclib,0.1,$k_{G1}$,1.084401816377811,9.66316919385452e-10
HS578T,LEE011_Ribociclib,0.1,$k_{\phi}$,0.009834289860745738,9.66316919385452e-10
HS578T,LEE011_Ribociclib,0.316228,$k_{S}$,0.03314739565802675,1.2134826201319696e-09
HS578T,LEE011_Ribociclib,0.316228,$k_{G2}$,0.19985782873507527,1.2134826201319696e-09
HS578T,LEE011_Ribociclib,0.316228,$k_{M}$,0.1881366351761096,1.2134826201319696e-09
HS578T,LEE011_Ribociclib,0.316228,$k_{G1}$,1.750234308295755,1.2134826201319696e-09
HS578T,LEE011_Ribociclib,0.316228,$k_{\phi}$,0.009864755270999732,1.2134826201319696e-09
HS578T,LEE011_Ribociclib,0.003162,$k_{S}$,0.03382087536888865,4.405318061853562e-10
HS578T,LEE011_Ribociclib,0.003162,$k_{G2}$,0.16042381713581114,4.405318061853562e-10
HS578T,LEE011_Ribociclib,0.003162,$k_{M}$,0.16002433695998705,4.405318061853562e-10
HS578T,LEE011_Ribociclib,0.003162,$k_{G1}$,1.3920991781699694,4.405318061853562e-10
HS578T,LEE011_Ribociclib,0.003162,$k_{\phi}$,0.005222468708547852,4.405318061853562e-10
HS578T,LEE011_Ribociclib,0.001,$k_{S}$,0.035842530930682674,7.07187209667018e-10
HS578T,LEE011_Ribociclib,0.001,$k_{G2}$,0.15006039017457523,7.07187209667018e-10
HS578T,LEE011_Ribociclib,0.001,$k_{M}$,0.1693986100512666,7.07187209667018e-10
HS578T,LEE011_Ribociclib,0.001,$k_{G1}$,1.280768512412852,7.07187209667018e-10
HS578T,LEE011_Ribociclib,0.001,$k_{\phi}$,0.005311853081489048,7.07187209667018e-10
HS578T,LEE011_Ribociclib,10.0,$k_{S}$,0.016554195292282452,1.646667224810851e-09
HS578T,LEE011_Ribociclib,10.0,$k_{G2}$,0.21356085325548174,1.646667224810851e-09
HS578T,LEE011_Ribociclib,10.0,$k_{M}$,0.12323127256740565,1.646667224810851e-09
HS578T,LEE011_Ribociclib,10.0,$k_{G1}$,1.413034201874782,1.646667224810851e-09
HS578T,LEE011_Ribociclib,10.0,$k_{\phi}$,0.008155749613119571,1.646667224810851e-09
HS578T,LEE011_Ribociclib,0.031623,$k_{S}$,0.029628876951375345,3.6764966755670063e-10
HS578T,LEE011_Ribociclib,0.031623,$k_{G2}$,0.1343384435553835,3.6764966755670063e-10
HS578T,LEE011_Ribociclib,0.031623,$k_{M}$,0.15016817119454573,3.6764966755670063e-10
HS578T,LEE011_Ribociclib,0.031623,$k_{G1}$,0.8759850708356642,3.6764966755670063e-10
HS578T,LEE011_Ribociclib,0.031623,$k_{\phi}$,0.005900620593614292,3.6764966755670063e-10
