cell_line,agent,concentration,parameter,rate,obj_func
HS578T_PR,BMS-265246,3.162278,$k_{S}$,0.004023813148741033,70.09390222830007
HS578T_PR,BMS-265246,3.162278,$k_{G2}$,0.023310993267032554,70.09390222830007
HS578T_PR,BMS-265246,3.162278,$k_{M}$,0.0017263984978379539,70.09390222830007
HS578T_PR,BMS-265246,3.162278,$k_{G1}$,1e-07,70.09390222830007
HS578T_PR,BMS-265246,3.162278,$k_{\phi}$,0.0009155208113333887,70.09390222830007
HS578T_PR,BMS-265246,0.316228,$k_{S}$,0.017205139151180784,1.5538885902636934e-11
HS578T_PR,BMS-265246,0.316228,$k_{G2}$,0.06124379570595364,1.5538885902636934e-11
HS578T_PR,BMS-265246,0.316228,$k_{M}$,0.02569191776289958,1.5538885902636934e-11
HS578T_PR,BMS-265246,0.316228,$k_{G1}$,0.16023381353534208,1.5538885902636934e-11
HS578T_PR,BMS-265246,0.316228,$k_{\phi}$,0.003932374683776015,1.5538885902636934e-11
HS578T_PR,BMS-265246,10.0,$k_{S}$,0.0079394903013139,1.3194107391902598e-11
HS578T_PR,BMS-265246,10.0,$k_{G2}$,0.03623126382400152,1.3194107391902598e-11
HS578T_PR,BMS-265246,10.0,$k_{M}$,0.0014980674557427578,1.3194107391902598e-11
HS578T_PR,BMS-265246,10.0,$k_{G1}$,0.02407317456679644,1.3194107391902598e-11
HS578T_PR,BMS-265246,10.0,$k_{\phi}$,0.0031471917168710375,1.3194107391902598e-11
HS578T_PR,BMS-265246,0.1,$k_{S}$,0.015855030160213005,1.3065599386870966e-11
HS578T_PR,BMS-265246,0.1,$k_{G2}$,0.05071328040659207,1.3065599386870966e-11
HS578T_PR,BMS-265246,0.1,$k_{M}$,0.03683980821562701,1.3065599386870966e-11
HS578T_PR,BMS-265246,0.1,$k_{G1}$,0.1713401428939754,1.3065599386870966e-11
HS578T_PR,BMS-265246,0.1,$k_{\phi}$,0.0014866927378425238,1.3065599386870966e-11
HS578T_PR,BMS-265246,1.0,$k_{S}$,0.0037238065616744987,331.6380274087766
HS578T_PR,BMS-265246,1.0,$k_{G2}$,0.01635713140597552,331.6380274087766
HS578T_PR,BMS-265246,1.0,$k_{M}$,0.0058046718481709805,331.6380274087766
HS578T_PR,BMS-265246,1.0,$k_{G1}$,1e-07,331.6380274087766
HS578T_PR,BMS-265246,1.0,$k_{\phi}$,0.0011219049813500411,331.6380274087766
HS578T_PR,BMS-265246,0.001,$k_{S}$,0.033788655781493884,1.4991516390809934e-11
HS578T_PR,BMS-265246,0.001,$k_{G2}$,0.07971261317537365,1.4991516390809934e-11
HS578T_PR,BMS-265246,0.001,$k_{M}$,0.11023233674349989,1.4991516390809934e-11
HS578T_PR,BMS-265246,0.001,$k_{G1}$,0.44737336386767573,1.4991516390809934e-11
HS578T_PR,BMS-265246,0.001,$k_{\phi}$,0.0008749091208391602,1.4991516390809934e-11
HS578T_PR,BMS-265246,0.003162,$k_{S}$,0.029721503871943597,1.741720735487157e-11
HS578T_PR,BMS-265246,0.003162,$k_{G2}$,0.054108402050475166,1.741720735487157e-11
HS578T_PR,BMS-265246,0.003162,$k_{M}$,0.06273864835293948,1.741720735487157e-11
HS578T_PR,BMS-265246,0.003162,$k_{G1}$,0.2686898875442701,1.741720735487157e-11
HS578T_PR,BMS-265246,0.003162,$k_{\phi}$,0.0012594859402388396,1.741720735487157e-11
HS578T_PR,BMS-265246,0.031623,$k_{S}$,0.021058856890608126,1.4347860661357392e-11
HS578T_PR,BMS-265246,0.031623,$k_{G2}$,0.0746576094072002,1.4347860661357392e-11
HS578T_PR,BMS-265246,0.031623,$k_{M}$,0.058129839810142685,1.4347860661357392e-11
HS578T_PR,BMS-265246,0.031623,$k_{G1}$,0.3636018727431985,1.4347860661357392e-11
HS578T_PR,BMS-265246,0.031623,$k_{\phi}$,0.00271902729023964,1.4347860661357392e-11
HS578T_PR,BMS-265246,0.01,$k_{S}$,0.02830132328979754,1.002006913305673e-12
HS578T_PR,BMS-265246,0.01,$k_{G2}$,0.05731696494014699,1.002006913305673e-12
HS578T_PR,BMS-265246,0.01,$k_{M}$,0.05437667075324748,1.002006913305673e-12
HS578T_PR,BMS-265246,0.01,$k_{G1}$,0.3100632346582786,1.002006913305673e-12
HS578T_PR,BMS-265246,0.01,$k_{\phi}$,0.002803484429461116,1.002006913305673e-12
