cell_line,agent,concentration,parameter,rate,obj_func
HS578T_PR,E17,3.162278,$k_{S}$,0.005886782546891945,9192.41946450752
HS578T_PR,E17,3.162278,$k_{G2}$,0.023370511971243152,9192.41946450752
HS578T_PR,E17,3.162278,$k_{M}$,0.020418371704296112,9192.41946450752
HS578T_PR,E17,3.162278,$k_{G1}$,1e-07,9192.41946450752
HS578T_PR,E17,3.162278,$k_{\phi}$,0.002342819879314663,9192.41946450752
HS578T_PR,E17,0.1,$k_{S}$,0.006382710941746267,13215.39390229494
HS578T_PR,E17,0.1,$k_{G2}$,0.02173165709429936,13215.39390229494
HS578T_PR,E17,0.1,$k_{M}$,0.021728505896330796,13215.39390229494
HS578T_PR,E17,0.1,$k_{G1}$,1e-07,13215.39390229494
HS578T_PR,E17,0.1,$k_{\phi}$,0.0013890927938756223,13215.39390229494
HS578T_PR,E17,0.003162,$k_{S}$,0.0053369651995684286,8084.57495544298
HS578T_PR,E17,0.003162,$k_{G2}$,0.02419963864426504,8084.57495544298
HS578T_PR,E17,0.003162,$k_{M}$,0.021428406062563948,8084.57495544298
HS578T_PR,E17,0.003162,$k_{G1}$,1e-07,8084.57495544298
HS578T_PR,E17,0.003162,$k_{\phi}$,0.0021549050283459423,8084.57495544298
HS578T_PR,E17,0.001,$k_{S}$,0.004290058782628975,442.82312892659536
HS578T_PR,E17,0.001,$k_{G2}$,0.020444643588500084,442.82312892659536
HS578T_PR,E17,0.001,$k_{M}$,0.021850876385011344,442.82312892659536
HS578T_PR,E17,0.001,$k_{G1}$,1e-07,442.82312892659536
HS578T_PR,E17,0.001,$k_{\phi}$,0.0017140190744774136,442.82312892659536
HS578T_PR,E17,10.0,$k_{S}$,0.0028981517753687834,5166.247746421898
HS578T_PR,E17,10.0,$k_{G2}$,0.022299301111051505,5166.247746421898
HS578T_PR,E17,10.0,$k_{M}$,0.016967504720226134,5166.247746421898
HS578T_PR,E17,10.0,$k_{G1}$,1e-07,5166.247746421898
HS578T_PR,E17,10.0,$k_{\phi}$,0.0039029462620954365,5166.247746421898
HS578T_PR,E17,0.01,$k_{S}$,0.0054071212000646645,6972.951983780313
HS578T_PR,E17,0.01,$k_{G2}$,0.02528022698540972,6972.951983780313
HS578T_PR,E17,0.01,$k_{M}$,0.020215619633033005,6972.951983780313
HS578T_PR,E17,0.01,$k_{G1}$,1e-07,6972.951983780313
HS578T_PR,E17,0.01,$k_{\phi}$,0.0017601221020979462,6972.951983780313
HS578T_PR,E17,0.031623,$k_{S}$,0.006396841189913827,12108.554069813517
HS578T_PR,E17,0.031623,$k_{G2}$,0.021429186956456302,12108.554069813517
HS578T_PR,E17,0.031623,$k_{M}$,0.021931590644487135,12108.554069813517
HS578T_PR,E17,0.031623,$k_{G1}$,1e-07,12108.554069813517
HS578T_PR,E17,0.031623,$k_{\phi}$,0.0016713470612801083,12108.554069813517
HS578T_PR,E17,0.316228,$k_{S}$,0.004918557780372386,11207.372778423287
HS578T_PR,E17,0.316228,$k_{G2}$,0.022299510852597845,11207.372778423287
HS578T_PR,E17,0.316228,$k_{M}$,0.020076364315628835,11207.372778423287
HS578T_PR,E17,0.316228,$k_{G1}$,1e-07,11207.372778423287
HS578T_PR,E17,0.316228,$k_{\phi}$,0.0008659497404530447,11207.372778423287
HS578T_PR,E17,1.0,$k_{S}$,0.0037922697854861393,9451.481930159196
HS578T_PR,E17,1.0,$k_{G2}$,0.021530607524487475,9451.481930159196
HS578T_PR,E17,1.0,$k_{M}$,0.01745650495919396,9451.481930159196
HS578T_PR,E17,1.0,$k_{G1}$,1e-07,9451.481930159196
HS578T_PR,E17,1.0,$k_{\phi}$,0.0014405721156858702,9451.481930159196
