cell_line,agent,concentration,parameter,rate,obj_func
HS578T_PR,LEE011_Ribociclib,10.0,$k_{S}$,0.05373668232004418,5.436644606586649e-10
HS578T_PR,LEE011_Ribociclib,10.0,$k_{G2}$,0.07667958806869996,5.436644606586649e-10
HS578T_PR,LEE011_Ribociclib,10.0,$k_{M}$,0.16641354345987328,5.436644606586649e-10
HS578T_PR,LEE011_Ribociclib,10.0,$k_{G1}$,0.9123227921886621,5.436644606586649e-10
HS578T_PR,LEE011_Ribociclib,10.0,$k_{\phi}$,6.959757804106611e-05,5.436644606586649e-10
HS578T_PR,LEE011_Ribociclib,1.0,$k_{S}$,0.05579811515649583,0.00022097080002076255
HS578T_PR,LEE011_Ribociclib,1.0,$k_{G2}$,0.06924103455706578,0.00022097080002076255
HS578T_PR,LEE011_Ribociclib,1.0,$k_{M}$,0.21896705636617614,0.00022097080002076255
HS578T_PR,LEE011_Ribociclib,1.0,$k_{G1}$,0.8280354349929623,0.00022097080002076255
HS578T_PR,LEE011_Ribociclib,1.0,$k_{\phi}$,0.0001636952285743904,0.00022097080002076255
HS578T_PR,LEE011_Ribociclib,3.162278,$k_{S}$,0.054282825132236596,3.1647029063852325e-10
HS578T_PR,LEE011_Ribociclib,3.162278,$k_{G2}$,0.07392191362789376,3.1647029063852325e-10
HS578T_PR,LEE011_Ribociclib,3.162278,$k_{M}$,0.1973578082980323,3.1647029063852325e-10
HS578T_PR,LEE011_Ribociclib,3.162278,$k_{G1}$,0.933857450229926,3.1647029063852325e-10
HS578T_PR,LEE011_Ribociclib,3.162278,$k_{\phi}$,0.0003956445268687685,3.1647029063852325e-10
HS578T_PR,LEE011_Ribociclib,0.1,$k_{S}$,0.06058318978508637,3.125132020270046e-10
HS578T_PR,LEE011_Ribociclib,0.1,$k_{G2}$,0.07942296235187177,3.125132020270046e-10
HS578T_PR,LEE011_Ribociclib,0.1,$k_{M}$,0.18284747184984798,3.125132020270046e-10
HS578T_PR,LEE011_Ribociclib,0.1,$k_{G1}$,0.7890974719262791,3.125132020270046e-10
HS578T_PR,LEE011_Ribociclib,0.1,$k_{\phi}$,0.00031186432597095115,3.125132020270046e-10
HS578T_PR,LEE011_Ribociclib,0.316228,$k_{S}$,0.05580827776936299,2.776921726060025e-10
HS578T_PR,LEE011_Ribociclib,0.316228,$k_{G2}$,0.08247699035692209,2.776921726060025e-10
HS578T_PR,LEE011_Ribociclib,0.316228,$k_{M}$,0.1715549034459986,2.776921726060025e-10
HS578T_PR,LEE011_Ribociclib,0.316228,$k_{G1}$,0.7633123156968314,2.776921726060025e-10
HS578T_PR,LEE011_Ribociclib,0.316228,$k_{\phi}$,0.00040473959138889997,2.776921726060025e-10
HS578T_PR,LEE011_Ribociclib,0.003162,$k_{S}$,0.05698023300472713,2.014129119816674e-06
HS578T_PR,LEE011_Ribociclib,0.003162,$k_{G2}$,0.07921755294668423,2.014129119816674e-06
HS578T_PR,LEE011_Ribociclib,0.003162,$k_{M}$,0.21586687662493712,2.014129119816674e-06
HS578T_PR,LEE011_Ribociclib,0.003162,$k_{G1}$,1.0145106679017015,2.014129119816674e-06
HS578T_PR,LEE011_Ribociclib,0.003162,$k_{\phi}$,0.00023706005144953957,2.014129119816674e-06
HS578T_PR,LEE011_Ribociclib,0.01,$k_{S}$,0.05877377440464235,0.00015758700718113093
HS578T_PR,LEE011_Ribociclib,0.01,$k_{G2}$,0.08666572739278712,0.00015758700718113093
HS578T_PR,LEE011_Ribociclib,0.01,$k_{M}$,0.18840223097406936,0.00015758700718113093
HS578T_PR,LEE011_Ribociclib,0.01,$k_{G1}$,1.1431067698960273,0.00015758700718113093
HS578T_PR,LEE011_Ribociclib,0.01,$k_{\phi}$,0.00020817251981021564,0.00015758700718113093
HS578T_PR,LEE011_Ribociclib,0.001,$k_{S}$,0.05471617444782717,4.680766508985101e-10
HS578T_PR,LEE011_Ribociclib,0.001,$k_{G2}$,0.09195276265808937,4.680766508985101e-10
HS578T_PR,LEE011_Ribociclib,0.001,$k_{M}$,0.19619105651039861,4.680766508985101e-10
HS578T_PR,LEE011_Ribociclib,0.001,$k_{G1}$,1.1016375072928484,4.680766508985101e-10
HS578T_PR,LEE011_Ribociclib,0.001,$k_{\phi}$,3.881409097110298e-05,4.680766508985101e-10
HS578T_PR,LEE011_Ribociclib,0.031623,$k_{S}$,0.05632612670487435,19.565374795781718
HS578T_PR,LEE011_Ribociclib,0.031623,$k_{G2}$,0.083841296671759,19.565374795781718
HS578T_PR,LEE011_Ribociclib,0.031623,$k_{M}$,0.18729975946366156,19.565374795781718
HS578T_PR,LEE011_Ribociclib,0.031623,$k_{G1}$,0.8360366561090691,19.565374795781718
HS578T_PR,LEE011_Ribociclib,0.031623,$k_{\phi}$,1e-07,19.565374795781718
