cell_line,agent,concentration,parameter,rate,obj_func
HS578T_PR,LY2606368,0.01,$k_{S}$,0.003809966112252558,6972.9568492111885
HS578T_PR,LY2606368,0.01,$k_{G2}$,0.02373002377032563,6972.9568492111885
HS578T_PR,LY2606368,0.01,$k_{M}$,0.029064119775524064,6972.9568492111885
HS578T_PR,LY2606368,0.01,$k_{G1}$,1e-07,6972.9568492111885
HS578T_PR,LY2606368,0.01,$k_{\phi}$,0.0010527720258689663,6972.9568492111885
HS578T_PR,LY2606368,3.162278,$k_{S}$,0.0028333801104299602,4954.180344399492
HS578T_PR,LY2606368,3.162278,$k_{G2}$,0.022583648169246844,4954.180344399492
HS578T_PR,LY2606368,3.162278,$k_{M}$,0.02665026683408279,4954.180344399492
HS578T_PR,LY2606368,3.162278,$k_{G1}$,1e-07,4954.180344399492
HS578T_PR,LY2606368,3.162278,$k_{\phi}$,0.0033004030649460285,4954.180344399492
HS578T_PR,LY2606368,0.001,$k_{S}$,0.002433561164103796,4891.42266540804
HS578T_PR,LY2606368,0.001,$k_{G2}$,0.0205307224040377,4891.42266540804
HS578T_PR,LY2606368,0.001,$k_{M}$,0.024201233789964922,4891.42266540804
HS578T_PR,LY2606368,0.001,$k_{G1}$,1e-07,4891.42266540804
HS578T_PR,LY2606368,0.001,$k_{\phi}$,0.00420250959312878,4891.42266540804
HS578T_PR,LY2606368,1.0,$k_{S}$,0.008767220069338793,8685.095207857466
HS578T_PR,LY2606368,1.0,$k_{G2}$,0.02287157793646455,8685.095207857466
HS578T_PR,LY2606368,1.0,$k_{M}$,0.03189512394439861,8685.095207857466
HS578T_PR,LY2606368,1.0,$k_{G1}$,1e-07,8685.095207857466
HS578T_PR,LY2606368,1.0,$k_{\phi}$,0.00327462992879007,8685.095207857466
HS578T_PR,LY2606368,10.0,$k_{S}$,0.001917955764821882,4227.514513446729
HS578T_PR,LY2606368,10.0,$k_{G2}$,0.014856466124866938,4227.514513446729
HS578T_PR,LY2606368,10.0,$k_{M}$,0.022198277574996556,4227.514513446729
HS578T_PR,LY2606368,10.0,$k_{G1}$,1e-07,4227.514513446729
HS578T_PR,LY2606368,10.0,$k_{\phi}$,0.003150118491310411,4227.514513446729
HS578T_PR,LY2606368,0.031623,$k_{S}$,0.0022166895834873014,4344.630170655313
HS578T_PR,LY2606368,0.031623,$k_{G2}$,0.023664634526400333,4344.630170655313
HS578T_PR,LY2606368,0.031623,$k_{M}$,0.027365483251446002,4344.630170655313
HS578T_PR,LY2606368,0.031623,$k_{G1}$,1e-07,4344.630170655313
HS578T_PR,LY2606368,0.031623,$k_{\phi}$,0.002972617407068235,4344.630170655313
HS578T_PR,LY2606368,0.003162,$k_{S}$,0.004564529480704321,6898.4655015465005
HS578T_PR,LY2606368,0.003162,$k_{G2}$,0.02436551671511005,6898.4655015465005
HS578T_PR,LY2606368,0.003162,$k_{M}$,0.02526734277854222,6898.4655015465005
HS578T_PR,LY2606368,0.003162,$k_{G1}$,1e-07,6898.4655015465005
HS578T_PR,LY2606368,0.003162,$k_{\phi}$,0.0022365915326912223,6898.4655015465005
HS578T_PR,LY2606368,0.316228,$k_{S}$,0.001055666233197788,2834.788660701405
HS578T_PR,LY2606368,0.316228,$k_{G2}$,0.021851494162193695,2834.788660701405
HS578T_PR,LY2606368,0.316228,$k_{M}$,0.02233223948992596,2834.788660701405
HS578T_PR,LY2606368,0.316228,$k_{G1}$,1e-07,2834.788660701405
HS578T_PR,LY2606368,0.316228,$k_{\phi}$,0.0032085724122701163,2834.788660701405
HS578T_PR,LY2606368,0.1,$k_{S}$,0.0038915097193210372,6483.9198295933975
HS578T_PR,LY2606368,0.1,$k_{G2}$,0.022080951148154303,6483.9198295933975
HS578T_PR,LY2606368,0.1,$k_{M}$,0.028119809818360455,6483.9198295933975
HS578T_PR,LY2606368,0.1,$k_{G1}$,1e-07,6483.9198295933975
HS578T_PR,LY2606368,0.1,$k_{\phi}$,0.0024014204392048774,6483.9198295933975
