cell_line,agent,concentration,parameter,rate,obj_func
HS578T_PR,R0-3306,0.001,$k_{S}$,0.05764420132092895,4.205600413305992e-10
HS578T_PR,R0-3306,0.001,$k_{G2}$,0.08286425124490433,4.205600413305992e-10
HS578T_PR,R0-3306,0.001,$k_{M}$,0.22722169982324003,4.205600413305992e-10
HS578T_PR,R0-3306,0.001,$k_{G1}$,1.1760824434741202,4.205600413305992e-10
HS578T_PR,R0-3306,0.001,$k_{\phi}$,0.0004913196835597755,4.205600413305992e-10
HS578T_PR,R0-3306,0.003162,$k_{S}$,0.05856539846449231,4.150673865962621e-05
HS578T_PR,R0-3306,0.003162,$k_{G2}$,0.08354180288051812,4.150673865962621e-05
HS578T_PR,R0-3306,0.003162,$k_{M}$,0.20543112955780696,4.150673865962621e-05
HS578T_PR,R0-3306,0.003162,$k_{G1}$,1.025841713501917,4.150673865962621e-05
HS578T_PR,R0-3306,0.003162,$k_{\phi}$,0.00023786859307620264,4.150673865962621e-05
HS578T_PR,R0-3306,1.0,$k_{S}$,0.05798882605801585,2.352944753850871e-10
HS578T_PR,R0-3306,1.0,$k_{G2}$,0.07447389979083982,2.352944753850871e-10
HS578T_PR,R0-3306,1.0,$k_{M}$,0.18094794464831598,2.352944753850871e-10
HS578T_PR,R0-3306,1.0,$k_{G1}$,0.6602307793086426,2.352944753850871e-10
HS578T_PR,R0-3306,1.0,$k_{\phi}$,0.0006145632772768159,2.352944753850871e-10
HS578T_PR,R0-3306,0.031623,$k_{S}$,0.06302510564502788,2.1022598959211864e-10
HS578T_PR,R0-3306,0.031623,$k_{G2}$,0.08354088941909711,2.1022598959211864e-10
HS578T_PR,R0-3306,0.031623,$k_{M}$,0.1566825878811437,2.1022598959211864e-10
HS578T_PR,R0-3306,0.031623,$k_{G1}$,0.8166416474649659,2.1022598959211864e-10
HS578T_PR,R0-3306,0.031623,$k_{\phi}$,0.0005270253103607312,2.1022598959211864e-10
HS578T_PR,R0-3306,10.0,$k_{S}$,0.01716040708546844,8.436743182752694e-12
HS578T_PR,R0-3306,10.0,$k_{G2}$,0.03547637979621903,8.436743182752694e-12
HS578T_PR,R0-3306,10.0,$k_{M}$,0.015734069506696487,8.436743182752694e-12
HS578T_PR,R0-3306,10.0,$k_{G1}$,0.06584056825436962,8.436743182752694e-12
HS578T_PR,R0-3306,10.0,$k_{\phi}$,0.008203100530302673,8.436743182752694e-12
HS578T_PR,R0-3306,0.316228,$k_{S}$,0.05635851083319957,2.861306412252964e-10
HS578T_PR,R0-3306,0.316228,$k_{G2}$,0.09072302663668656,2.861306412252964e-10
HS578T_PR,R0-3306,0.316228,$k_{M}$,0.17293614125650283,2.861306412252964e-10
HS578T_PR,R0-3306,0.316228,$k_{G1}$,0.7042209336410229,2.861306412252964e-10
HS578T_PR,R0-3306,0.316228,$k_{\phi}$,0.0006309077073946013,2.861306412252964e-10
HS578T_PR,R0-3306,0.1,$k_{S}$,0.0582458529961742,2.2478356523543624e-10
HS578T_PR,R0-3306,0.1,$k_{G2}$,0.08285628194676863,2.2478356523543624e-10
HS578T_PR,R0-3306,0.1,$k_{M}$,0.17801171776702782,2.2478356523543624e-10
HS578T_PR,R0-3306,0.1,$k_{G1}$,1.031552691252326,2.2478356523543624e-10
HS578T_PR,R0-3306,0.1,$k_{\phi}$,8.86940515389022e-05,2.2478356523543624e-10
HS578T_PR,R0-3306,3.162278,$k_{S}$,0.04954881048168387,4.514961498893233e-11
HS578T_PR,R0-3306,3.162278,$k_{G2}$,0.06812332356318146,4.514961498893233e-11
HS578T_PR,R0-3306,3.162278,$k_{M}$,0.10999265954521582,4.514961498893233e-11
HS578T_PR,R0-3306,3.162278,$k_{G1}$,0.23344725956674034,4.514961498893233e-11
HS578T_PR,R0-3306,3.162278,$k_{\phi}$,0.0013528931291065037,4.514961498893233e-11
HS578T_PR,R0-3306,0.01,$k_{S}$,0.05826653743899582,1.4358065338423262e-10
HS578T_PR,R0-3306,0.01,$k_{G2}$,0.08899095820335032,1.4358065338423262e-10
HS578T_PR,R0-3306,0.01,$k_{M}$,0.17324695601275825,1.4358065338423262e-10
HS578T_PR,R0-3306,0.01,$k_{G1}$,1.1269142599529582,1.4358065338423262e-10
HS578T_PR,R0-3306,0.01,$k_{\phi}$,0.00042142163744761103,1.4358065338423262e-10
