cell_line,agent,concentration,parameter,rate,obj_func
HS578T_PR,YKL-5-124,0.003162,$k_{S}$,0.006174811692107355,2.3812535600871157e-11
HS578T_PR,YKL-5-124,0.003162,$k_{G2}$,0.024686608002868225,2.3812535600871157e-11
HS578T_PR,YKL-5-124,0.003162,$k_{M}$,0.023813297523693565,2.3812535600871157e-11
HS578T_PR,YKL-5-124,0.003162,$k_{G1}$,0.0649996625438871,2.3812535600871157e-11
HS578T_PR,YKL-5-124,0.003162,$k_{\phi}$,0.0015330125136893806,2.3812535600871157e-11
HS578T_PR,YKL-5-124,0.001,$k_{S}$,0.010442531708579455,2.2743928584589183e-11
HS578T_PR,YKL-5-124,0.001,$k_{G2}$,0.034618573295865415,2.2743928584589183e-11
HS578T_PR,YKL-5-124,0.001,$k_{M}$,0.037635558901797546,2.2743928584589183e-11
HS578T_PR,YKL-5-124,0.001,$k_{G1}$,0.1641082103590377,2.2743928584589183e-11
HS578T_PR,YKL-5-124,0.001,$k_{\phi}$,0.0008888332936586306,2.2743928584589183e-11
HS578T_PR,YKL-5-124,0.316228,$k_{S}$,0.0008224870239755633,418.080443580532
HS578T_PR,YKL-5-124,0.316228,$k_{G2}$,0.013732948555792242,418.080443580532
HS578T_PR,YKL-5-124,0.316228,$k_{M}$,0.01055093867502023,418.080443580532
HS578T_PR,YKL-5-124,0.316228,$k_{G1}$,1e-07,418.080443580532
HS578T_PR,YKL-5-124,0.316228,$k_{\phi}$,0.0014728432274983903,418.080443580532
HS578T_PR,YKL-5-124,0.01,$k_{S}$,0.0038299449248213966,1.3385992625386597e-11
HS578T_PR,YKL-5-124,0.01,$k_{G2}$,0.01837518201131013,1.3385992625386597e-11
HS578T_PR,YKL-5-124,0.01,$k_{M}$,0.020123217786859195,1.3385992625386597e-11
HS578T_PR,YKL-5-124,0.01,$k_{G1}$,0.043145500192103996,1.3385992625386597e-11
HS578T_PR,YKL-5-124,0.01,$k_{\phi}$,0.0008710267199927176,1.3385992625386597e-11
HS578T_PR,YKL-5-124,3.162278,$k_{S}$,0.002750771363776423,3612.007991479215
HS578T_PR,YKL-5-124,3.162278,$k_{G2}$,0.024440513419722663,3612.007991479215
HS578T_PR,YKL-5-124,3.162278,$k_{M}$,0.0128089477679894,3612.007991479215
HS578T_PR,YKL-5-124,3.162278,$k_{G1}$,1e-07,3612.007991479215
HS578T_PR,YKL-5-124,3.162278,$k_{\phi}$,0.002257087686409575,3612.007991479215
HS578T_PR,YKL-5-124,10.0,$k_{S}$,0.0058450966434795215,8685.087400906163
HS578T_PR,YKL-5-124,10.0,$k_{G2}$,0.022243426811061215,8685.087400906163
HS578T_PR,YKL-5-124,10.0,$k_{M}$,0.01985135145148902,8685.087400906163
HS578T_PR,YKL-5-124,10.0,$k_{G1}$,1e-07,8685.087400906163
HS578T_PR,YKL-5-124,10.0,$k_{\phi}$,0.0028579115716554954,8685.087400906163
HS578T_PR,YKL-5-124,1.0,$k_{S}$,1e-07,795.0939399187762
HS578T_PR,YKL-5-124,1.0,$k_{G2}$,0.0206623581579426,795.0939399187762
HS578T_PR,YKL-5-124,1.0,$k_{M}$,0.0119567895718449,795.0939399187762
HS578T_PR,YKL-5-124,1.0,$k_{G1}$,1e-07,795.0939399187762
HS578T_PR,YKL-5-124,1.0,$k_{\phi}$,0.0014074983142901502,795.0939399187762
HS578T_PR,YKL-5-124,0.031623,$k_{S}$,0.003237082889038576,1.5832406462741554e-11
HS578T_PR,YKL-5-124,0.031623,$k_{G2}$,0.02435582575160735,1.5832406462741554e-11
HS578T_PR,YKL-5-124,0.031623,$k_{M}$,0.01610239046318885,1.5832406462741554e-11
HS578T_PR,YKL-5-124,0.031623,$k_{G1}$,0.019403437562636853,1.5832406462741554e-11
HS578T_PR,YKL-5-124,0.031623,$k_{\phi}$,0.0018852034016482123,1.5832406462741554e-11
HS578T_PR,YKL-5-124,0.1,$k_{S}$,0.00023232212691265346,197.03596283836526
HS578T_PR,YKL-5-124,0.1,$k_{G2}$,0.013240756315996579,197.03596283836526
HS578T_PR,YKL-5-124,0.1,$k_{M}$,0.010420766869898545,197.03596283836526
HS578T_PR,YKL-5-124,0.1,$k_{G1}$,1e-07,197.03596283836526
HS578T_PR,YKL-5-124,0.1,$k_{\phi}$,0.0022263532702662524,197.03596283836526
