cell_line,agent,concentration,parameter,rate,obj_func
HS578T_PR,senexinb,0.031623,$k_{S}$,0.05807144663114877,1.3403693324507112e-10
HS578T_PR,senexinb,0.031623,$k_{G2}$,0.07080544075005935,1.3403693324507112e-10
HS578T_PR,senexinb,0.031623,$k_{M}$,0.14852876579842367,1.3403693324507112e-10
HS578T_PR,senexinb,0.031623,$k_{G1}$,0.5464861336334269,1.3403693324507112e-10
HS578T_PR,senexinb,0.031623,$k_{\phi}$,0.000917247934198851,1.3403693324507112e-10
HS578T_PR,senexinb,0.001,$k_{S}$,0.05978101087014613,1.2328647929211564e-07
HS578T_PR,senexinb,0.001,$k_{G2}$,0.08121893408046155,1.2328647929211564e-07
HS578T_PR,senexinb,0.001,$k_{M}$,0.17356633125754498,1.2328647929211564e-07
HS578T_PR,senexinb,0.001,$k_{G1}$,0.8869727058936635,1.2328647929211564e-07
HS578T_PR,senexinb,0.001,$k_{\phi}$,0.0002872165619380179,1.2328647929211564e-07
HS578T_PR,senexinb,0.01,$k_{S}$,0.05352324029424415,7.78883585529171e-11
HS578T_PR,senexinb,0.01,$k_{G2}$,0.0644921228966176,7.78883585529171e-11
HS578T_PR,senexinb,0.01,$k_{M}$,0.14329489586135336,7.78883585529171e-11
HS578T_PR,senexinb,0.01,$k_{G1}$,0.45781083048319554,7.78883585529171e-11
HS578T_PR,senexinb,0.01,$k_{\phi}$,0.00023507974230093558,7.78883585529171e-11
HS578T_PR,senexinb,0.1,$k_{S}$,0.05045667917680026,1.0593182348168489e-10
HS578T_PR,senexinb,0.1,$k_{G2}$,0.07696020520125563,1.0593182348168489e-10
HS578T_PR,senexinb,0.1,$k_{M}$,0.15399041856047996,1.0593182348168489e-10
HS578T_PR,senexinb,0.1,$k_{G1}$,0.7570648801591875,1.0593182348168489e-10
HS578T_PR,senexinb,0.1,$k_{\phi}$,0.0004515890198438682,1.0593182348168489e-10
HS578T_PR,senexinb,1.0,$k_{S}$,0.04858234551879661,7.237747249072885e-11
HS578T_PR,senexinb,1.0,$k_{G2}$,0.06325126547910265,7.237747249072885e-11
HS578T_PR,senexinb,1.0,$k_{M}$,0.13920166191694278,7.237747249072885e-11
HS578T_PR,senexinb,1.0,$k_{G1}$,0.5639161813550513,7.237747249072885e-11
HS578T_PR,senexinb,1.0,$k_{\phi}$,0.0003859505097676041,7.237747249072885e-11
HS578T_PR,senexinb,0.003162,$k_{S}$,0.05664024746020699,2.599627867693069e-10
HS578T_PR,senexinb,0.003162,$k_{G2}$,0.07858019713155695,2.599627867693069e-10
HS578T_PR,senexinb,0.003162,$k_{M}$,0.17291289688822273,2.599627867693069e-10
HS578T_PR,senexinb,0.003162,$k_{G1}$,0.7990904167155719,2.599627867693069e-10
HS578T_PR,senexinb,0.003162,$k_{\phi}$,0.0010113705649244771,2.599627867693069e-10
HS578T_PR,senexinb,3.162278,$k_{S}$,0.05110625431208888,1.0859034825077034e-10
HS578T_PR,senexinb,3.162278,$k_{G2}$,0.07597358157757081,1.0859034825077034e-10
HS578T_PR,senexinb,3.162278,$k_{M}$,0.12017514133125766,1.0859034825077034e-10
HS578T_PR,senexinb,3.162278,$k_{G1}$,0.6788884613002671,1.0859034825077034e-10
HS578T_PR,senexinb,3.162278,$k_{\phi}$,0.0006295620527326735,1.0859034825077034e-10
HS578T_PR,senexinb,10.0,$k_{S}$,0.047632341789788125,3.2256805368097134e-11
HS578T_PR,senexinb,10.0,$k_{G2}$,0.06767991398106721,3.2256805368097134e-11
HS578T_PR,senexinb,10.0,$k_{M}$,0.1120798227703606,3.2256805368097134e-11
HS578T_PR,senexinb,10.0,$k_{G1}$,0.5138480852015942,3.2256805368097134e-11
HS578T_PR,senexinb,10.0,$k_{\phi}$,0.0010055212453030558,3.2256805368097134e-11
HS578T_PR,senexinb,0.316228,$k_{S}$,0.04501292470317882,8.964806541016349e-11
HS578T_PR,senexinb,0.316228,$k_{G2}$,0.06842403457692423,8.964806541016349e-11
HS578T_PR,senexinb,0.316228,$k_{M}$,0.14467855636955615,8.964806541016349e-11
HS578T_PR,senexinb,0.316228,$k_{G1}$,0.5114351296354182,8.964806541016349e-11
HS578T_PR,senexinb,0.316228,$k_{\phi}$,0.0007816830690170242,8.964806541016349e-11
