cell_line,agent,concentration,parameter,rate,obj_func
HS578T,R0-3306,1.0,$k_{S}$,0.04665819967470148,1.944841367997542e-10
HS578T,R0-3306,1.0,$k_{G2}$,0.0815351317218617,1.944841367997542e-10
HS578T,R0-3306,1.0,$k_{M}$,0.14357834389419852,1.944841367997542e-10
HS578T,R0-3306,1.0,$k_{G1}$,0.5495683942720386,1.944841367997542e-10
HS578T,R0-3306,1.0,$k_{\phi}$,0.0020640693284279476,1.944841367997542e-10
HS578T,R0-3306,0.316228,$k_{S}$,0.04891667980617258,8.955249013718938e-10
HS578T,R0-3306,0.316228,$k_{G2}$,0.12261764276336123,8.955249013718938e-10
HS578T,R0-3306,0.316228,$k_{M}$,0.12355060857751497,8.955249013718938e-10
HS578T,R0-3306,0.316228,$k_{G1}$,0.8067318320308112,8.955249013718938e-10
HS578T,R0-3306,0.316228,$k_{\phi}$,0.0027288518059441105,8.955249013718938e-10
HS578T,R0-3306,0.003162,$k_{S}$,0.039877382064624566,8.618650735136374e-10
HS578T,R0-3306,0.003162,$k_{G2}$,0.123415462421115,8.618650735136374e-10
HS578T,R0-3306,0.003162,$k_{M}$,0.17120057335450936,8.618650735136374e-10
HS578T,R0-3306,0.003162,$k_{G1}$,0.8811248250974211,8.618650735136374e-10
HS578T,R0-3306,0.003162,$k_{\phi}$,0.0031134337875485425,8.618650735136374e-10
HS578T,R0-3306,0.001,$k_{S}$,0.03996994429466631,1.679914374039181e-06
HS578T,R0-3306,0.001,$k_{G2}$,0.1361937872705373,1.679914374039181e-06
HS578T,R0-3306,0.001,$k_{M}$,0.13289745268842298,1.679914374039181e-06
HS578T,R0-3306,0.001,$k_{G1}$,1.216770652323063,1.679914374039181e-06
HS578T,R0-3306,0.001,$k_{\phi}$,0.0023304919671422748,1.679914374039181e-06
HS578T,R0-3306,10.0,$k_{S}$,1e-07,0.09143089153710239
HS578T,R0-3306,10.0,$k_{G2}$,0.012852254402781158,0.09143089153710239
HS578T,R0-3306,10.0,$k_{M}$,0.020202162965588816,0.09143089153710239
HS578T,R0-3306,10.0,$k_{G1}$,0.016630143964116308,0.09143089153710239
HS578T,R0-3306,10.0,$k_{\phi}$,0.006995575749138943,0.09143089153710239
HS578T,R0-3306,0.1,$k_{S}$,0.046109253604076486,4.8165948466649794e-05
HS578T,R0-3306,0.1,$k_{G2}$,0.11201914160859985,4.8165948466649794e-05
HS578T,R0-3306,0.1,$k_{M}$,0.14393795169128812,4.8165948466649794e-05
HS578T,R0-3306,0.1,$k_{G1}$,1.220399270942468,4.8165948466649794e-05
HS578T,R0-3306,0.1,$k_{\phi}$,0.002793894792709556,4.8165948466649794e-05
HS578T,R0-3306,0.01,$k_{S}$,0.04357580811828127,1.4042781046955729e-09
HS578T,R0-3306,0.01,$k_{G2}$,0.11974578724778992,1.4042781046955729e-09
HS578T,R0-3306,0.01,$k_{M}$,0.12128882608226123,1.4042781046955729e-09
HS578T,R0-3306,0.01,$k_{G1}$,1.097789760058866,1.4042781046955729e-09
HS578T,R0-3306,0.01,$k_{\phi}$,0.002250133522846045,1.4042781046955729e-09
HS578T,R0-3306,3.162278,$k_{S}$,0.05737694477128123,2.3237757519157248e-10
HS578T,R0-3306,3.162278,$k_{G2}$,0.07002185211110241,2.3237757519157248e-10
HS578T,R0-3306,3.162278,$k_{M}$,0.10423760498485093,2.3237757519157248e-10
HS578T,R0-3306,3.162278,$k_{G1}$,0.2236989393426169,2.3237757519157248e-10
HS578T,R0-3306,3.162278,$k_{\phi}$,0.003571846415182665,2.3237757519157248e-10
HS578T,R0-3306,0.031623,$k_{S}$,0.045400933942208906,9.589753945941147e-10
HS578T,R0-3306,0.031623,$k_{G2}$,0.12238646382776724,9.589753945941147e-10
HS578T,R0-3306,0.031623,$k_{M}$,0.1310410002375357,9.589753945941147e-10
HS578T,R0-3306,0.031623,$k_{G1}$,0.97744260345857,9.589753945941147e-10
HS578T,R0-3306,0.031623,$k_{\phi}$,0.0025190989750349135,9.589753945941147e-10
