cell_line,agent,concentration,parameter,rate,obj_func
HS578T,senexinb,0.031623,$k_{S}$,0.06202509723200193,4.0357671220569374e-10
HS578T,senexinb,0.031623,$k_{G2}$,0.09246923191052504,4.0357671220569374e-10
HS578T,senexinb,0.031623,$k_{M}$,0.12708097837234936,4.0357671220569374e-10
HS578T,senexinb,0.031623,$k_{G1}$,0.8068810438551509,4.0357671220569374e-10
HS578T,senexinb,0.031623,$k_{\phi}$,0.004520992019519887,4.0357671220569374e-10
HS578T,senexinb,0.003162,$k_{S}$,0.05897212619124519,1.0358574398178626e-09
HS578T,senexinb,0.003162,$k_{G2}$,0.1084607205652966,1.0358574398178626e-09
HS578T,senexinb,0.003162,$k_{M}$,0.14563607885149313,1.0358574398178626e-09
HS578T,senexinb,0.003162,$k_{G1}$,1.0116128775240971,1.0358574398178626e-09
HS578T,senexinb,0.003162,$k_{\phi}$,0.005073875850595331,1.0358574398178626e-09
HS578T,senexinb,1.0,$k_{S}$,0.06836248103131987,1.289694314324384e-09
HS578T,senexinb,1.0,$k_{G2}$,0.09986821283159901,1.289694314324384e-09
HS578T,senexinb,1.0,$k_{M}$,0.1265047172209956,1.289694314324384e-09
HS578T,senexinb,1.0,$k_{G1}$,0.8865418304118953,1.289694314324384e-09
HS578T,senexinb,1.0,$k_{\phi}$,0.006200379688879681,1.289694314324384e-09
HS578T,senexinb,0.001,$k_{S}$,0.05742383009403635,6.122099848465179e-10
HS578T,senexinb,0.001,$k_{G2}$,0.10826534017997162,6.122099848465179e-10
HS578T,senexinb,0.001,$k_{M}$,0.1391750646131464,6.122099848465179e-10
HS578T,senexinb,0.001,$k_{G1}$,1.037941193195912,6.122099848465179e-10
HS578T,senexinb,0.001,$k_{\phi}$,0.004825027093143765,6.122099848465179e-10
HS578T,senexinb,0.1,$k_{S}$,0.06589673310222852,8.808209036745474e-10
HS578T,senexinb,0.1,$k_{G2}$,0.08745136561332742,8.808209036745474e-10
HS578T,senexinb,0.1,$k_{M}$,0.12293368608761346,8.808209036745474e-10
HS578T,senexinb,0.1,$k_{G1}$,0.8388795229810463,8.808209036745474e-10
HS578T,senexinb,0.1,$k_{\phi}$,0.004320753409024703,8.808209036745474e-10
HS578T,senexinb,10.0,$k_{S}$,0.05662467145750997,9.82454935380848e-10
HS578T,senexinb,10.0,$k_{G2}$,0.08804228886569579,9.82454935380848e-10
HS578T,senexinb,10.0,$k_{M}$,0.12889582941403974,9.82454935380848e-10
HS578T,senexinb,10.0,$k_{G1}$,0.779742794470783,9.82454935380848e-10
HS578T,senexinb,10.0,$k_{\phi}$,0.004919514357934383,9.82454935380848e-10
HS578T,senexinb,3.162278,$k_{S}$,0.0641741848288773,1.2130345964524516e-09
HS578T,senexinb,3.162278,$k_{G2}$,0.08680079285289051,1.2130345964524516e-09
HS578T,senexinb,3.162278,$k_{M}$,0.1290849477386122,1.2130345964524516e-09
HS578T,senexinb,3.162278,$k_{G1}$,0.7914542687732345,1.2130345964524516e-09
HS578T,senexinb,3.162278,$k_{\phi}$,0.005496121689082922,1.2130345964524516e-09
HS578T,senexinb,0.316228,$k_{S}$,0.0617145344806939,5.46059818860078e-10
HS578T,senexinb,0.316228,$k_{G2}$,0.0832522171093852,5.46059818860078e-10
HS578T,senexinb,0.316228,$k_{M}$,0.12830736505645934,5.46059818860078e-10
HS578T,senexinb,0.316228,$k_{G1}$,0.8221167850154352,5.46059818860078e-10
HS578T,senexinb,0.316228,$k_{\phi}$,0.003992374433763444,5.46059818860078e-10
HS578T,senexinb,0.01,$k_{S}$,0.06380027187294696,4.284980402469171e-10
HS578T,senexinb,0.01,$k_{G2}$,0.08917140297470938,4.284980402469171e-10
HS578T,senexinb,0.01,$k_{M}$,0.12041956286543841,4.284980402469171e-10
HS578T,senexinb,0.01,$k_{G1}$,0.8442621033556275,4.284980402469171e-10
HS578T,senexinb,0.01,$k_{\phi}$,0.00394809947369845,4.284980402469171e-10
