cell_line,agent,concentration,parameter,rate,obj_func
HTERT_HME,AZD5363,10.0,$k_{S}$,0.04123407971144098,1.9994648007046912e-10
HTERT_HME,AZD5363,10.0,$k_{G2}$,0.0919506743217712,1.9994648007046912e-10
HTERT_HME,AZD5363,10.0,$k_{M}$,0.09394801833848235,1.9994648007046912e-10
HTERT_HME,AZD5363,10.0,$k_{G1}$,2.6616925329247936,1.9994648007046912e-10
HTERT_HME,AZD5363,10.0,$k_{\phi}$,0.00012184127070598768,1.9994648007046912e-10
HTERT_HME,AZD5363,0.01,$k_{S}$,0.07453805978589695,3201.9287165456294
HTERT_HME,AZD5363,0.01,$k_{G2}$,0.09054663054429835,3201.9287165456294
HTERT_HME,AZD5363,0.01,$k_{M}$,0.17269787793266392,3201.9287165456294
HTERT_HME,AZD5363,0.01,$k_{G1}$,2.046863995692138,3201.9287165456294
HTERT_HME,AZD5363,0.01,$k_{\phi}$,1e-07,3201.9287165456294
HTERT_HME,AZD5363,0.001,$k_{S}$,0.07844947020314474,3510.8597925824597
HTERT_HME,AZD5363,0.001,$k_{G2}$,0.08590254320284535,3510.8597925824597
HTERT_HME,AZD5363,0.001,$k_{M}$,0.18776926350484824,3510.8597925824597
HTERT_HME,AZD5363,0.001,$k_{G1}$,2.0936871813021063,3510.8597925824597
HTERT_HME,AZD5363,0.001,$k_{\phi}$,1e-07,3510.8597925824597
HTERT_HME,AZD5363,3.162278,$k_{S}$,0.05564467125705543,105.06495136252651
HTERT_HME,AZD5363,3.162278,$k_{G2}$,0.08595208833723705,105.06495136252651
HTERT_HME,AZD5363,3.162278,$k_{M}$,0.12558108915531907,105.06495136252651
HTERT_HME,AZD5363,3.162278,$k_{G1}$,1.7072938824070716,105.06495136252651
HTERT_HME,AZD5363,3.162278,$k_{\phi}$,1e-07,105.06495136252651
HTERT_HME,AZD5363,0.1,$k_{S}$,0.07073447628108548,5.1229401383134e-10
HTERT_HME,AZD5363,0.1,$k_{G2}$,0.08421627110576535,5.1229401383134e-10
HTERT_HME,AZD5363,0.1,$k_{M}$,0.16418000669438612,5.1229401383134e-10
HTERT_HME,AZD5363,0.1,$k_{G1}$,1.8560422373927474,5.1229401383134e-10
HTERT_HME,AZD5363,0.1,$k_{\phi}$,8.79225548360332e-05,5.1229401383134e-10
HTERT_HME,AZD5363,0.316228,$k_{S}$,0.06318910540562073,2592.601208390894
HTERT_HME,AZD5363,0.316228,$k_{G2}$,0.0846006798820949,2592.601208390894
HTERT_HME,AZD5363,0.316228,$k_{M}$,0.14915878717469427,2592.601208390894
HTERT_HME,AZD5363,0.316228,$k_{G1}$,2.0812837454026587,2592.601208390894
HTERT_HME,AZD5363,0.316228,$k_{\phi}$,1e-07,2592.601208390894
HTERT_HME,AZD5363,0.031623,$k_{S}$,0.07036092234764964,7.139629271156464e-06
HTERT_HME,AZD5363,0.031623,$k_{G2}$,0.08136593183905876,7.139629271156464e-06
HTERT_HME,AZD5363,0.031623,$k_{M}$,0.1596043608646245,7.139629271156464e-06
HTERT_HME,AZD5363,0.031623,$k_{G1}$,1.8599768129994598,7.139629271156464e-06
HTERT_HME,AZD5363,0.031623,$k_{\phi}$,0.00014875422388894633,7.139629271156464e-06
HTERT_HME,AZD5363,1.0,$k_{S}$,0.05849152499147692,7.764792202872232e-10
HTERT_HME,AZD5363,1.0,$k_{G2}$,0.08710761162415002,7.764792202872232e-10
HTERT_HME,AZD5363,1.0,$k_{M}$,0.13889262953723377,7.764792202872232e-10
HTERT_HME,AZD5363,1.0,$k_{G1}$,1.319187416779894,7.764792202872232e-10
HTERT_HME,AZD5363,1.0,$k_{\phi}$,0.00018144382066019246,7.764792202872232e-10
HTERT_HME,AZD5363,0.003162,$k_{S}$,0.07770917809550414,1647.191127838692
HTERT_HME,AZD5363,0.003162,$k_{G2}$,0.08815832497035245,1647.191127838692
HTERT_HME,AZD5363,0.003162,$k_{M}$,0.17702555191629943,1647.191127838692
HTERT_HME,AZD5363,0.003162,$k_{G1}$,1.539490035290186,1647.191127838692
HTERT_HME,AZD5363,0.003162,$k_{\phi}$,1e-07,1647.191127838692
