cell_line,agent,concentration,parameter,rate,obj_func
HTERT_HME,BMS-265246,3.162278,$k_{S}$,0.00047645078752333355,3587.400483554935
HTERT_HME,BMS-265246,3.162278,$k_{G2}$,0.01941011575644878,3587.400483554935
HTERT_HME,BMS-265246,3.162278,$k_{M}$,0.0022818793866187475,3587.400483554935
HTERT_HME,BMS-265246,3.162278,$k_{G1}$,1e-07,3587.400483554935
HTERT_HME,BMS-265246,3.162278,$k_{\phi}$,0.00033364856886923755,3587.400483554935
HTERT_HME,BMS-265246,0.316228,$k_{S}$,0.0030528008180600572,3290.249956802589
HTERT_HME,BMS-265246,0.316228,$k_{G2}$,0.01751212932469998,3290.249956802589
HTERT_HME,BMS-265246,0.316228,$k_{M}$,0.0023015055468113992,3290.249956802589
HTERT_HME,BMS-265246,0.316228,$k_{G1}$,1e-07,3290.249956802589
HTERT_HME,BMS-265246,0.316228,$k_{\phi}$,0.000675180274406201,3290.249956802589
HTERT_HME,BMS-265246,10.0,$k_{S}$,1e-07,51.3827813180197
HTERT_HME,BMS-265246,10.0,$k_{G2}$,0.02098261808055425,51.3827813180197
HTERT_HME,BMS-265246,10.0,$k_{M}$,0.0023408137394721573,51.3827813180197
HTERT_HME,BMS-265246,10.0,$k_{G1}$,0.03707880312228671,51.3827813180197
HTERT_HME,BMS-265246,10.0,$k_{\phi}$,0.0003211926065905789,51.3827813180197
HTERT_HME,BMS-265246,0.1,$k_{S}$,1e-07,221.63265583468797
HTERT_HME,BMS-265246,0.1,$k_{G2}$,0.01928705970172044,221.63265583468797
HTERT_HME,BMS-265246,0.1,$k_{M}$,0.004823619702667056,221.63265583468797
HTERT_HME,BMS-265246,0.1,$k_{G1}$,0.06664555429957367,221.63265583468797
HTERT_HME,BMS-265246,0.1,$k_{\phi}$,1e-07,221.63265583468797
HTERT_HME,BMS-265246,1.0,$k_{S}$,0.0012253370066345045,4596.255481372442
HTERT_HME,BMS-265246,1.0,$k_{G2}$,0.011472299298689995,4596.255481372442
HTERT_HME,BMS-265246,1.0,$k_{M}$,0.0028813568452918906,4596.255481372442
HTERT_HME,BMS-265246,1.0,$k_{G1}$,1e-07,4596.255481372442
HTERT_HME,BMS-265246,1.0,$k_{\phi}$,0.0004275700662082041,4596.255481372442
HTERT_HME,BMS-265246,0.001,$k_{S}$,0.03851090439487181,2.2358529584328187e-10
HTERT_HME,BMS-265246,0.001,$k_{G2}$,0.07399468179430277,2.2358529584328187e-10
HTERT_HME,BMS-265246,0.001,$k_{M}$,0.07581078986050352,2.2358529584328187e-10
HTERT_HME,BMS-265246,0.001,$k_{G1}$,2.3650661828429267,2.2358529584328187e-10
HTERT_HME,BMS-265246,0.001,$k_{\phi}$,0.00025907011482999287,2.2358529584328187e-10
HTERT_HME,BMS-265246,0.003162,$k_{S}$,0.03500987511747399,2327.840653994226
HTERT_HME,BMS-265246,0.003162,$k_{G2}$,0.0787290722675872,2327.840653994226
HTERT_HME,BMS-265246,0.003162,$k_{M}$,0.05921345197750442,2327.840653994226
HTERT_HME,BMS-265246,0.003162,$k_{G1}$,1.0502031034502777,2327.840653994226
HTERT_HME,BMS-265246,0.003162,$k_{\phi}$,1e-07,2327.840653994226
HTERT_HME,BMS-265246,0.031623,$k_{S}$,0.00894435774115922,5864.312561402128
HTERT_HME,BMS-265246,0.031623,$k_{G2}$,0.028000070861725235,5864.312561402128
HTERT_HME,BMS-265246,0.031623,$k_{M}$,0.010800436385356691,5864.312561402128
HTERT_HME,BMS-265246,0.031623,$k_{G1}$,0.17828046079414564,5864.312561402128
HTERT_HME,BMS-265246,0.031623,$k_{\phi}$,1e-07,5864.312561402128
HTERT_HME,BMS-265246,0.01,$k_{S}$,0.02246574225981708,409.91421907795393
HTERT_HME,BMS-265246,0.01,$k_{G2}$,0.05797592303066773,409.91421907795393
HTERT_HME,BMS-265246,0.01,$k_{M}$,0.02701527537108061,409.91421907795393
HTERT_HME,BMS-265246,0.01,$k_{G1}$,0.7034282218205373,409.91421907795393
HTERT_HME,BMS-265246,0.01,$k_{\phi}$,1e-07,409.91421907795393
