cell_line,agent,concentration,parameter,rate,obj_func
HTERT_HME,BSJ-01-175,0.1,$k_{S}$,0.0028755233687934667,17161.500497974193
HTERT_HME,BSJ-01-175,0.1,$k_{G2}$,0.019663334447940606,17161.500497974193
HTERT_HME,BSJ-01-175,0.1,$k_{M}$,0.00437820784583496,17161.500497974193
HTERT_HME,BSJ-01-175,0.1,$k_{G1}$,1e-07,17161.500497974193
HTERT_HME,BSJ-01-175,0.1,$k_{\phi}$,0.0007533484197057184,17161.500497974193
HTERT_HME,BSJ-01-175,10.0,$k_{S}$,1e-07,25773.47594760321
HTERT_HME,BSJ-01-175,10.0,$k_{G2}$,0.010351830032579066,25773.47594760321
HTERT_HME,BSJ-01-175,10.0,$k_{M}$,0.00906191053453466,25773.47594760321
HTERT_HME,BSJ-01-175,10.0,$k_{G1}$,1e-07,25773.47594760321
HTERT_HME,BSJ-01-175,10.0,$k_{\phi}$,0.0027823706362546247,25773.47594760321
HTERT_HME,BSJ-01-175,1.0,$k_{S}$,0.000584287957410134,17239.704738182518
HTERT_HME,BSJ-01-175,1.0,$k_{G2}$,0.01617327841348176,17239.704738182518
HTERT_HME,BSJ-01-175,1.0,$k_{M}$,0.005042771285995438,17239.704738182518
HTERT_HME,BSJ-01-175,1.0,$k_{G1}$,1e-07,17239.704738182518
HTERT_HME,BSJ-01-175,1.0,$k_{\phi}$,0.001093128554862488,17239.704738182518
HTERT_HME,BSJ-01-175,0.003162,$k_{S}$,0.07502253467311376,4795.871125503981
HTERT_HME,BSJ-01-175,0.003162,$k_{G2}$,0.09607767699259163,4795.871125503981
HTERT_HME,BSJ-01-175,0.003162,$k_{M}$,0.15948790833481508,4795.871125503981
HTERT_HME,BSJ-01-175,0.003162,$k_{G1}$,1.789138699864437,4795.871125503981
HTERT_HME,BSJ-01-175,0.003162,$k_{\phi}$,1e-07,4795.871125503981
HTERT_HME,BSJ-01-175,0.316228,$k_{S}$,2.6168555528474826e-05,15634.766120409284
HTERT_HME,BSJ-01-175,0.316228,$k_{G2}$,0.017072397031984172,15634.766120409284
HTERT_HME,BSJ-01-175,0.316228,$k_{M}$,0.004245492657398463,15634.766120409284
HTERT_HME,BSJ-01-175,0.316228,$k_{G1}$,1e-07,15634.766120409284
HTERT_HME,BSJ-01-175,0.316228,$k_{\phi}$,0.0001534588599688969,15634.766120409284
HTERT_HME,BSJ-01-175,3.162278,$k_{S}$,1e-07,12631.789340395839
HTERT_HME,BSJ-01-175,3.162278,$k_{G2}$,0.013915539679092294,12631.789340395839
HTERT_HME,BSJ-01-175,3.162278,$k_{M}$,0.004772377490592933,12631.789340395839
HTERT_HME,BSJ-01-175,3.162278,$k_{G1}$,1e-07,12631.789340395839
HTERT_HME,BSJ-01-175,3.162278,$k_{\phi}$,0.0016818103198403625,12631.789340395839
HTERT_HME,BSJ-01-175,0.031623,$k_{S}$,0.0018980239664609234,17871.0971428672
HTERT_HME,BSJ-01-175,0.031623,$k_{G2}$,0.011164088424599197,17871.0971428672
HTERT_HME,BSJ-01-175,0.031623,$k_{M}$,0.004685579038186547,17871.0971428672
HTERT_HME,BSJ-01-175,0.031623,$k_{G1}$,1e-07,17871.0971428672
HTERT_HME,BSJ-01-175,0.031623,$k_{\phi}$,1e-07,17871.0971428672
HTERT_HME,BSJ-01-175,0.001,$k_{S}$,0.0790729950701503,3875.449436952883
HTERT_HME,BSJ-01-175,0.001,$k_{G2}$,0.09249782663436401,3875.449436952883
HTERT_HME,BSJ-01-175,0.001,$k_{M}$,0.19749493144881414,3875.449436952883
HTERT_HME,BSJ-01-175,0.001,$k_{G1}$,2.0231081248629907,3875.449436952883
HTERT_HME,BSJ-01-175,0.001,$k_{\phi}$,1e-07,3875.449436952883
HTERT_HME,BSJ-01-175,0.01,$k_{S}$,1e-07,4743.724993592909
HTERT_HME,BSJ-01-175,0.01,$k_{G2}$,0.008458935539901182,4743.724993592909
HTERT_HME,BSJ-01-175,0.01,$k_{M}$,0.0038546360298864373,4743.724993592909
HTERT_HME,BSJ-01-175,0.01,$k_{G1}$,0.016726271973254367,4743.724993592909
HTERT_HME,BSJ-01-175,0.01,$k_{\phi}$,1e-07,4743.724993592909
