cell_line,agent,concentration,parameter,rate,obj_func
HTERT_HME,LY2606368,0.01,$k_{S}$,1e-07,13139.461068880384
HTERT_HME,LY2606368,0.01,$k_{G2}$,0.011851344672914314,13139.461068880384
HTERT_HME,LY2606368,0.01,$k_{M}$,0.0093306931098668,13139.461068880384
HTERT_HME,LY2606368,0.01,$k_{G1}$,0.00804183618921193,13139.461068880384
HTERT_HME,LY2606368,0.01,$k_{\phi}$,0.0009087220961984951,13139.461068880384
HTERT_HME,LY2606368,0.000316,$k_{S}$,0.07868333595866028,5763.73243359015
HTERT_HME,LY2606368,0.000316,$k_{G2}$,0.09046217392493877,5763.73243359015
HTERT_HME,LY2606368,0.000316,$k_{M}$,0.1779149710458847,5763.73243359015
HTERT_HME,LY2606368,0.000316,$k_{G1}$,2.010487171089465,5763.73243359015
HTERT_HME,LY2606368,0.000316,$k_{\phi}$,1e-07,5763.73243359015
HTERT_HME,LY2606368,0.001,$k_{S}$,1e-07,9554.31976783202
HTERT_HME,LY2606368,0.001,$k_{G2}$,0.010150018581069465,9554.31976783202
HTERT_HME,LY2606368,0.001,$k_{M}$,0.008698043507947976,9554.31976783202
HTERT_HME,LY2606368,0.001,$k_{G1}$,0.009817802191773538,9554.31976783202
HTERT_HME,LY2606368,0.001,$k_{\phi}$,0.0011086283745675462,9554.31976783202
HTERT_HME,LY2606368,1e-05,$k_{S}$,0.08009854641757709,1870.7766298662596
HTERT_HME,LY2606368,1e-05,$k_{G2}$,0.08415672255323309,1870.7766298662596
HTERT_HME,LY2606368,1e-05,$k_{M}$,0.19322563787558877,1870.7766298662596
HTERT_HME,LY2606368,1e-05,$k_{G1}$,1.6034408341053088,1870.7766298662596
HTERT_HME,LY2606368,1e-05,$k_{\phi}$,1e-07,1870.7766298662596
HTERT_HME,LY2606368,0.0001,$k_{S}$,0.07940484659672806,3089.8040973264146
HTERT_HME,LY2606368,0.0001,$k_{G2}$,0.08299054519541606,3089.8040973264146
HTERT_HME,LY2606368,0.0001,$k_{M}$,0.20450782928564631,3089.8040973264146
HTERT_HME,LY2606368,0.0001,$k_{G1}$,2.172690597481294,3089.8040973264146
HTERT_HME,LY2606368,0.0001,$k_{\phi}$,1e-07,3089.8040973264146
HTERT_HME,LY2606368,0.031623,$k_{S}$,1e-07,14645.641169675051
HTERT_HME,LY2606368,0.031623,$k_{G2}$,0.01182251861456537,14645.641169675051
HTERT_HME,LY2606368,0.031623,$k_{M}$,0.007827326196289655,14645.641169675051
HTERT_HME,LY2606368,0.031623,$k_{G1}$,0.002859825785999443,14645.641169675051
HTERT_HME,LY2606368,0.031623,$k_{\phi}$,0.001258348835406096,14645.641169675051
HTERT_HME,LY2606368,0.003162,$k_{S}$,1e-07,9141.286508293195
HTERT_HME,LY2606368,0.003162,$k_{G2}$,0.012663907304586424,9141.286508293195
HTERT_HME,LY2606368,0.003162,$k_{M}$,0.007354349687573532,9141.286508293195
HTERT_HME,LY2606368,0.003162,$k_{G1}$,0.00861358988931379,9141.286508293195
HTERT_HME,LY2606368,0.003162,$k_{\phi}$,0.001231483111807069,9141.286508293195
HTERT_HME,LY2606368,3.2e-05,$k_{S}$,0.07649923171789354,1173.2330422498635
HTERT_HME,LY2606368,3.2e-05,$k_{G2}$,0.08778541710186169,1173.2330422498635
HTERT_HME,LY2606368,3.2e-05,$k_{M}$,0.18503845998315743,1173.2330422498635
HTERT_HME,LY2606368,3.2e-05,$k_{G1}$,2.2766459444226195,1173.2330422498635
HTERT_HME,LY2606368,3.2e-05,$k_{\phi}$,1e-07,1173.2330422498635
HTERT_HME,LY2606368,0.1,$k_{S}$,1e-07,12064.107950180814
HTERT_HME,LY2606368,0.1,$k_{G2}$,0.014259248402268481,12064.107950180814
HTERT_HME,LY2606368,0.1,$k_{M}$,0.006856633819651693,12064.107950180814
HTERT_HME,LY2606368,0.1,$k_{G1}$,0.007076959625059235,12064.107950180814
HTERT_HME,LY2606368,0.1,$k_{\phi}$,0.0004565647368956517,12064.107950180814
