cell_line,agent,concentration,parameter,rate,obj_func
HTERT_HME,R0-3306,0.001,$k_{S}$,0.07949533968865487,1040.3026714678904
HTERT_HME,R0-3306,0.001,$k_{G2}$,0.09492886745005279,1040.3026714678904
HTERT_HME,R0-3306,0.001,$k_{M}$,0.21595968242242267,1040.3026714678904
HTERT_HME,R0-3306,0.001,$k_{G1}$,2.5485534317733136,1040.3026714678904
HTERT_HME,R0-3306,0.001,$k_{\phi}$,1e-07,1040.3026714678904
HTERT_HME,R0-3306,0.003162,$k_{S}$,0.08063534012219724,1314.287295145709
HTERT_HME,R0-3306,0.003162,$k_{G2}$,0.08992438471529873,1314.287295145709
HTERT_HME,R0-3306,0.003162,$k_{M}$,0.20177407843632023,1314.287295145709
HTERT_HME,R0-3306,0.003162,$k_{G1}$,1.9190503142653337,1314.287295145709
HTERT_HME,R0-3306,0.003162,$k_{\phi}$,1e-07,1314.287295145709
HTERT_HME,R0-3306,1.0,$k_{S}$,0.08444601811388225,620.9915775510691
HTERT_HME,R0-3306,1.0,$k_{G2}$,0.08936239019059808,620.9915775510691
HTERT_HME,R0-3306,1.0,$k_{M}$,0.19075504033846058,620.9915775510691
HTERT_HME,R0-3306,1.0,$k_{G1}$,1.737593968170964,620.9915775510691
HTERT_HME,R0-3306,1.0,$k_{\phi}$,1e-07,620.9915775510691
HTERT_HME,R0-3306,0.031623,$k_{S}$,0.08353964058044033,6175.956651447246
HTERT_HME,R0-3306,0.031623,$k_{G2}$,0.09306331387611291,6175.956651447246
HTERT_HME,R0-3306,0.031623,$k_{M}$,0.2188199058638553,6175.956651447246
HTERT_HME,R0-3306,0.031623,$k_{G1}$,2.48563719963848,6175.956651447246
HTERT_HME,R0-3306,0.031623,$k_{\phi}$,1e-07,6175.956651447246
HTERT_HME,R0-3306,10.0,$k_{S}$,0.005165198749217357,5.2753387733350384e-11
HTERT_HME,R0-3306,10.0,$k_{G2}$,0.011237253420935268,5.2753387733350384e-11
HTERT_HME,R0-3306,10.0,$k_{M}$,0.0065702092166465545,5.2753387733350384e-11
HTERT_HME,R0-3306,10.0,$k_{G1}$,0.12598822728183254,5.2753387733350384e-11
HTERT_HME,R0-3306,10.0,$k_{\phi}$,0.004624847425928306,5.2753387733350384e-11
HTERT_HME,R0-3306,0.316228,$k_{S}$,0.07981997176731892,5029.642130024216
HTERT_HME,R0-3306,0.316228,$k_{G2}$,0.09711475394417288,5029.642130024216
HTERT_HME,R0-3306,0.316228,$k_{M}$,0.19267081714796175,5029.642130024216
HTERT_HME,R0-3306,0.316228,$k_{G1}$,1.867885105578039,5029.642130024216
HTERT_HME,R0-3306,0.316228,$k_{\phi}$,1e-07,5029.642130024216
HTERT_HME,R0-3306,0.1,$k_{S}$,0.08376873913549687,6765.674598348921
HTERT_HME,R0-3306,0.1,$k_{G2}$,0.09526999268974853,6765.674598348921
HTERT_HME,R0-3306,0.1,$k_{M}$,0.2060279697735657,6765.674598348921
HTERT_HME,R0-3306,0.1,$k_{G1}$,1.8970307563111948,6765.674598348921
HTERT_HME,R0-3306,0.1,$k_{\phi}$,1e-07,6765.674598348921
HTERT_HME,R0-3306,3.162278,$k_{S}$,0.07002690160821398,2525.1194645188993
HTERT_HME,R0-3306,3.162278,$k_{G2}$,0.08285053237448939,2525.1194645188993
HTERT_HME,R0-3306,3.162278,$k_{M}$,0.13043789210362303,2525.1194645188993
HTERT_HME,R0-3306,3.162278,$k_{G1}$,1.0622327854905038,2525.1194645188993
HTERT_HME,R0-3306,3.162278,$k_{\phi}$,1e-07,2525.1194645188993
HTERT_HME,R0-3306,0.01,$k_{S}$,0.07916630995479526,1757.2538388260612
HTERT_HME,R0-3306,0.01,$k_{G2}$,0.09501548908761552,1757.2538388260612
HTERT_HME,R0-3306,0.01,$k_{M}$,0.18391536754588061,1757.2538388260612
HTERT_HME,R0-3306,0.01,$k_{G1}$,1.8008327253585275,1757.2538388260612
HTERT_HME,R0-3306,0.01,$k_{\phi}$,1e-07,1757.2538388260612
